"Geneid","ORE_male_1","CHD_male_1","ORE_male_2","CHD_male_2 "
"FBgn0027841","22","11","16","6"
"FBgn0039713","2106","949","1609","221"
"FBgn0039738","708","505","621","111"
"FBgn0015269","1710","974","1351","217"
"FBgn0037746","14","11","6","0"
"FBgn0037747","155","75","91","7"
"FBgn0003862","3193","1768","2564","397"
"FBgn0010226","344","260","246","59"
"FBgn0000577","10","20","13","2"
"FBgn0000028","88","48","90","12"
"FBgn0022710","1334","623","1010","123"
"FBgn0012034","3546","1764","2794","350"
"FBgn0027866","506","301","395","82"
"FBgn0038201","11","6","8","1"
"FBgn0045500","0","0","0","0"
"FBgn0000721","1422","848","1205","215"
"FBgn0034420","1314","709","1096","174"
"FBgn0003218","2559","1125","1954","250"
"FBgn0024836","1035","519","817","129"
"FBgn0031016","547","313","433","74"
"FBgn0034416","0","0","1","0"
"FBgn0025936","821","507","787","113"
"FBgn0000578","437","247","351","42"
"FBgn0031649","378","179","310","63"
"FBgn0032668","5","2","1","2"
"FBgn0041210","1362","776","1032","181"
"FBgn0001269","21","18","33","5"
"FBgn0027608","1266","543","1040","139"
"FBgn0039900","562","384","563","117"
"FBgn0031474","584","276","537","64"
"FBgn0025726","9238","5510","8504","1217"
"FBgn0051721","295","151","253","36"
"FBgn0051992","2646","1614","2402","383"
"FBgn0028341","1017","454","912","107"
"FBgn0032974","165","99","124","24"
"FBgn0029870","1175","591","922","153"
"FBgn0035001","2318","1372","1826","343"
"FBgn0032666","1255","708","1102","198"
"FBgn0026533","491","327","459","61"
"FBgn0036534","930","556","808","110"
"FBgn0036144","854","439","701","130"
"FBgn0033265","39","30","36","9"
"FBgn0038139","17","8","20","1"
"FBgn0027529","799","347","633","91"
"FBgn0031802","2","2","2","0"
"FBgn0037234","378","184","282","42"
"FBgn0030641","4","0","4","0"
"FBgn0029736","135","95","131","19"
"FBgn0030662","123","84","95","22"
"FBgn0035978","514","438","443","100"
"FBgn0031530","425","286","321","76"
"FBgn0037100","2","1","6","0"
"FBgn0032957","883","447","760","87"
"FBgn0034417","52","69","52","14"
"FBgn0031294","29271","14352","23920","3880"
"FBgn0000542","130","80","119","10"
"FBgn0050372","917","459","732","111"
"FBgn0030844","7","2","3","0"
"FBgn0031536","153","96","103","17"
"FBgn0039675","3","2","3","0"
"FBgn0039676","0","1","1","0"
"FBgn0020279","1513","840","1194","185"
"FBgn0015777","1211","744","970","223"
"FBgn0020546","2","0","0","0"
"FBgn0011998","0","0","0","0"
"FBgn0052547","185","80","139","21"
"FBgn0037560","48","20","37","1"
"FBgn0029105","352","221","303","58"
"FBgn0038570","0","0","0","0"
"FBgn0038571","0","0","0","0"
"FBgn0039308","0","0","0","0"
"FBgn0039309","0","0","0","0"
"FBgn0036170","0","0","0","0"
"FBgn0031039","0","0","0","0"
"FBgn0031038","0","0","0","0"
"FBgn0053155","14","9","7","5"
"FBgn0050481","0","0","0","0"
"FBgn0013576","6050","3225","4832","706"
"FBgn0043002","3","0","3","1"
"FBgn0002887","62","46","60","6"
"FBgn0053095","0","0","0","0"
"FBgn0053626","0","0","1","0"
"FBgn0053627","0","0","0","0"
"FBgn0053267","7","6","6","0"
"FBgn0065047","3","4","4","1"
"FBgn0053630","1","0","0","0"
"FBgn0053631","0","0","0","0"
"FBgn0032538","128","111","82","19"
"FBgn0065080","0","0","0","0"
"FBgn0065070","2","4","3","0"
"FBgn0053639","222","116","189","28"
"FBgn0029948","1","0","0","0"
"FBgn0053640","18","15","13","1"
"FBgn0053641","11","12","22","2"
"FBgn0053642","19","15","17","4"
"FBgn0053643","12","7","16","2"
"FBgn0053644","22","19","13","2"
"FBgn0053645","22","6","16","3"
"FBgn0035253","4511","2103","3621","493"
"FBgn0053647","0","0","0","0"
"FBgn0053648","1","0","1","0"
"FBgn0064115","0","0","0","0"
"FBgn0004407","0","0","0","0"
"FBgn0053653","2518","1596","2240","292"
"FBgn0035068","0","0","0","0"
"FBgn0032364","0","0","1","0"
"FBgn0032365","0","0","0","0"
"FBgn0053654","1","1","3","0"
"FBgn0034618","604","369","438","89"
"FBgn0037555","88","84","83","12"
"FBgn0000153","348","88","257","14"
"FBgn0015609","3780","1921","3032","486"
"FBgn0065101","0","0","0","0"
"FBgn0001223","0","0","0","0"
"FBgn0001228","0","0","0","0"
"FBgn0065097","0","0","0","0"
"FBgn0065092","0","0","0","0"
"FBgn0065046","607","176","696","52"
"FBgn0065071","9","2","10","0"
"FBgn0053664","0","0","0","0"
"FBgn0053665","4","0","4","0"
"FBgn0053666","1","0","0","0"
"FBgn0053667","1","0","1","0"
"FBgn0053668","4","0","1","0"
"FBgn0053669","0","0","1","0"
"FBgn0033380","58","23","41","9"
"FBgn0061359","0","0","0","0"
"FBgn0061360","0","0","0","0"
"FBgn0053673","2","3","2","0"
"FBgn0065053","1","2","1","1"
"FBgn0040608","2","0","1","1"
"FBgn0039452","0","0","0","0"
"FBgn0067622","0","0","0","0"
"FBgn0032240","0","0","0","0"
"FBgn0029859","1","1","0","0"
"FBgn0029860","30","18","31","4"
"FBgn0029504","1409","720","1161","185"
"FBgn0041775","939","536","710","103"
"FBgn0003507","213","174","137","27"
"FBgn0053680","0","0","0","0"
"FBgn0002524","153","100","133","24"
"FBgn0037716","90","37","55","6"
"FBgn0002632","1","0","2","0"
"FBgn0002522","9","14","23","2"
"FBgn0065098","16231","8930","11730","1672"
"FBgn0039157","499","273","390","62"
"FBgn0011676","415","171","395","49"
"FBgn0065088","0","0","0","0"
"FBgn0034324","19","18","20","1"
"FBgn0034325","24","16","28","1"
"FBgn0053483","0","0","1","0"
"FBgn0065073","4","4","3","0"
"FBgn0037913","126","101","80","24"
"FBgn0037912","12","6","5","0"
"FBgn0032888","3","0","1","0"
"FBgn0051221","1932","997","1823","260"
"FBgn0031403","6","9","6","3"
"FBgn0065087","0","0","0","0"
"FBgn0026239","357","228","289","54"
"FBgn0051016","2","0","4","0"
"FBgn0053687","1","0","1","0"
"FBgn0053688","0","0","3","0"
"FBgn0053689","0","0","3","0"
"FBgn0053690","0","0","1","0"
"FBgn0052423","3502","2087","3221","476"
"FBgn0033884","116","63","94","21"
"FBgn0065055","11","20","5","17"
"FBgn0040233","122","101","99","23"
"FBgn0052831","32","22","32","4"
"FBgn0053696","129","70","113","21"
"FBgn0052843","212","118","147","40"
"FBgn0016919","8","8","8","0"
"FBgn0065095","0","0","0","0"
"FBgn0036783","0","0","0","0"
"FBgn0001624","3023","1171","2469","282"
"FBgn0053700","1","0","0","0"
"FBgn0053701","0","0","0","0"
"FBgn0053702","1","0","0","0"
"FBgn0053703","1","0","0","0"
"FBgn0053704","0","0","1","0"
"FBgn0065100","98","90","107","54"
"FBgn0260455","0","0","0","0"
"FBgn0067903","0","0","0","0"
"FBgn0065105","0","1","1","0"
"FBgn0039378","0","0","0","0"
"FBgn0053710","2","5","3","2"
"FBgn0065084","0","0","0","0"
"FBgn0065096","0","0","0","0"
"FBgn0064116","0","0","0","0"
"FBgn0064117","0","0","0","0"
"FBgn0065051","0","1","1","1"
"FBgn0260458","2","1","1","0"
"FBgn0044419","0","0","0","0"
"FBgn0046874","0","0","0","0"
"FBgn0042182","0","0","0","0"
"FBgn0064126","0","0","0","0"
"FBgn0260439","719","373","589","98"
"FBgn0053723","2","3","2","0"
"FBgn0053725","0","0","0","0"
"FBgn0065057","1","0","3","0"
"FBgn0014163","818","519","816","144"
"FBgn0053727","0","0","0","0"
"FBgn0053728","0","0","0","0"
"FBgn0053729","0","0","0","0"
"FBgn0053730","0","0","0","0"
"FBgn0053731","0","0","0","0"
"FBgn0053732","0","0","0","0"
"FBgn0053733","0","0","0","0"
"FBgn0053734","0","0","0","0"
"FBgn0053735","0","0","0","0"
"FBgn0053736","0","0","0","0"
"FBgn0053737","0","0","0","0"
"FBgn0053738","0","0","0","0"
"FBgn0053739","0","0","0","0"
"FBgn0053740","0","0","0","0"
"FBgn0053741","0","0","0","0"
"FBgn0053742","0","0","0","0"
"FBgn0053743","0","0","0","0"
"FBgn0053744","0","0","0","0"
"FBgn0053745","0","0","0","0"
"FBgn0053746","0","0","0","0"
"FBgn0040076","0","0","0","0"
"FBgn0051469","9","8","4","2"
"FBgn0040077","0","0","0","0"
"FBgn0034906","0","1","0","0"
"FBgn0037550","34","18","34","3"
"FBgn0065104","0","0","0","0"
"FBgn0036713","83","62","71","20"
"FBgn0014857","304","123","224","42"
"FBgn0052269","0","0","0","0"
"FBgn0052270","0","0","0","0"
"FBgn0034518","0","0","0","0"
"FBgn0034519","0","0","0","0"
"FBgn0053752","2","1","2","0"
"FBgn0053137","3","2","4","0"
"FBgn0051438","2","0","1","0"
"FBgn0003742","91","40","74","14"
"FBgn0036789","65","48","66","12"
"FBgn0035486","0","0","0","0"
"FBgn0045476","0","0","0","0"
"FBgn0038880","108","50","95","16"
"FBgn0065064","794","463","807","66"
"FBgn0029890","4","4","3","0"
"FBgn0029891","795","418","597","101"
"FBgn0029888","192","99","147","33"
"FBgn0005672","457","272","410","73"
"FBgn0028377","0","0","0","0"
"FBgn0001099","0","0","2","0"
"FBgn0053757","10","7","11","0"
"FBgn0053758","15","5","10","1"
"FBgn0053764","0","0","0","0"
"FBgn0053766","1","0","0","0"
"FBgn0053767","0","0","0","0"
"FBgn0053768","0","0","0","0"
"FBgn0053769","0","0","0","0"
"FBgn0053770","0","0","0","0"
"FBgn0053771","0","0","0","0"
"FBgn0051324","293","148","283","39"
"FBgn0053774","14","1","12","3"
"FBgn0035497","435","228","378","60"
"FBgn0050056","1","1","3","0"
"FBgn0053777","0","1","3","0"
"FBgn0065066","0","0","0","0"
"FBgn0065059","0","0","0","0"
"FBgn0053783","0","0","0","0"
"FBgn0053784","4","2","4","0"
"FBgn0061362","0","0","0","0"
"FBgn0061361","0","0","0","0"
"FBgn0039582","3","0","4","0"
"FBgn0050462","0","2","0","0"
"FBgn0050461","0","0","0","0"
"FBgn0035197","0","0","0","0"
"FBgn0035198","0","0","0","0"
"FBgn0041720","0","0","0","0"
"FBgn0025643","163","67","136","17"
"FBgn0020912","55","19","41","5"
"FBgn0065083","0","0","0","0"
"FBgn0063923","37","38","24","6"
"FBgn0063924","0","0","0","0"
"FBgn0035239","0","0","0","0"
"FBgn0035240","0","0","0","0"
"FBgn0053792","2","0","0","0"
"FBgn0065081","0","0","0","0"
"FBgn0065058","2","2","3","1"
"FBgn0033693","0","0","0","0"
"FBgn0053795","2","0","0","0"
"FBgn0053796","0","0","0","0"
"FBgn0039621","0","0","1","0"
"FBgn0053463","0","0","0","0"
"FBgn0051072","716","296","649","79"
"FBgn0032077","16","11","18","1"
"FBgn0032076","173","176","138","35"
"FBgn0053797","4","2","1","0"
"FBgn0033652","615","323","548","82"
"FBgn0001235","1274","864","1271","197"
"FBgn0000056","0","0","0","0"
"FBgn0053096","3","0","3","0"
"FBgn0034283","10","7","3","0"
"FBgn0051386","0","0","0","0"
"FBgn0053801","0","1","0","0"
"FBgn0053802","0","0","0","0"
"FBgn0053803","0","0","0","0"
"FBgn0051617","0","0","0","0"
"FBgn0051618","0","0","0","0"
"FBgn0051613","0","0","0","0"
"FBgn0053804","0","0","0","0"
"FBgn0053805","0","0","0","0"
"FBgn0053806","0","0","0","0"
"FBgn0053807","0","0","0","0"
"FBgn0053808","0","0","0","0"
"FBgn0053809","0","0","0","0"
"FBgn0053810","0","0","0","0"
"FBgn0053811","0","0","0","0"
"FBgn0053812","0","0","0","0"
"FBgn0053813","0","0","0","0"
"FBgn0053814","0","0","0","0"
"FBgn0053815","0","0","0","0"
"FBgn0053816","0","0","0","0"
"FBgn0053817","0","0","0","0"
"FBgn0053818","0","0","0","0"
"FBgn0053819","0","0","0","0"
"FBgn0053820","0","0","0","0"
"FBgn0053821","0","0","0","0"
"FBgn0053822","0","0","0","0"
"FBgn0053823","0","0","0","0"
"FBgn0053824","0","0","0","0"
"FBgn0053825","0","0","0","0"
"FBgn0053826","0","0","0","0"
"FBgn0053827","0","0","0","0"
"FBgn0053828","0","0","0","0"
"FBgn0053829","0","0","0","0"
"FBgn0053830","0","0","0","0"
"FBgn0053831","0","0","0","0"
"FBgn0053832","0","0","0","0"
"FBgn0053833","0","0","0","0"
"FBgn0053834","0","0","0","0"
"FBgn0053835","0","0","0","0"
"FBgn0053836","0","0","0","0"
"FBgn0053837","0","0","0","0"
"FBgn0053838","0","0","0","0"
"FBgn0053839","0","0","0","0"
"FBgn0053840","0","0","0","0"
"FBgn0053841","0","0","0","0"
"FBgn0053842","0","0","0","0"
"FBgn0053843","0","0","0","0"
"FBgn0053844","0","0","0","0"
"FBgn0053845","0","0","0","0"
"FBgn0053846","0","0","0","0"
"FBgn0053847","0","0","0","0"
"FBgn0053848","0","0","0","0"
"FBgn0053849","0","0","0","0"
"FBgn0053850","0","0","0","0"
"FBgn0053851","0","0","0","0"
"FBgn0053852","0","0","0","0"
"FBgn0053853","0","0","0","0"
"FBgn0053854","0","0","0","0"
"FBgn0053855","0","0","0","0"
"FBgn0053856","0","0","0","0"
"FBgn0053857","0","0","0","0"
"FBgn0053858","0","0","0","0"
"FBgn0053859","0","0","0","0"
"FBgn0053860","0","0","0","0"
"FBgn0053861","0","0","0","0"
"FBgn0053862","0","0","0","0"
"FBgn0053863","0","0","0","0"
"FBgn0053864","0","0","0","0"
"FBgn0053865","0","0","0","0"
"FBgn0053866","0","0","0","0"
"FBgn0051614","0","0","1","0"
"FBgn0053867","0","0","0","0"
"FBgn0053868","1","0","0","0"
"FBgn0053869","0","0","0","0"
"FBgn0053870","0","0","0","0"
"FBgn0053871","0","0","0","0"
"FBgn0053872","0","0","0","0"
"FBgn0053873","0","0","0","0"
"FBgn0053874","0","0","0","0"
"FBgn0053875","0","0","0","0"
"FBgn0053876","0","0","0","0"
"FBgn0053877","0","0","0","0"
"FBgn0053878","0","0","0","0"
"FBgn0053879","0","0","0","0"
"FBgn0053880","0","0","0","0"
"FBgn0053881","0","0","0","0"
"FBgn0053882","0","0","0","0"
"FBgn0053883","0","0","0","0"
"FBgn0053884","0","0","0","0"
"FBgn0053885","0","0","0","0"
"FBgn0053886","0","0","0","0"
"FBgn0053887","0","0","0","0"
"FBgn0053888","0","0","0","0"
"FBgn0053889","0","0","0","0"
"FBgn0053890","0","0","0","0"
"FBgn0053891","0","0","0","0"
"FBgn0053892","0","0","0","0"
"FBgn0053893","0","0","0","0"
"FBgn0053894","0","0","0","0"
"FBgn0053895","0","0","0","0"
"FBgn0053896","0","0","0","0"
"FBgn0053897","0","0","0","0"
"FBgn0053898","0","0","0","0"
"FBgn0053899","0","0","0","0"
"FBgn0053900","0","0","0","0"
"FBgn0053901","0","0","0","0"
"FBgn0053902","0","0","0","0"
"FBgn0053903","0","0","0","0"
"FBgn0053904","0","0","0","0"
"FBgn0053905","0","0","0","0"
"FBgn0053906","0","0","0","0"
"FBgn0053907","0","0","0","0"
"FBgn0053908","0","0","0","0"
"FBgn0051611","0","0","0","0"
"FBgn0061209","0","0","0","0"
"FBgn0053909","0","0","0","0"
"FBgn0053910","0","0","0","0"
"FBgn0028991","0","0","0","0"
"FBgn0053912","0","1","1","0"
"FBgn0053914","12","10","12","3"
"FBgn0065107","0","0","0","0"
"FBgn0025455","1447","788","1184","147"
"FBgn0065102","0","0","0","0"
"FBgn0065094","0","0","0","0"
"FBgn0038683","195","128","178","24"
"FBgn0038682","57","31","22","11"
"FBgn0033628","22","9","18","3"
"FBgn0033739","1053","508","813","99"
"FBgn0034081","28","11","22","1"
"FBgn0029175","169","86","126","25"
"FBgn0027358","0","0","0","0"
"FBgn0031041","0","0","0","0"
"FBgn0003435","3143","2140","2997","500"
"FBgn0024251","11","13","11","4"
"FBgn0024182","0","0","0","0"
"FBgn0031455","0","0","0","0"
"FBgn0031454","0","0","0","0"
"FBgn0053476","12","2","4","0"
"FBgn0053919","3","2","2","0"
"FBgn0038032","0","0","0","0"
"FBgn0038033","0","0","0","0"
"FBgn0052652","0","0","0","0"
"FBgn0053920","1","0","1","1"
"FBgn0051224","1362","805","1056","135"
"FBgn0065048","65","671","85","203"
"FBgn0011640","392","183","284","54"
"FBgn0053922","0","0","0","0"
"FBgn0053923","0","0","2","0"
"FBgn0065099","27280","9795","21436","3606"
"FBgn0053926","23","15","20","3"
"FBgn0053927","13","3","12","0"
"FBgn0053928","0","0","3","0"
"FBgn0067311","0","0","2","0"
"FBgn0024293","1202","466","939","100"
"FBgn0038888","0","0","0","0"
"FBgn0053929","0","0","0","0"
"FBgn0065076","7","5","5","2"
"FBgn0033564","135","67","104","17"
"FBgn0061356","197","60","160","5"
"FBgn0066304","0","0","0","0"
"FBgn0066303","0","0","0","0"
"FBgn0260466","0","0","0","0"
"FBgn0064119","0","0","0","0"
"FBgn0002709","0","1","1","0"
"FBgn0028581","0","0","0","0"
"FBgn0063127","0","1","0","0"
"FBgn0047095","0","2","0","0"
"FBgn0062928","19","15","24","3"
"FBgn0062961","7","6","8","5"
"FBgn0047334","0","1","0","0"
"FBgn0046756","7","1","3","0"
"FBgn0047000","0","0","1","0"
"FBgn0083068","25","22","20","5"
"FBgn0063083","0","0","1","0"
"FBgn0029153","0","0","0","0"
"FBgn0029154","0","0","0","0"
"FBgn0004507","2147","1286","1508","252"
"FBgn0053629","0","0","0","0"
"FBgn0053632","1","0","1","0"
"FBgn0053721","0","0","0","0"
"FBgn0040606","435","628","409","133"
"FBgn0066084","919","489","981","137"
"FBgn0083167","234","150","225","36"
"FBgn0031414","3228","1685","2371","454"
"FBgn0034903","138","87","96","24"
"FBgn0001297","2321","764","1729","177"
"FBgn0030117","0","0","1","0"
"FBgn0032763","73","32","56","5"
"FBgn0024963","1666","1004","1517","201"
"FBgn0036210","18","11","20","0"
"FBgn0032536","166","37","136","18"
"FBgn0020880","0","0","0","0"
"FBgn0032812","74","31","46","9"
"FBgn0001149","1305","559","1022","131"
"FBgn0035766","87","50","84","11"
"FBgn0034314","48","8","46","0"
"FBgn0034317","1","0","0","0"
"FBgn0053958","15","3","15","1"
"FBgn0034315","119","91","100","16"
"FBgn0052803","13","4","10","5"
"FBgn0031191","79","19","59","8"
"FBgn0038131","11","1","7","0"
"FBgn0031930","3","1","1","0"
"FBgn0038714","5","4","6","0"
"FBgn0017579","1750","915","1502","246"
"FBgn0031220","269","292","232","76"
"FBgn0025388","61","32","66","8"
"FBgn0025387","4","1","2","1"
"FBgn0000152","47","17","33","0"
"FBgn0003900","2","2","3","0"
"FBgn0036685","255","124","219","31"
"FBgn0030778","383","218","300","50"
"FBgn0013799","410","217","319","56"
"FBgn0032515","367","169","297","30"
"FBgn0052202","9","7","18","1"
"FBgn0050280","26","19","25","4"
"FBgn0033712","22","13","18","1"
"FBgn0027094","246","177","182","38"
"FBgn0039648","6","4","2","1"
"FBgn0035426","0","0","0","0"
"FBgn0032551","0","1","0","1"
"FBgn0028867","0","0","1","1"
"FBgn0031322","174","71","152","20"
"FBgn0000277","34","16","15","2"
"FBgn0035945","123","54","107","10"
"FBgn0031575","194","101","124","30"
"FBgn0034165","18","30","16","3"
"FBgn0002631","0","0","0","0"
"FBgn0034009","305","162","260","24"
"FBgn0031995","469","376","403","126"
"FBgn0036603","3","0","1","0"
"FBgn0036607","0","0","0","0"
"FBgn0036609","0","0","0","0"
"FBgn0004047","238","102","149","26"
"FBgn0034415","1","0","0","0"
"FBgn0067317","0","1","0","0"
"FBgn0014464","8","5","6","0"
"FBgn0058172","0","1","0","0"
"FBgn0025632","135","47","107","12"
"FBgn0011837","344","187","258","32"
"FBgn0053963","58","17","42","7"
"FBgn0036916","20","4","11","1"
"FBgn0011272","2047","918","1600","207"
"FBgn0053964","0","0","0","0"
"FBgn0033453","46","20","45","3"
"FBgn0010406","159","71","143","26"
"FBgn0036493","15","29","19","4"
"FBgn0003028","188","95","162","19"
"FBgn0020372","625","370","509","76"
"FBgn0032896","39","17","39","9"
"FBgn0053965","5","5","2","0"
"FBgn0053966","0","0","1","1"
"FBgn0031726","3","9","2","1"
"FBgn0004828","3460","1665","3067","430"
"FBgn0053517","3585","2122","2925","576"
"FBgn0035021","93","64","81","12"
"FBgn0000094","0","0","0","0"
"FBgn0035083","178","114","159","20"
"FBgn0037137","172","69","116","23"
"FBgn0010241","29","39","33","5"
"FBgn0002283","91","50","73","13"
"FBgn0000355","1","0","0","0"
"FBgn0039020","13","12","14","5"
"FBgn0038405","10","2","12","0"
"FBgn0030863","319","140","300","56"
"FBgn0003687","47","35","36","7"
"FBgn0051007","16","4","9","2"
"FBgn0032157","219","131","186","41"
"FBgn0043841","2051","893","1884","248"
"FBgn0034820","1","0","0","0"
"FBgn0010265","1079","511","833","157"
"FBgn0022893","230","158","216","40"
"FBgn0037385","0","0","0","0"
"FBgn0052857","0","0","0","0"
"FBgn0032391","28","12","22","2"
"FBgn0045759","1","0","0","0"
"FBgn0036374","574","309","427","57"
"FBgn0034566","7","13","10","4"
"FBgn0031285","1627","919","1301","243"
"FBgn0004050","191","110","163","29"
"FBgn0004644","12","4","11","0"
"FBgn0031765","36","19","31","2"
"FBgn0030522","23","15","20","1"
"FBgn0038647","1","2","11","0"
"FBgn0028540","95","73","94","17"
"FBgn0000459","139","95","125","24"
"FBgn0038980","475","249","375","56"
"FBgn0000529","35","22","26","5"
"FBgn0010607","41","21","37","5"
"FBgn0003943","2498","955","1886","354"
"FBgn0050072","0","0","0","0"
"FBgn0052072","3","0","9","1"
"FBgn0052056","337","241","287","59"
"FBgn0035258","25","11","17","0"
"FBgn0040719","1","3","4","0"
"FBgn0015773","40","19","31","1"
"FBgn0003002","46","30","61","3"
"FBgn0039369","0","0","0","0"
"FBgn0037326","487","282","407","56"
"FBgn0004087","11","7","13","5"
"FBgn0033631","93","93","88","33"
"FBgn0000370","677","303","608","81"
"FBgn0026433","97","50","77","13"
"FBgn0053969","76","47","85","12"
"FBgn0039366","0","0","0","0"
"FBgn0004363","1964","901","1536","272"
"FBgn0036680","152","196","107","42"
"FBgn0039370","1","0","0","0"
"FBgn0013263","40","20","36","8"
"FBgn0036306","56","23","39","7"
"FBgn0260479","4","3","8","4"
"FBgn0038547","85","31","69","13"
"FBgn0024941","574","340","496","88"
"FBgn0053970","386","180","318","54"
"FBgn0014396","7363","1903","5853","740"
"FBgn0013765","951","556","734","159"
"FBgn0031270","11","4","11","3"
"FBgn0016977","9782","5688","7863","1152"
"FBgn0016930","1265","580","1154","167"
"FBgn0031971","315","172","222","74"
"FBgn0031619","0","0","0","0"
"FBgn0010488","3112","1527","2401","365"
"FBgn0033781","17","4","13","2"
"FBgn0011205","395","98","311","25"
"FBgn0053971","116","83","85","19"
"FBgn0020381","76","55","47","10"
"FBgn0035209","3","2","1","2"
"FBgn0037525","2143","1367","1796","313"
"FBgn0031623","9","2","3","1"
"FBgn0004911","6","4","7","0"
"FBgn0053309","1","0","0","0"
"FBgn0011937","0","0","0","0"
"FBgn0011936","0","0","2","0"
"FBgn0000406","3580","1748","2857","516"
"FBgn0004052","0","0","0","0"
"FBgn0039544","144","61","135","15"
"FBgn0014869","548","332","414","85"
"FBgn0013720","106","52","69","6"
"FBgn0003638","1673","875","1313","216"
"FBgn0000276","13","8","12","1"
"FBgn0041624","3","3","0","1"
"FBgn0041623","4","1","7","1"
"FBgn0010438","1","2","2","0"
"FBgn0021764","658","438","564","77"
"FBgn0040099","42","36","38","5"
"FBgn0004618","451","241","344","72"
"FBgn0029854","68","40","68","7"
"FBgn0000278","0","2","0","0"
"FBgn0038002","0","0","0","0"
"FBgn0051274","0","0","0","1"
"FBgn0038427","387","217","330","52"
"FBgn0035976","350","147","271","28"
"FBgn0039454","2","2","1","0"
"FBgn0027514","61","36","38","7"
"FBgn0038063","921","578","843","127"
"FBgn0053977","20","9","32","0"
"FBgn0053978","290","132","292","32"
"FBgn0000551","7","10","3","1"
"FBgn0032130","126","69","102","10"
"FBgn0035879","429","291","316","73"
"FBgn0035880","2148","1113","1658","295"
"FBgn0038717","0","0","1","0"
"FBgn0001091","1835","878","1283","225"
"FBgn0031261","0","0","0","0"
"FBgn0040795","0","0","0","0"
"FBgn0031859","0","0","0","0"
"FBgn0001125","1757","755","1418","162"
"FBgn0024983","60","34","74","14"
"FBgn0000640","0","0","0","0"
"FBgn0037764","1","0","0","1"
"FBgn0050087","0","0","0","0"
"FBgn0053460","3","7","2","0"
"FBgn0053461","1","0","0","0"
"FBgn0053462","3","1","3","0"
"FBgn0025741","1847","1154","1703","278"
"FBgn0000044","2124","933","1547","238"
"FBgn0031504","23","6","11","2"
"FBgn0034495","13","7","10","3"
"FBgn0032898","2","2","0","2"
"FBgn0039925","135","94","160","25"
"FBgn0033104","29","20","27","1"
"FBgn0026086","1139","648","1022","133"
"FBgn0036203","2","0","0","0"
"FBgn0028741","0","0","0","0"
"FBgn0010339","86","25","61","6"
"FBgn0053983","0","0","0","0"
"FBgn0053985","0","0","0","1"
"FBgn0053986","2","0","0","0"
"FBgn0003300","28","10","21","1"
"FBgn0037635","111","54","118","7"
"FBgn0040508","1","2","4","0"
"FBgn0053987","2","0","2","0"
"FBgn0028979","125","61","104","19"
"FBgn0053988","1880","925","1579","218"
"FBgn0052176","71","39","42","6"
"FBgn0053082","16","5","13","1"
"FBgn0032023","64","31","72","6"
"FBgn0052088","3","1","4","0"
"FBgn0026575","1243","619","962","127"
"FBgn0067905","246","160","270","60"
"FBgn0037812","0","0","1","0"
"FBgn0036793","0","0","0","0"
"FBgn0036799","0","0","0","0"
"FBgn0025637","254","133","223","23"
"FBgn0000552","0","0","0","0"
"FBgn0032151","1484","731","1443","146"
"FBgn0038575","0","5","1","1"
"FBgn0043791","42","77","42","32"
"FBgn0000055","65","14","47","0"
"FBgn0034978","628","373","509","76"
"FBgn0039229","806","474","676","95"
"FBgn0032259","80","40","69","12"
"FBgn0032815","90","43","91","16"
"FBgn0052023","0","0","0","0"
"FBgn0030898","9","2","3","1"
"FBgn0052625","0","0","1","1"
"FBgn0010240","130","62","89","10"
"FBgn0051693","0","0","0","0"
"FBgn0029526","43","19","42","6"
"FBgn0003366","1071","590","813","147"
"FBgn0041789","347","303","285","79"
"FBgn0035000","17","2","11","2"
"FBgn0013718","863","422","692","98"
"FBgn0030984","2","2","3","0"
"FBgn0039736","23","17","22","4"
"FBgn0022359","11","4","14","6"
"FBgn0024250","104","63","90","21"
"FBgn0020906","0","0","0","0"
"FBgn0030336","752","409","574","110"
"FBgn0031762","166","66","150","20"
"FBgn0000719","315","179","249","43"
"FBgn0032626","0","0","0","0"
"FBgn0029589","0","2","0","0"
"FBgn0030581","855","404","702","107"
"FBgn0050383","0","1","1","0"
"FBgn0030874","14","13","14","2"
"FBgn0030262","0","0","0","0"
"FBgn0004643","120","54","73","7"
"FBgn0034997","383","224","246","63"
"FBgn0000320","429","175","355","35"
"FBgn0029836","0","0","1","0"
"FBgn0036599","0","0","0","0"
"FBgn0045842","168","77","151","19"
"FBgn0053093","1","1","0","2"
"FBgn0027101","644","438","614","115"
"FBgn0039924","312","204","278","48"
"FBgn0053993","64","29","34","9"
"FBgn0034563","0","1","0","0"
"FBgn0040344","685","369","552","90"
"FBgn0034121","1","0","0","0"
"FBgn0004463","70","37","54","12"
"FBgn0031515","54","52","60","15"
"FBgn0053301","1","5","1","0"
"FBgn0030542","0","0","0","0"
"FBgn0014903","1","0","0","0"
"FBgn0037046","3","6","5","2"
"FBgn0053995","0","0","0","0"
"FBgn0034286","236","131","224","31"
"FBgn0032955","430","247","443","75"
"FBgn0050098","0","6","0","0"
"FBgn0032405","47","20","30","9"
"FBgn0029608","133","77","99","28"
"FBgn0031637","1140","544","992","158"
"FBgn0034139","6","5","9","1"
"FBgn0030897","652","304","539","70"
"FBgn0031945","23","16","15","0"
"FBgn0015664","167","76","148","16"
"FBgn0039592","0","1","0","0"
