Geneid,ORE_male_1,CHD_male_1,ORE_male_2,CHD_male_2 ,ORE_fem_1 ,CHD_fem_1 ,ORE_fem_2 ,CHD_fem_2 
FBgn0053965,5,5,2,0,0,1,0,0
FBgn0053966,0,0,1,1,1,0,0,0
FBgn0031726,3,9,2,1,0,3,5,5
FBgn0004828,3460,1665,3067,430,2575,812,1595,474
FBgn0053517,3585,2122,2925,576,1914,1023,1408,558
FBgn0035021,93,64,81,12,37,22,37,15
FBgn0000094,0,0,0,0,0,0,0,0
FBgn0035083,178,114,159,20,93,51,73,24
FBgn0037137,172,69,116,23,174,67,68,21
FBgn0010241,29,39,33,5,28,11,18,27
FBgn0002283,91,50,73,13,51,17,28,15
FBgn0000355,1,0,0,0,0,0,0,0
FBgn0039020,13,12,14,5,13,1,3,1
FBgn0038405,10,2,12,0,7,2,6,0
FBgn0030863,319,140,300,56,246,89,183,48
FBgn0003687,47,35,36,7,27,13,27,9
FBgn0051007,16,4,9,2,13,4,7,0
FBgn0032157,219,131,186,41,132,68,87,35
FBgn0043841,2051,893,1884,248,2012,510,1528,337
FBgn0034820,1,0,0,0,0,0,1,0
FBgn0010265,1079,511,833,157,1237,397,842,243
FBgn0022893,230,158,216,40,193,45,127,38
FBgn0037385,0,0,0,0,1,1,1,0
FBgn0052857,0,0,0,0,0,0,0,0
FBgn0032391,28,12,22,2,16,6,6,1
FBgn0045759,1,0,0,0,0,0,0,0
FBgn0036374,574,309,427,57,297,163,180,89
FBgn0034566,7,13,10,4,11,4,9,6
FBgn0031285,1627,919,1301,243,867,321,595,216
FBgn0004050,191,110,163,29,118,46,84,43
FBgn0004644,12,4,11,0,13,3,11,0
FBgn0031765,36,19,31,2,16,9,7,1
FBgn0030522,23,15,20,1,16,0,8,4
FBgn0038647,1,2,11,0,4,3,1,0
FBgn0028540,95,73,94,17,96,31,89,21
FBgn0000459,139,95,125,24,160,52,83,28
FBgn0038980,475,249,375,56,261,103,138,44
FBgn0000529,35,22,26,5,14,7,7,6
FBgn0010607,41,21,37,5,30,8,16,6
FBgn0003943,2498,955,1886,354,1755,514,1704,324
FBgn0050072,0,0,0,0,0,0,0,0
FBgn0052072,3,0,9,1,4,0,1,0
FBgn0052056,337,241,287,59,217,103,144,56
FBgn0035258,25,11,17,0,16,4,9,0
FBgn0040719,1,3,4,0,0,1,0,0
FBgn0015773,40,19,31,1,22,4,3,5
FBgn0003002,46,30,61,3,24,10,10,9
FBgn0039369,0,0,0,0,0,0,0,0
FBgn0037326,487,282,407,56,305,118,167,63
FBgn0004087,11,7,13,5,13,5,9,3
FBgn0033631,93,93,88,33,62,45,49,32
FBgn0000370,677,303,608,81,643,153,431,70
FBgn0026433,97,50,77,13,63,14,49,11
FBgn0053969,76,47,85,12,64,22,29,15
FBgn0039366,0,0,0,0,0,0,0,0
FBgn0004363,1964,901,1536,272,1428,449,855,221
FBgn0036680,152,196,107,42,71,87,57,56
FBgn0039370,1,0,0,0,1,0,1,0
FBgn0013263,40,20,36,8,42,14,17,4
FBgn0036306,56,23,39,7,25,9,55,5
FBgn0260479,4,3,8,4,4,4,0,0
FBgn0038547,85,31,69,13,45,24,42,13
FBgn0024941,574,340,496,88,352,147,234,83
FBgn0053970,386,180,318,54,303,98,146,55
FBgn0014396,7363,1903,5853,740,4517,1540,2388,672
FBgn0013765,951,556,734,159,569,246,375,140
FBgn0031270,11,4,11,3,8,2,1,0
FBgn0016977,9782,5688,7863,1152,5886,2883,3454,1464
FBgn0016930,1265,580,1154,167,768,302,475,137
FBgn0031971,315,172,222,74,184,85,164,46
FBgn0031619,0,0,0,0,1,0,0,0
FBgn0010488,3112,1527,2401,365,1715,716,1018,357
FBgn0033781,17,4,13,2,11,3,5,1
FBgn0011205,395,98,311,25,206,47,79,35
FBgn0053971,116,83,85,19,70,37,56,28
FBgn0020381,76,55,47,10,58,27,39,18
FBgn0035209,3,2,1,2,0,0,0,0
FBgn0037525,2143,1367,1796,313,1243,607,748,305
FBgn0031623,9,2,3,1,3,1,2,0
FBgn0004911,6,4,7,0,2,0,7,0
FBgn0053309,1,0,0,0,0,0,0,0
FBgn0011937,0,0,0,0,1,0,0,0
FBgn0011936,0,0,2,0,1,0,0,0
FBgn0000406,3580,1748,2857,516,2810,875,1917,645
FBgn0004052,0,0,0,0,0,0,0,0
FBgn0039544,144,61,135,15,83,36,58,15
FBgn0014869,548,332,414,85,425,207,251,111
FBgn0013720,106,52,69,6,70,18,48,14
FBgn0003638,1673,875,1313,216,959,592,581,297
FBgn0000276,13,8,12,1,3,19,0,32
FBgn0041624,3,3,0,1,3,0,0,1
FBgn0041623,4,1,7,1,3,1,0,0
FBgn0010438,1,2,2,0,3,0,0,1
FBgn0021764,658,438,564,77,367,232,235,134
FBgn0040099,42,36,38,5,36,9,34,2
FBgn0004618,451,241,344,72,293,130,185,62
FBgn0029854,68,40,68,7,78,23,55,13
FBgn0000278,0,2,0,0,0,3,0,4
FBgn0038002,0,0,0,0,0,0,1,0
FBgn0051274,0,0,0,1,1,0,0,0
FBgn0038427,387,217,330,52,205,113,148,54
FBgn0035976,350,147,271,28,226,65,131,58
FBgn0039454,2,2,1,0,0,0,0,1
FBgn0027514,61,36,38,7,33,19,19,5
FBgn0038063,921,578,843,127,651,266,404,136
FBgn0053977,20,9,32,0,19,2,12,0
FBgn0053978,290,132,292,32,292,59,134,29
FBgn0000551,7,10,3,1,1,5,3,0
FBgn0032130,126,69,102,10,78,25,59,18
FBgn0035879,429,291,316,73,224,120,142,65
FBgn0035880,2148,1113,1658,295,1365,539,840,341
FBgn0038717,0,0,1,0,0,0,0,0
FBgn0001091,1835,878,1283,225,1227,505,927,352
FBgn0031261,0,0,0,0,0,0,0,0
FBgn0040795,0,0,0,0,0,0,0,0
FBgn0031859,0,0,0,0,0,0,0,0
FBgn0001125,1757,755,1418,162,1330,281,1611,238
FBgn0024983,60,34,74,14,26,17,19,16
FBgn0000640,0,0,0,0,1,0,0,0
FBgn0037764,1,0,0,1,0,0,1,0
FBgn0050087,0,0,0,0,0,0,0,0
FBgn0053460,3,7,2,0,1,3,2,0
FBgn0053461,1,0,0,0,0,0,0,0
FBgn0053462,3,1,3,0,1,0,0,6
FBgn0025741,1847,1154,1703,278,1317,435,797,253
FBgn0000044,2124,933,1547,238,1797,780,857,287
FBgn0031504,23,6,11,2,11,1,9,1
FBgn0034495,13,7,10,3,4,2,6,6
FBgn0032898,2,2,0,2,0,2,1,0
FBgn0039925,135,94,160,25,79,25,73,23
FBgn0033104,29,20,27,1,15,10,13,2
FBgn0026086,1139,648,1022,133,800,239,513,120
FBgn0036203,2,0,0,0,0,0,0,0
FBgn0028741,0,0,0,0,0,0,0,0
FBgn0010339,86,25,61,6,67,13,29,6
FBgn0053983,0,0,0,0,3,1,1,0
FBgn0053985,0,0,0,1,0,0,0,0
FBgn0053986,2,0,0,0,0,1,0,0
FBgn0003300,28,10,21,1,12,6,8,4
FBgn0037635,111,54,118,7,104,25,33,21
FBgn0040508,1,2,4,0,2,0,0,1
FBgn0053987,2,0,2,0,1,1,0,0
FBgn0028979,125,61,104,19,62,31,37,10
FBgn0053988,1880,925,1579,218,937,402,561,226
FBgn0052176,71,39,42,6,54,24,29,16
FBgn0053082,16,5,13,1,6,2,7,0
FBgn0032023,64,31,72,6,35,21,27,5
FBgn0052088,3,1,4,0,1,0,1,1
FBgn0026575,1243,619,962,127,660,344,375,198
FBgn0067905,246,160,270,60,188,72,73,59
FBgn0037812,0,0,1,0,0,0,1,0
FBgn0036793,0,0,0,0,0,0,0,0
FBgn0036799,0,0,0,0,0,0,0,0
FBgn0025637,254,133,223,23,202,34,128,31
FBgn0000552,0,0,0,0,0,0,0,0
FBgn0032151,1484,731,1443,146,1226,341,772,177
FBgn0038575,0,5,1,1,1,1,1,1
FBgn0043791,42,77,42,32,2,33,1,32
FBgn0000055,65,14,47,0,40,7,27,9
FBgn0034978,628,373,509,76,303,148,225,56
FBgn0039229,806,474,676,95,533,275,342,137
FBgn0032259,80,40,69,12,31,20,22,5
FBgn0032815,90,43,91,16,91,37,66,16
FBgn0052023,0,0,0,0,0,0,0,0
FBgn0030898,9,2,3,1,0,3,2,2
FBgn0052625,0,0,1,1,0,0,0,0
FBgn0010240,130,62,89,10,100,32,47,16
FBgn0051693,0,0,0,0,0,0,0,0
FBgn0029526,43,19,42,6,24,11,25,5
FBgn0003366,1071,590,813,147,492,358,342,204
FBgn0041789,347,303,285,79,259,140,191,72
FBgn0035000,17,2,11,2,11,3,4,2
FBgn0013718,863,422,692,98,613,212,362,102
FBgn0030984,2,2,3,0,2,1,0,0
FBgn0039736,23,17,22,4,22,5,11,3
FBgn0022359,11,4,14,6,5,4,8,1
FBgn0024250,104,63,90,21,49,49,31,20
FBgn0020906,0,0,0,0,0,0,0,0
FBgn0030336,752,409,574,110,447,269,305,143
FBgn0031762,166,66,150,20,90,30,68,19
FBgn0000719,315,179,249,43,237,102,127,46
FBgn0032626,0,0,0,0,0,0,0,0
FBgn0029589,0,2,0,0,1,0,0,0
FBgn0030581,855,404,702,107,511,196,358,121
FBgn0050383,0,1,1,0,0,1,0,0
FBgn0030874,14,13,14,2,10,2,4,4
FBgn0030262,0,0,0,0,0,0,0,0
FBgn0004643,120,54,73,7,38,14,34,18
FBgn0034997,383,224,246,63,323,121,236,116
FBgn0000320,429,175,355,35,305,84,213,45
FBgn0029836,0,0,1,0,0,0,2,0
FBgn0036599,0,0,0,0,0,0,0,0
FBgn0045842,168,77,151,19,161,43,111,18
FBgn0053093,1,1,0,2,0,0,2,1
FBgn0027101,644,438,614,115,462,190,298,95
FBgn0039924,312,204,278,48,286,81,167,51
FBgn0053993,64,29,34,9,19,9,23,6
FBgn0034563,0,1,0,0,1,0,0,0
FBgn0040344,685,369,552,90,317,170,251,99
FBgn0034121,1,0,0,0,0,0,0,0
FBgn0004463,70,37,54,12,30,14,33,11
FBgn0031515,54,52,60,15,50,20,38,9
FBgn0053301,1,5,1,0,3,0,4,0
FBgn0030542,0,0,0,0,0,0,0,0
FBgn0014903,1,0,0,0,0,0,0,0
FBgn0037046,3,6,5,2,3,0,2,1
FBgn0053995,0,0,0,0,0,0,0,0
FBgn0034286,236,131,224,31,149,62,86,18
FBgn0032955,430,247,443,75,487,111,308,44
FBgn0050098,0,6,0,0,0,0,0,0
FBgn0032405,47,20,30,9,23,9,19,7
FBgn0029608,133,77,99,28,89,53,77,20
FBgn0031637,1140,544,992,158,631,271,489,135
FBgn0034139,6,5,9,1,5,3,9,2
FBgn0030897,652,304,539,70,460,161,276,75
FBgn0031945,23,16,15,0,16,7,7,4
FBgn0015664,167,76,148,16,111,28,63,15
FBgn0039592,0,1,0,0,0,0,1,0
FBgn0053679,2,1,3,1,0,1,1,1
FBgn0053258,0,0,0,0,1,0,2,0
FBgn0053544,1,0,0,0,0,0,1,0
FBgn0053998,15,11,13,1,18,2,4,2
FBgn0054001,6,3,2,0,0,0,0,0
FBgn0054002,1,2,0,0,1,0,0,0
FBgn0054003,7,4,4,1,14,2,4,5
FBgn0040658,32,9,37,5,24,8,8,2
FBgn0054005,0,0,0,0,0,0,0,0
FBgn0053772,0,0,0,0,0,0,0,0
FBgn0053294,13,7,12,2,4,5,6,1
FBgn0053773,0,0,1,0,0,0,0,0
FBgn0053775,6,3,3,1,0,0,1,0
FBgn0053658,0,0,1,0,0,0,0,0
FBgn0054006,0,1,1,0,0,0,0,0
FBgn0054007,1,0,0,0,1,0,0,0
FBgn0054008,5,7,5,1,3,3,1,1
FBgn0054010,6,1,1,0,4,1,7,0
FBgn0054011,0,0,0,0,0,0,0,0
FBgn0054012,1,0,0,0,0,0,0,0
FBgn0054015,9,5,8,4,9,3,9,1
FBgn0054021,1,0,1,0,0,0,0,0
FBgn0054024,0,1,1,0,0,0,0,0
FBgn0054025,0,2,1,0,4,0,3,0
FBgn0054026,2,1,4,0,2,0,2,0
FBgn0054027,4,0,3,0,2,0,1,0
FBgn0054028,0,1,2,0,1,0,0,1
FBgn0054029,0,1,0,0,0,0,0,0
FBgn0054030,15,4,9,0,17,2,4,0
FBgn0054031,0,0,0,0,0,1,1,0
FBgn0054033,0,0,0,0,0,0,0,0
FBgn0054034,0,1,0,1,0,0,0,1
FBgn0038156,277,140,230,49,151,61,84,39
FBgn0053635,20,9,19,0,16,4,10,1
FBgn0053465,0,1,0,0,0,0,1,1
FBgn0053798,0,0,1,0,0,0,0,0
FBgn0054038,1,0,0,0,0,0,0,0
FBgn0054039,7,12,26,2,8,3,6,3
FBgn0054040,0,0,0,0,0,0,0,0
FBgn0054041,1,0,2,1,0,1,0,0
FBgn0065110,1,0,1,0,1,0,1,0
FBgn0054043,0,0,0,0,0,0,0,0
FBgn0054044,2,0,2,0,0,0,0,0
FBgn0054045,14,3,13,2,6,0,3,2
FBgn0054046,1,0,0,0,1,0,0,0
FBgn0054047,2,0,1,0,0,0,2,0
FBgn0054049,0,0,0,0,0,0,0,0
FBgn0054051,10,6,11,2,10,5,5,3
FBgn0054052,1,1,0,0,0,0,1,0
FBgn0054054,38,17,32,2,16,6,17,8
FBgn0065108,0,0,0,0,0,0,0,0
FBgn0065109,0,0,0,0,0,0,0,0
FBgn0054056,40,26,32,5,34,10,13,7
FBgn0054057,20,17,23,0,13,5,10,1
FBgn0260453,0,0,0,0,0,0,0,0
FBgn0260454,0,0,0,0,0,0,0,0
FBgn0052529,2684,1153,2017,261,1536,657,1179,343
FBgn0013696,0,0,0,0,0,0,0,0
FBgn0013703,0,0,0,0,0,0,0,0
FBgn0013700,0,0,0,0,0,0,1,0
FBgn0013680,25,11,19,0,24,1,18,0
FBgn0013709,0,1,0,0,0,0,0,0
FBgn0013690,0,0,0,0,0,0,1,0
FBgn0013710,3,2,6,1,5,2,3,0
FBgn0013674,15588,6035,16148,1324,12938,1912,6617,950
FBgn0013699,2,5,1,0,2,2,0,1
FBgn0013675,1975,884,2156,204,2001,289,1001,231
FBgn0013697,0,0,0,0,0,0,1,0
FBgn0013691,0,0,0,0,0,0,0,0
FBgn0013673,0,0,1,0,1,0,1,0
FBgn0013672,1132,487,1269,104,1549,173,693,114
FBgn0013676,4587,2052,4835,385,4122,719,1989,357
FBgn0013694,1,1,0,0,0,0,0,0
FBgn0013681,53,20,54,3,59,1,20,1
FBgn0013689,3,0,4,1,4,0,5,0
FBgn0013704,0,0,0,0,0,0,0,0
FBgn0013701,0,0,0,0,0,0,0,0
FBgn0013705,0,0,0,0,0,0,0,0
FBgn0013692,0,0,0,0,0,0,0,0
FBgn0013693,0,0,0,0,0,0,0,0
FBgn0013684,1105,592,1319,105,1215,175,658,107
FBgn0013695,0,0,0,0,0,0,0,0
FBgn0013683,5,5,9,0,11,4,15,0
FBgn0013707,0,0,0,0,0,0,0,0
FBgn0013702,0,0,0,0,0,0,0,0
FBgn0013685,2,1,2,0,2,0,1,0
FBgn0013678,4652,2177,4851,508,4583,736,2380,386
FBgn0013706,0,0,0,0,0,0,0,0
FBgn0013679,677,255,655,33,681,73,406,32
FBgn0013698,0,0,0,0,0,0,0,0
FBgn0013686,2672,3307,3416,1091,4579,2515,4217,1413
FBgn0013708,0,0,0,0,0,0,0,0
FBgn0013688,1252,1349,1494,412,1614,969,1739,390
FBgn0041004,98,87,105,24,42,29,40,19
FBgn0058191,270,153,229,32,218,56,151,44
FBgn0040011,248,185,225,52,181,56,128,48
FBgn0040009,0,0,0,0,0,0,0,0
FBgn0039958,164,99,161,29,115,43,97,31
FBgn0040038,0,0,0,0,0,0,0,0
FBgn0058006,222,107,183,20,202,59,108,21
FBgn0000384,154,94,143,28,115,38,86,28
FBgn0058005,14,9,9,4,13,3,13,2
FBgn0039966,49,21,42,5,14,10,11,4
FBgn0025837,3,0,0,0,1,0,0,0
FBgn0025836,993,558,736,123,693,331,447,163
FBgn0025835,64,42,50,10,46,10,21,7
FBgn0003559,184,79,142,19,126,37,90,26
FBgn0040514,10,6,16,2,5,2,8,1
FBgn0039943,132,54,110,15,57,27,59,21
FBgn0039942,80,38,66,9,40,9,34,5
FBgn0039941,46,23,41,5,26,11,9,7
FBgn0040031,2,0,1,0,0,1,0,0
FBgn0039965,116,45,82,14,90,24,48,13
FBgn0063670,82,42,66,7,82,14,51,8
FBgn0028697,852,387,689,94,798,210,525,134
FBgn0058002,52,20,46,9,39,6,26,3
FBgn0037549,174,106,143,20,96,46,47,27
FBgn0040022,554,307,583,70,446,123,289,55
FBgn0058160,156,106,122,24,101,51,59,40
FBgn0040056,415,309,400,76,304,126,208,66
FBgn0039955,393,241,343,50,268,95,213,48
FBgn0040045,14,6,15,3,5,3,4,2
FBgn0058198,4,3,1,0,2,1,2,0
FBgn0058298,4,1,4,1,5,2,1,1
FBgn0083936,0,0,0,0,0,0,0,0
FBgn0083992,2,0,0,0,0,0,0,0
FBgn0260451,0,0,0,0,0,0,0,0
FBgn0034389,639,260,587,81,308,152,165,74
FBgn0083938,0,0,0,0,1,0,0,0
FBgn0083940,32,13,28,2,25,6,17,10
FBgn0083941,0,0,0,0,0,0,0,0
FBgn0083942,0,0,0,0,0,0,0,0
FBgn0083943,0,0,0,0,0,0,0,0
FBgn0083945,48,29,60,4,36,13,23,6
FBgn0083946,0,4,2,1,0,1,1,2
FBgn0083949,1125,704,952,153,612,327,454,144
FBgn0083950,952,551,820,109,491,201,308,116
FBgn0083951,1,0,1,0,1,1,0,0
FBgn0083952,0,0,0,0,0,0,0,0
FBgn0083953,20,21,24,3,28,8,12,3
FBgn0083956,1166,780,849,174,660,336,237,208
FBgn0083960,0,1,5,0,2,0,0,0
FBgn0083961,26,26,17,2,19,15,17,5
FBgn0083962,1521,872,1073,220,802,449,580,255
FBgn0083963,833,457,687,80,395,170,275,99
FBgn0083965,0,0,1,0,0,0,0,0
FBgn0083966,0,0,0,0,0,0,0,0
FBgn0083967,0,0,0,0,0,0,0,0
FBgn0083968,10,7,19,2,16,3,11,3
FBgn0083969,355,160,297,52,229,93,147,72
FBgn0083970,36,23,33,1,19,5,22,4
FBgn0083971,0,0,0,0,0,0,0,0
FBgn0083972,37,16,30,3,25,11,23,5
FBgn0083973,17,10,8,3,13,6,2,1
FBgn0083974,5,7,6,0,3,1,4,0
FBgn0083975,788,400,620,95,376,147,229,80
FBgn0083976,0,0,0,0,0,0,0,0
FBgn0083977,169,144,147,27,122,57,90,34
FBgn0083978,0,1,1,0,1,0,3,0
FBgn0083979,2,0,2,0,1,0,1,0
FBgn0083981,61,34,51,6,35,15,25,7
FBgn0083983,5,6,5,4,2,1,2,0
FBgn0083984,0,0,0,0,0,1,0,0
FBgn0083985,16,6,3,3,7,7,4,6
FBgn0083986,20,4,20,1,7,7,4,1
FBgn0083987,2067,533,2344,248,1279,398,1303,140
FBgn0083988,2,0,0,0,0,1,2,0
FBgn0083989,1,0,0,0,0,0,0,0
FBgn0083990,3,2,4,1,2,1,2,0
FBgn0083991,122,79,110,11,84,26,41,12
FBgn0026401,1138,647,1074,155,966,298,571,131
FBgn0002566,332,193,303,44,224,79,185,66
FBgn0016976,0,0,0,0,0,0,0,0
FBgn0016975,0,0,0,0,0,0,0,0
FBgn0003256,371,247,365,58,316,86,242,46
FBgn0032997,89,42,67,9,77,17,42,10
FBgn0039979,0,0,0,0,0,0,0,0
FBgn0040759,7,4,8,1,8,2,8,0
FBgn0052218,69,50,67,14,66,28,39,7
FBgn0033000,63,56,68,8,59,20,46,11
FBgn0064225,2884,1377,2513,341,3048,904,2137,544
FBgn0051144,0,0,0,0,0,0,0,0
FBgn0040007,370,126,371,35,459,73,318,44
FBgn0010247,312,198,313,58,286,93,245,41
FBgn0020908,8,4,12,1,4,3,9,1
FBgn0011288,765,579,767,140,557,189,349,93
FBgn0084001,0,0,0,2,0,0,0,0
FBgn0046692,96,70,110,13,93,26,73,13
FBgn0084017,0,0,0,0,0,0,1,0
FBgn0039994,286,163,267,24,251,66,183,36
FBgn0084008,0,1,0,0,1,0,0,0
FBgn0058439,9,6,15,4,9,2,9,0
FBgn0044872,13,11,10,1,7,3,0,0
FBgn0083994,0,0,0,0,0,0,0,0
FBgn0040005,210,139,178,19,118,39,97,17
FBgn0069973,244,150,188,39,266,100,181,73
FBgn0084049,2,0,3,1,3,0,1,0
FBgn0058053,2,0,0,0,0,1,1,0
FBgn0069938,0,0,1,0,0,0,0,0
FBgn0058470,145,44,157,12,103,15,48,4
FBgn0040010,282,134,259,30,183,50,132,41
FBgn0058045,178,113,182,23,167,30,92,15
FBgn0082968,1,1,1,0,0,0,1,0
FBgn0039987,2,0,0,0,0,0,0,1
FBgn0083048,52,18,31,9,49,15,17,4
FBgn0082999,2,2,0,0,6,1,0,0
FBgn0083121,0,0,0,0,0,0,0,0
FBgn0082924,0,0,0,0,0,0,0,0
FBgn0082966,5,1,0,0,5,0,4,0
FBgn0083018,0,2,3,0,3,1,3,1
FBgn0083036,0,0,0,0,0,0,0,0
FBgn0039946,27,17,17,3,11,5,5,5
FBgn0083010,3,2,7,0,7,1,1,0
FBgn0082927,0,0,0,0,1,0,0,0
FBgn0040799,0,1,1,1,1,0,0,0
FBgn0082944,0,0,0,0,0,0,0,0
FBgn0082970,2,0,1,0,0,0,1,1
FBgn0083034,0,0,0,0,1,0,0,0
FBgn0082997,1,2,2,1,2,3,4,2
FBgn0083009,3,8,7,0,4,1,0,0
FBgn0082974,4,1,6,0,5,0,5,0
FBgn0082933,0,0,0,0,0,0,0,0
FBgn0083015,6,2,5,4,8,1,6,0
FBgn0083124,19,10,18,3,20,2,10,2
FBgn0082960,5,3,12,0,8,1,4,1
FBgn0082990,4,1,2,4,0,0,0,0
FBgn0058182,1,0,0,0,0,0,2,1
FBgn0082936,0,0,0,0,0,0,0,0
FBgn0083041,10,2,2,1,6,0,5,0
FBgn0083031,2,0,4,0,3,0,0,0
FBgn0082967,7,2,8,0,13,1,9,1
FBgn0083022,1,0,1,0,0,0,0,0
FBgn0082961,6,7,4,2,8,2,3,1
FBgn0082987,1,1,1,0,1,0,0,0
FBgn0046706,168,72,150,18,130,36,93,18
FBgn0083017,1,2,1,0,1,0,2,0
FBgn0082947,0,0,0,0,1,0,0,0
FBgn0039944,13,9,18,5,12,4,7,2
FBgn0083123,45,42,63,16,53,26,43,15
FBgn0001313,0,0,0,0,0,0,0,0
FBgn0083057,6,10,13,3,11,8,14,5
FBgn0037997,0,0,0,0,0,0,0,0
FBgn0083003,22,10,22,4,29,6,20,0
FBgn0039977,63,44,54,11,52,18,37,13
FBgn0082963,4,3,1,0,4,2,3,1
FBgn0083053,12,7,26,2,20,3,10,2
FBgn0082931,1,3,1,0,1,0,0,0
FBgn0082943,1,1,1,0,0,0,0,0
FBgn0058354,13,2,9,5,13,2,3,2
FBgn0083040,12,1,9,2,3,1,8,2
FBgn0082949,0,0,0,0,0,0,0,0
FBgn0082928,0,0,1,0,0,0,0,0
FBgn0046323,0,0,0,0,0,0,0,0
FBgn0082973,1,2,1,0,2,0,0,0
FBgn0051514,16,12,19,2,9,3,25,1
FBgn0083045,7,7,7,1,6,6,3,2
FBgn0058461,4,0,2,0,0,0,0,0
FBgn0082923,0,1,2,0,3,0,1,0
FBgn0058469,85,36,110,23,120,23,103,14
FBgn0082994,6,2,3,0,5,0,6,3
FBgn0083029,0,1,1,0,2,1,0,0
FBgn0082951,0,0,2,0,2,0,0,0
FBgn0082979,10,6,15,0,15,4,12,2
FBgn0082969,6,1,5,0,3,0,3,0
FBgn0058068,6,1,4,1,2,1,4,1
FBgn0039945,0,0,0,0,0,0,0,0
FBgn0082932,0,0,0,0,0,0,0,0
FBgn0040682,5,2,5,1,4,0,2,0
FBgn0082976,2,3,4,1,2,2,2,3
FBgn0082978,14,6,9,1,28,3,10,4
FBgn0082926,0,0,0,0,0,0,1,0
FBgn0024804,525,287,505,62,379,126,275,85
FBgn0083001,5,0,4,3,7,4,8,4
FBgn0063368,25,6,14,4,17,6,11,1
FBgn0069923,35,17,53,6,33,6,29,5
FBgn0083014,8,6,9,10,16,1,32,7
FBgn0082940,1,0,1,0,0,0,0,0
FBgn0083016,0,1,1,0,1,1,1,0
FBgn0058064,0,0,1,0,0,0,0,0
FBgn0032914,5,0,2,1,1,0,1,0
FBgn0083008,9,2,3,2,8,0,3,0
FBgn0083044,2,0,2,0,1,0,1,0
FBgn0083050,39,9,34,3,51,7,16,4
FBgn0083033,0,1,0,0,1,0,0,0
FBgn0083039,3,2,3,0,15,2,8,1
FBgn0082988,8,4,7,3,2,4,6,1
FBgn0082975,3,3,4,0,8,1,3,0
FBgn0083032,1,0,0,0,0,0,0,0
FBgn0082919,1,0,0,0,1,0,0,0
FBgn0083012,6,4,1,0,7,0,5,0
FBgn0260469,21,16,32,12,21,10,34,3
FBgn0083055,0,0,0,0,2,1,0,0
FBgn0083046,5,12,3,1,1,6,4,1
FBgn0082989,2,3,3,1,1,0,1,0
FBgn0082929,0,0,0,0,0,0,0,0
FBgn0082972,2,0,4,0,7,3,5,0
FBgn0082937,0,0,0,0,0,0,2,0
FBgn0082941,2,0,0,0,0,0,1,0
FBgn0082983,4,2,2,5,5,1,8,0
FBgn0082950,0,0,0,0,0,0,0,0
FBgn0083000,5,4,3,0,4,1,4,4
FBgn0040020,36,25,43,6,27,14,26,8
FBgn0083013,222,39,196,5,322,21,263,15
FBgn0040531,6,6,3,1,3,2,3,0
FBgn0083028,1,2,2,0,0,0,1,1
FBgn0082995,6,2,6,0,8,1,8,1
FBgn0083023,1,0,0,1,3,0,1,0
FBgn0082946,1,0,0,0,1,0,0,0
FBgn0058263,825,489,771,98,504,161,360,119
FBgn0083120,3,6,5,0,6,3,1,2
FBgn0083026,0,0,0,0,0,0,0,0
FBgn0082922,0,0,0,0,0,0,0,0
FBgn0082981,1,0,0,1,2,0,0,0
FBgn0083058,6,3,5,2,7,2,5,1
FBgn0082939,0,0,0,0,1,0,0,0
FBgn0083004,89,28,85,8,97,18,44,9
FBgn0046698,0,0,0,0,0,0,0,0
FBgn0040565,0,0,0,0,0,0,0,0
FBgn0063298,2,1,0,0,1,0,0,0
FBgn0058441,0,0,0,0,0,0,0,0
FBgn0040973,13,6,5,0,4,3,7,2
FBgn0082957,6,5,4,0,3,1,2,1
FBgn0083011,1,0,3,0,0,0,1,0
FBgn0083020,2,0,5,0,2,0,0,0
FBgn0082958,11,6,11,3,19,1,7,0
FBgn0082938,0,0,0,0,0,0,0,0
FBgn0039993,181,102,136,21,148,49,121,30
FBgn0083049,12,6,11,0,9,0,7,0
FBgn0033145,1,0,0,0,0,0,0,0
FBgn0082934,0,0,0,0,0,0,0,0
FBgn0083042,4,0,7,0,3,1,1,1
FBgn0082952,0,1,1,0,4,0,0,0
FBgn0083037,0,0,0,0,0,0,0,0
FBgn0082993,3,1,2,2,5,0,2,0
FBgn0082953,1,3,6,0,3,0,5,0
FBgn0082986,2,3,3,1,4,0,1,0
FBgn0082971,2,0,6,1,4,1,2,1
FBgn0032631,0,0,0,0,0,0,0,0
FBgn0046697,0,0,0,0,0,0,0,0
FBgn0082945,0,0,0,0,1,0,0,0
FBgn0082948,0,0,0,0,0,0,0,0
FBgn0082930,0,0,1,0,0,0,0,0
FBgn0082925,2,0,2,0,1,0,0,0
FBgn0083027,20,9,15,4,25,6,18,3
FBgn0082942,0,0,0,0,2,0,0,0
FBgn0083025,0,0,2,0,2,0,0,0
FBgn0083005,2,0,3,0,4,0,3,1
FBgn0061188,0,0,0,0,0,0,0,0
FBgn0083035,2,0,0,0,0,0,0,0
FBgn0082935,0,0,0,0,0,0,0,0
FBgn0083054,30,11,24,0,27,3,18,1
FBgn0083006,3,1,7,0,7,0,2,0
FBgn0082998,0,0,0,0,1,0,1,0
FBgn0083021,1,0,1,0,0,0,0,0
FBgn0083030,0,1,2,0,2,0,2,0
