"id","length","S2_Ctrl1","S2_Auxin1","S2_Ctrl2","S2_Auxin2","Chd1_Ctrl1","Chd1_Auxin1","Chd1_Ctrl2","Chd1_Auxin2"
"FBgn0000140",6665,387,802,357,403,672,751,595,649
"FBgn0000146",3658,124,220,100,86,617,979,1017,1358
"FBgn0000147",1703,149,307,155,164,344,358,358,304
"FBgn0000150",906,1583,3074,1471,1484,2287,2530,2198,2614
"FBgn0000152",3807,79,167,69,80,261,237,256,306
"FBgn0000153",2732,22,31,19,26,87,90,101,105
"FBgn0000157",20846,65,120,57,50,404,446,516,497
"FBgn0000158",2071,2,8,3,0,6,6,8,5
"FBgn0000163",40723,550,959,466,426,1329,1171,1478,1168
"FBgn0000166",3625,2,0,1,2,4,6,5,3
"FBgn0000173",3461,237,431,197,213,505,545,541,585
"FBgn0000179",72792,17,21,14,13,58,54,43,57
"FBgn0000180",10894,53,98,42,49,67,163,91,183
"FBgn0000181",1546,1135,2095,1105,1182,1889,2166,2033,2283
"FBgn0000182",6711,1,1,0,2,5,7,5,9
"FBgn0000183",13611,1141,2040,962,1006,4158,4500,4477,4649
"FBgn0000206",4955,2,1,2,3,3,6,6,9
"FBgn0000212",12788,476,850,406,416,661,734,712,777
"FBgn0000221",1450,68,123,57,60,171,200,184,197
"FBgn0000227",1410,250,414,221,248,331,481,321,476
"FBgn0000228",6821,241,406,207,209,469,511,536,516
"FBgn0000229",3000,150,241,99,137,500,586,569,561
"FBgn0000233",3373,17,25,14,22,33,27,30,30
"FBgn0000239",5502,217,409,174,217,512,521,563,492
"FBgn0000241",10695,94,226,74,94,147,190,142,156
"FBgn0000244",4774,2338,4121,2345,2043,5131,4892,6847,4642
"FBgn0000246",3107,12,27,22,17,59,65,49,44
"FBgn0000247",8237,670,1223,582,621,1448,1766,1520,1807
"FBgn0000250",13172,2896,4814,2351,2510,9538,9295,10891,9582
"FBgn0000251",12405,27,54,25,29,119,66,92,58
"FBgn0000253",19412,547,1059,454,483,805,831,692,758
"FBgn0000256",30215,584,1211,563,663,1971,1726,2108,1754
"FBgn0000257",3383,152,292,146,152,272,314,303,321
"FBgn0000259",9055,377,721,339,370,1077,1146,1170,1209
"FBgn0000261",5585,925,1589,1054,951,2595,3171,2709,3482
"FBgn0000273",16983,778,1367,751,673,1666,1667,1738,1687
"FBgn0000274",1602,6,4,3,3,7,9,5,1
"FBgn0000276",400,252,560,254,265,472,748,453,779
"FBgn0000277",413,114,257,137,110,41,66,34,90
"FBgn0000278",483,133,271,174,177,13,29,26,53
"FBgn0000279",455,221,395,225,168,155,187,175,197
"FBgn0000280",227,4,11,5,5,1,10,7,10
"FBgn0000281",240,55,88,47,56,4,14,8,13
"FBgn0000283",4810,652,1196,561,580,940,1032,936,1012
"FBgn0000286",6217,133,283,115,119,371,442,416,439
"FBgn0000287",14764,0,5,4,7,18,23,28,15
"FBgn0000289",9146,586,1124,562,579,1380,1324,1530,1416
"FBgn0000299",7671,2282,4166,1892,1960,5947,5984,6766,6383
"FBgn0000303",26844,33,72,44,35,435,392,377,344
"FBgn0000307",10199,440,844,436,434,1039,1203,1094,1168
"FBgn0000308",8904,1830,3210,1676,1559,6083,4944,6676,5344
"FBgn0000316",2796,83,169,95,103,166,218,233,237
"FBgn0000317",12900,215,406,218,227,706,581,623,561
"FBgn0000318",1248,284,475,259,233,612,709,689,787
"FBgn0000319",7505,612,1131,650,657,1584,1593,1611,1613
"FBgn0000320",19530,470,933,545,386,600,775,654,1011
"FBgn0000326",2019,142,240,128,138,375,548,490,681
"FBgn0000330",2140,118,202,101,112,284,447,312,408
"FBgn0000337",2271,30,47,41,39,162,159,151,163
"FBgn0000339",1435,250,543,241,264,832,924,963,1002
"FBgn0000346",3468,18,27,22,17,145,161,132,139
"FBgn0000351",1954,84,179,86,98,295,329,290,279
"FBgn0000352",4940,257,572,298,296,759,923,804,988
"FBgn0000355",586,4,2,1,2,14,53,22,47
"FBgn0000356",656,2,9,4,1,11,12,20,19
"FBgn0000357",823,6,10,1,2,7,13,4,9
"FBgn0000358",740,4,8,5,2,6,7,12,7
"FBgn0000360",1475,2,3,2,1,5,1,5,4
"FBgn0000370",8662,657,1306,632,655,3648,3394,3559,3316
"FBgn0000376",4526,275,488,234,223,438,488,490,489
"FBgn0000377",2390,159,283,127,144,274,427,314,437
"FBgn0000382",21468,483,969,430,456,1308,1661,1270,1655
"FBgn0000384",11136,486,937,425,426,918,1099,1008,1205
"FBgn0000394",3083,36,67,32,42,85,95,98,110
"FBgn0000395",24450,1776,3149,1768,1247,6583,6803,7841,7015
"FBgn0000404",6860,499,991,420,451,1162,1443,1073,1365
"FBgn0000405",3428,743,1403,654,631,977,1246,923,1172
"FBgn0000406",1948,20,29,9,11,208,40,205,48
"FBgn0000411",3011,15,67,32,23,92,64,87,75
"FBgn0000412",2572,269,535,245,252,572,596,511,621
"FBgn0000414",12450,270,510,263,259,942,1088,1262,1073
"FBgn0000416",5599,754,1334,686,739,1262,1398,1427,1519
"FBgn0000422",3824,23,28,22,11,72,86,86,85
"FBgn0000426",467,236,446,192,244,334,430,376,498
"FBgn0000427",6062,9,16,12,10,27,24,16,24
"FBgn0000439",10593,1,6,1,4,7,8,12,9
"FBgn0000442",4646,21,32,18,20,388,100,503,126
"FBgn0000447",1526,370,657,323,336,670,594,671,621
"FBgn0000448",33354,0,0,0,2,1,6,1,4
"FBgn0000449",2260,0,0,0,1,9,4,4,6
"FBgn0000451",11562,1,4,2,1,7,3,3,4
"FBgn0000454",3389,400,643,329,345,750,958,905,1145
"FBgn0000455",1951,123,209,109,120,439,443,465,471
"FBgn0000459",6153,58,138,60,59,105,95,126,132
"FBgn0000463",23487,267,511,225,247,533,554,661,649
"FBgn0000464",145447,140,263,109,145,358,386,419,376
"FBgn0000473",1743,195,365,157,167,369,463,518,701
"FBgn0000477",1787,0,0,0,0,10,12,9,11
"FBgn0000479",167328,832,1535,851,854,3714,3025,4068,3015
"FBgn0000482",3400,408,730,354,345,729,937,791,1046
"FBgn0000489",28993,53,114,82,72,516,575,494,608
"FBgn0000490",31452,20,51,22,21,245,260,254,298
"FBgn0000492",8859,114,224,170,115,172,204,160,212
"FBgn0000499",2844,179,299,153,164,326,313,363,334
"FBgn0000500",569,1,3,0,1,5,6,9,5
"FBgn0000504",43086,58,95,77,48,222,203,190,165
"FBgn0000520",2345,286,459,256,229,463,675,513,687
"FBgn0000524",4577,212,405,203,220,437,394,450,391
"FBgn0000527",7339,64,131,49,55,209,278,214,338
"FBgn0000529",3292,2,2,1,1,3,2,4,6
"FBgn0000533",1680,1,15,8,7,9,15,9,12
"FBgn0000535",54513,14,22,8,9,146,194,147,194
"FBgn0000536",7291,489,957,475,500,1620,1741,1671,1732
"FBgn0000541",12987,805,1562,672,759,1659,1938,1654,2023
"FBgn0000542",45924,456,857,399,411,1820,1877,1958,1956
"FBgn0000543",2277,166,316,180,182,281,335,356,388
"FBgn0000546",81215,1295,1973,1198,1064,4172,5334,4183,5598
"FBgn0000547",84373,16,30,25,14,51,49,54,48
"FBgn0000551",1041,1,5,3,4,8,19,7,15
"FBgn0000557",4839,13,24,10,15,41,41,50,47
"FBgn0000559",4252,2946,5347,2725,2858,7124,7679,7962,7890
"FBgn0000560",8898,7,24,8,9,146,38,120,28
"FBgn0000562",11926,277,508,272,249,825,866,873,963
"FBgn0000565",2151,328,484,253,284,1519,1548,1216,1779
"FBgn0000566",1478,396,745,356,344,665,776,828,872
"FBgn0000567",60654,1028,1795,991,888,5357,5136,6210,5718
"FBgn0000568",113744,4543,8353,4679,4449,16454,17590,17388,18281
"FBgn0000575",4093,898,1564,864,946,5904,6319,5862,6243
"FBgn0000576",2768,4,7,11,4,10,7,16,15
"FBgn0000577",4205,22,35,23,26,96,118,80,155
"FBgn0000578",22074,2646,4784,2593,2399,8737,8467,9849,9083
"FBgn0000579",4869,681,1196,561,563,4071,3932,4813,4371
"FBgn0000581",13228,990,2049,929,1031,2150,2507,2392,2710
"FBgn0000588",2202,181,352,159,156,266,271,226,293
"FBgn0000591",769,1,2,1,0,6,9,10,8
"FBgn0000592",1888,3,12,9,9,7,17,13,20
"FBgn0000606",1477,4,3,2,2,5,4,7,5
"FBgn0000611",4042,196,288,131,165,553,545,577,510
"FBgn0000615",3657,213,384,173,227,486,653,539,677
"FBgn0000617",1188,99,197,109,112,245,227,278,304
"FBgn0000618",503,63,99,54,54,145,148,137,174
"FBgn0000625",5485,3,6,5,2,12,14,18,9
"FBgn0000629",3556,124,305,144,136,265,337,267,295
"FBgn0000633",126324,66,112,54,42,1253,163,1474,198
"FBgn0000635",73207,228,516,307,271,652,631,714,657
"FBgn0000636",73340,376,654,361,338,1988,1651,2073,1676
"FBgn0000639",3465,2,2,2,0,13,8,7,6
"FBgn0000640",1134,1,6,1,4,14,15,12,11
"FBgn0000644",1099,3,9,4,1,9,6,8,13
"FBgn0000658",3551,182,264,205,191,366,323,459,336
"FBgn0000659",4289,2,11,4,2,16,10,5,12
"FBgn0000662",4930,457,901,434,447,1096,1038,1141,1092
"FBgn0000667",18490,236,468,213,227,1110,1502,1126,1574
"FBgn0000709",5348,288,610,309,328,590,614,599,862
"FBgn0000711",23858,129,247,123,149,598,727,617,733
"FBgn0000715",4164,1,2,0,3,4,6,3,6
"FBgn0000719",30878,252,534,261,303,1707,1519,1731,1516
"FBgn0000721",34880,1036,1776,861,780,3403,3234,3735,3427
"FBgn0000723",26944,226,432,195,221,529,353,595,332
"FBgn0000808",2611,1,0,1,2,3,5,7,1
"FBgn0000810",3904,227,392,182,181,458,729,540,948
"FBgn0000826",1114,66,151,74,79,98,126,101,116
"FBgn0000927",2292,233,492,177,253,583,647,696,714
"FBgn0000928",3691,168,291,167,154,436,440,444,409
"FBgn0000964",3492,10,11,9,3,15,19,16,19
"FBgn0000996",4370,491,942,451,430,520,526,483,504
"FBgn0001075",23393,34,93,32,24,78,65,79,51
"FBgn0001077",1921,0,1,0,0,6,4,0,3
"FBgn0001078",50703,347,748,324,330,2639,2760,3101,3164
"FBgn0001079",3450,242,462,223,238,516,709,543,699
"FBgn0001083",11000,4,6,7,1,38,13,48,13
"FBgn0001084",1805,195,320,158,167,471,472,493,453
"FBgn0001085",94297,804,1620,843,657,2438,2186,2728,2633
"FBgn0001086",2142,477,961,418,457,974,1061,1015,1012
"FBgn0001087",9075,243,488,253,257,877,1125,1032,1139
"FBgn0001089",3254,22,43,15,21,164,147,297,149
"FBgn0001090",3442,30,54,21,31,119,108,106,137
"FBgn0001091",1480,402,706,352,325,950,1570,1169,1905
"FBgn0001092",1517,335,714,318,310,1921,2220,2218,2256
"FBgn0001098",7144,1060,2154,1298,1006,4604,4570,4470,5338
"FBgn0001099",1603,11,15,10,9,18,30,18,30
"FBgn0001104",7295,638,1240,588,676,1637,1645,1848,1939
"FBgn0001105",6061,404,758,353,385,1026,1088,1045,1209
"FBgn0001108",5270,399,844,448,431,852,959,968,1088
"FBgn0001112",13641,38,88,54,42,136,120,144,144
"FBgn0001114",4107,84,147,69,58,1374,473,1658,459
"FBgn0001120",981,0,3,0,3,9,4,4,6
"FBgn0001122",27717,293,612,307,204,568,701,611,789
"FBgn0001123",4399,128,267,115,137,526,800,583,877
"FBgn0001124",3577,213,412,188,163,867,1128,1035,1134
"FBgn0001125",3247,313,680,384,362,2225,1793,2374,2006
"FBgn0001128",5326,560,922,610,561,1978,2049,2155,2136
"FBgn0001133",2158,116,228,135,106,402,491,498,520
"FBgn0001134",16435,3,12,2,7,16,24,21,17
"FBgn0001137",2513,479,1047,505,592,3424,3513,3631,3619
"FBgn0001138",34077,4,11,7,3,36,22,32,38
"FBgn0001139",8176,440,805,394,386,1248,1382,1208,1394
"FBgn0001142",2396,436,832,445,444,1744,1503,1848,1419
"FBgn0001145",7366,23,37,18,12,259,154,322,203
"FBgn0001147",11949,11,14,11,10,30,44,34,62
"FBgn0001148",2680,16,41,16,21,123,163,105,148
"FBgn0001149",1452,413,686,507,462,2733,2145,2585,2313
"FBgn0001150",1855,20,24,8,15,71,70,111,84
"FBgn0001168",3495,3737,6982,3440,3621,9231,11667,10881,12043
"FBgn0001169",6978,446,781,374,365,798,917,869,807
"FBgn0001170",6344,3,2,0,4,11,5,11,5
"FBgn0001174",616,0,1,1,2,3,3,2,1
"FBgn0001179",2891,113,271,123,113,362,510,417,564
"FBgn0001180",6843,19,36,15,13,51,71,80,92
"FBgn0001185",2507,166,313,149,148,455,423,441,441
"FBgn0001186",4139,1058,1649,948,830,3844,3918,3972,4181
"FBgn0001187",1493,84,176,89,80,295,300,295,291
"FBgn0001189",4039,113,253,107,121,206,303,264,302
"FBgn0001197",2292,529,958,430,489,1543,1839,1599,1950
"FBgn0001202",2655,198,343,209,168,427,646,504,657
"FBgn0001206",4936,133,272,110,155,270,320,285,317
"FBgn0001208",2714,7,10,7,4,34,18,64,43
"FBgn0001215",5944,1437,2713,1347,1294,4691,5153,5152,5509
"FBgn0001216",3701,10,13,3,6,21,25,26,29
"FBgn0001217",2630,151,280,151,156,468,473,513,475
"FBgn0001218",5422,1556,2944,1598,1684,3212,3145,3301,3610
"FBgn0001220",3595,1154,2156,1138,1204,2629,2720,2890,2846
"FBgn0001222",4332,463,828,444,462,1126,1245,1191,1264
"FBgn0001224",884,626,1130,880,859,621,521,625,685
"FBgn0001225",1010,1424,2671,1676,1781,2438,2596,2317,3143
"FBgn0001226",1632,483,889,546,582,956,1022,939,1202
"FBgn0001227",1733,1,0,1,3,4,1,3,3
"FBgn0001229",987,34,64,33,34,193,157,154,174
"FBgn0001230",2231,1001,1928,1365,1443,2018,2120,1863,2289
"FBgn0001233",4091,6353,11702,8853,9119,3108,3474,3011,3833
"FBgn0001234",21710,5556,10747,5214,5754,8497,10178,8110,10765
"FBgn0001235",132008,50,77,37,44,71,70,91,75
"FBgn0001247",4225,178,311,172,164,500,740,589,768
"FBgn0001248",4503,733,1345,676,717,3052,3397,3100,3206
"FBgn0001250",31246,153,409,244,224,493,643,581,749
"FBgn0001253",18767,21,37,17,18,173,112,179,95
"FBgn0001254",1708,26,45,26,16,206,65,203,66
"FBgn0001255",1094,29,67,23,21,44,55,39,59
"FBgn0001256",1235,4,3,3,2,5,2,4,10
"FBgn0001257",12142,358,699,316,343,2477,2734,2984,3167
"FBgn0001258",3590,107,169,90,82,359,696,488,890
"FBgn0001259",3062,10,23,14,11,53,72,52,64
"FBgn0001263",3107,395,730,311,378,481,520,524,527
"FBgn0001269",35231,5,20,9,10,44,47,50,68
"FBgn0001276",727,73,129,43,49,176,223,192,220
"FBgn0001280",912,101,219,123,102,274,317,308,367
"FBgn0001281",745,11,15,11,14,37,33,27,41
"FBgn0001285",1397,1,1,2,3,6,6,5,7
"FBgn0001291",2077,764,1405,752,761,996,1332,1206,1493
"FBgn0001296",7182,31,64,18,23,259,160,339,174
"FBgn0001297",28119,6505,12261,6433,6755,19420,24290,19340,24085
"FBgn0001301",8200,471,960,445,448,1862,1780,2065,2004
"FBgn0001308",5012,457,847,416,436,1247,1246,1335,1389
"FBgn0001311",14774,12,16,24,10,30,27,30,24
"FBgn0001313",91086,107,149,75,128,133,117,103,93
"FBgn0001316",106532,1633,3286,1680,1608,3893,4255,4255,4289
"FBgn0001319",34412,23,56,17,25,167,179,180,187
"FBgn0001320",3049,8,11,12,7,50,30,53,37
"FBgn0001321",3300,16,36,12,13,127,112,135,102
"FBgn0001323",23519,11,16,7,10,20,24,23,22
"FBgn0001324",8331,369,779,372,381,847,931,921,1061
"FBgn0001325",4784,149,284,162,113,479,668,606,774
"FBgn0001330",4178,177,362,163,178,207,257,222,287
"FBgn0001341",3861,593,1183,564,580,662,762,737,833
"FBgn0001404",10609,540,1036,557,504,1435,1461,1367,1423
"FBgn0001491",1015,48,107,45,56,109,244,106,138
"FBgn0001565",2429,282,513,249,270,652,607,785,631
"FBgn0001612",8114,229,482,202,220,552,609,611,659
"FBgn0001624",40112,395,654,380,349,1124,1036,1184,1121
"FBgn0001941",2507,1391,2480,1567,1447,3603,3875,4222,4175
"FBgn0001942",4146,1645,3103,1485,1726,2854,2765,3187,2873
"FBgn0001961",1801,1002,1803,854,967,1761,1793,1903,2050
"FBgn0001965",6009,358,633,355,353,779,743,847,830
"FBgn0001970",2160,2,5,1,2,10,17,15,14
"FBgn0001977",2569,366,692,387,321,922,1142,1043,1327
"FBgn0001978",4590,677,1323,644,666,1062,1213,1246,1369
"FBgn0001986",3638,438,792,404,383,809,900,897,995
"FBgn0001987",6757,445,844,489,392,4290,3725,4420,5222
"FBgn0001989",1760,98,197,108,90,234,255,227,304
"FBgn0001990",2217,133,243,132,131,436,429,486,441
"FBgn0001991",24710,38,46,59,33,159,243,197,276
"FBgn0001992",2787,67,182,59,56,163,144,188,152
"FBgn0001994",24175,2175,4064,2481,2110,8052,7774,8654,7649
"FBgn0001995",1074,195,443,246,207,513,504,540,564
"FBgn0002021",1770,196,373,184,203,505,659,533,619
"FBgn0002022",1753,421,805,356,364,906,1151,1049,1219
"FBgn0002023",29172,9,16,14,5,29,41,21,44
"FBgn0002031",2525,520,969,483,539,1879,1767,2206,1836
"FBgn0002036",2170,35,86,36,46,102,90,113,78
"FBgn0002044",4728,610,1204,515,651,1130,1119,1107,1243
"FBgn0002069",6165,318,588,273,270,736,947,829,1196
"FBgn0002121",11538,713,1302,670,636,2444,2208,2444,2254
"FBgn0002174",2114,282,534,254,239,731,816,910,996
"FBgn0002183",4739,489,1017,479,523,1165,1349,1333,1381
"FBgn0002283",1658,296,433,264,269,357,396,421,449
"FBgn0002284",1019,350,665,263,307,675,832,813,909
"FBgn0002306",20895,21,22,12,11,31,41,35,38
"FBgn0002354",686,217,425,177,229,1194,1109,1448,1191
"FBgn0002413",7126,574,1005,509,483,1225,1110,1404,1380
"FBgn0002431",10993,689,1267,625,696,1591,1443,1702,1519
"FBgn0002441",6948,344,642,325,309,651,748,611,738
"FBgn0002466",6818,284,593,248,277,418,486,303,385
"FBgn0002521",9160,185,318,168,165,459,518,467,573
"FBgn0002522",17164,42,72,46,41,38,57,33,49
"FBgn0002524",5892,809,1576,887,840,2233,2023,2231,2184
"FBgn0002525",4163,662,1240,578,590,1292,1302,1422,1369
"FBgn0002526",14192,3820,7488,4101,3763,11618,12122,11945,12351
"FBgn0002531",1129,2,7,2,3,18,20,26,17
"FBgn0002533",989,1,1,2,1,4,2,2,4
"FBgn0002542",4061,261,535,271,253,468,538,484,542
"FBgn0002543",40368,1206,1970,1056,926,8531,7577,9442,8096
"FBgn0002552",3711,276,539,282,281,385,476,443,510
"FBgn0002561",1097,2,11,4,7,10,12,3,13
"FBgn0002562",2692,0,1,1,2,5,6,0,6
"FBgn0002563",2817,46,39,44,26,142,87,180,59
"FBgn0002564",2566,3,9,2,3,17,19,18,26
"FBgn0002565",2477,2,1,1,2,2,2,2,2
"FBgn0002566",18341,411,742,363,387,1164,1219,1283,1269
"FBgn0002567",8479,810,1426,752,662,861,1146,778,1249
"FBgn0002569",2156,4,2,2,2,4,3,3,4
"FBgn0002570",2241,5,1,1,3,17,29,15,18
"FBgn0002571",1984,1,2,2,1,1,2,4,3
"FBgn0002573",4898,1,2,0,0,4,3,0,3
"FBgn0002576",18988,5,9,4,5,20,9,25,13
"FBgn0002577",15236,9,7,5,5,13,19,22,16
"FBgn0002578",1767,1,1,0,0,5,5,2,3
"FBgn0002579",1146,245,442,258,275,643,785,697,752
"FBgn0002590",4677,422,843,394,455,1339,1151,1444,1177
"FBgn0002592",957,314,628,233,214,526,714,654,1003
"FBgn0002593",913,1119,2207,1029,1061,3089,2855,3600,3064
"FBgn0002609",1305,1020,1933,927,968,1759,1704,1848,1580
"FBgn0002622",1396,591,1145,593,629,1749,1960,1938,2049
"FBgn0002626",933,565,1051,536,558,1411,1459,1733,1543
"FBgn0002629",759,2,0,0,0,1,3,2,3
"FBgn0002633",982,23,27,23,28,219,184,196,137
"FBgn0002638",2512,414,854,433,399,545,663,532,631
"FBgn0002641",3536,102,178,91,109,368,480,429,543
"FBgn0002643",69154,2532,5074,2772,2459,9391,7233,9510,6775
"FBgn0002645",13163,1349,2814,1478,1418,2893,3082,2775,3255
"FBgn0002673",2464,129,281,141,140,632,614,613,643
"FBgn0002707",4572,101,201,82,84,216,289,218,356
"FBgn0002709",7006,45,65,23,44,208,191,192,168
"FBgn0002715",2466,77,183,80,67,254,291,267,269
"FBgn0002716",3354,83,145,57,57,220,206,222,235
"FBgn0002719",9340,1025,1935,1093,799,4821,3821,5354,4316
"FBgn0002723",5157,130,258,119,137,441,429,417,494
"FBgn0002732",676,19,36,23,14,69,166,60,136
"FBgn0002733",978,544,897,544,516,3024,3275,2798,2828
"FBgn0002734",1013,3,8,4,5,9,15,16,16
"FBgn0002735",911,11,11,15,5,43,38,55,57
"FBgn0002736",1161,316,600,309,332,712,862,843,837
"FBgn0002772",3100,3,4,2,3,6,4,1,1
"FBgn0002773",3114,27,52,22,18,68,79,88,105
"FBgn0002774",5922,373,722,329,350,818,1002,882,1097
"FBgn0002775",2321,175,349,185,182,322,350,369,332
"FBgn0002778",6568,748,1591,697,485,3664,3013,3799,2997
"FBgn0002780",2915,905,1718,747,799,1355,1474,1378,1481
"FBgn0002781",26556,1664,3165,1587,1699,3141,3459,3107,3426
"FBgn0002783",4780,497,870,420,406,795,897,813,870
"FBgn0002787",4500,309,583,253,296,610,856,718,915
"FBgn0002789",2211,2,0,2,2,1,2,4,3
"FBgn0002791",2978,205,402,197,188,735,861,814,967
"FBgn0002838",711,47,103,47,49,116,165,100,148
"FBgn0002842",1314,9,20,9,9,19,21,16,18
"FBgn0002865",1319,99,189,92,89,152,5,123,1
"FBgn0002868",964,161,394,141,127,238,833,279,1032
"FBgn0002872",4742,148,256,110,104,276,308,319,312
"FBgn0002878",4868,547,959,485,457,649,711,628,642
"FBgn0002887",4174,144,263,135,151,313,376,371,438
"FBgn0002891",7420,229,437,206,180,650,1162,769,1242
"FBgn0002899",4207,249,402,187,208,353,444,415,443
"FBgn0002901",3034,108,210,78,103,162,211,225,266
"FBgn0002905",6777,714,1312,638,656,2053,1885,2165,1938
"FBgn0002906",4974,203,380,167,156,497,450,552,522
"FBgn0002917",11050,10,23,22,9,24,29,26,20
"FBgn0002921",27526,1269,2905,1323,1398,4505,4601,4271,4661
"FBgn0002922",5544,537,1108,372,458,914,2050,1109,2229
"FBgn0002924",2838,1275,2420,1135,1194,1437,2034,1186,1509
"FBgn0002926",9429,40,108,22,37,102,68,88,71
"FBgn0002930",1765,4,11,3,4,50,17,40,10
"FBgn0002931",4967,476,863,441,355,2821,1472,2694,1479
"FBgn0002932",19124,292,612,287,282,1471,1473,1390,1525
"FBgn0002933",523,1,5,3,0,1,0,1,4
"FBgn0002937",2600,4,22,11,10,46,51,67,51
"FBgn0002938",6643,42,67,41,36,129,137,118,127
"FBgn0002939",1981,1,1,2,2,1,5,3,2
"FBgn0002940",1952,9,22,13,10,62,77,64,64
"FBgn0002941",8522,8,9,6,5,15,30,17,23
"FBgn0002945",41709,382,801,502,373,3795,4005,4011,4123
"FBgn0002948",4979,93,218,93,93,628,241,194,191
"FBgn0002962",2965,79,131,48,76,136,256,129,167
"FBgn0002973",26716,364,705,316,309,1073,1058,1243,1236
"FBgn0002985",2533,790,1411,855,780,956,1026,1020,1262
"FBgn0002989",3166,65,156,77,72,174,308,223,305
"FBgn0003002",17167,7,13,13,6,29,34,33,32
"FBgn0003008",1005,51,101,51,47,215,216,216,239
"FBgn0003009",4280,2,2,1,2,8,3,7,7
"FBgn0003011",3925,1,1,2,4,13,15,21,12
"FBgn0003015",3270,3,9,7,4,19,13,16,56
"FBgn0003016",90145,1417,2873,1369,1276,3074,3216,3592,3602
"FBgn0003023",4528,4,3,1,1,11,5,19,11
"FBgn0003028",22657,1,6,2,3,23,37,26,43
"FBgn0003041",15846,607,1117,538,566,1618,1697,1784,1623
"FBgn0003042",11883,191,343,155,139,617,873,558,955
"FBgn0003044",4565,421,833,376,450,745,872,769,913
"FBgn0003046",789,24,31,15,10,55,28,35,47
"FBgn0003048",12750,620,1191,537,576,862,1231,939,1302
"FBgn0003053",9643,491,1032,580,546,1383,1197,1431,1261
"FBgn0003062",1817,494,829,362,425,1056,1140,1120,1140
"FBgn0003065",1469,1,5,0,0,4,5,3,7
"FBgn0003068",7201,124,168,101,92,381,650,396,780
"FBgn0003071",7718,84,130,65,70,516,961,581,1121
"FBgn0003074",3170,243,420,203,217,655,1124,886,1332
"FBgn0003076",2514,114,217,120,97,314,404,403,560
"FBgn0003079",48405,134,314,129,172,303,424,383,427
"FBgn0003082",2031,86,155,73,65,149,227,164,272
"FBgn0003087",1104,182,324,137,127,317,346,320,381
"FBgn0003089",38987,54,81,44,35,130,132,119,125
"FBgn0003090",72676,163,167,148,123,720,282,867,334
