Geneid,S2_Ctrl1,S2_Auxin1,S2_Ctrl2,S2_Auxin2,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0029819,65,105,75,65,167,472,131,351
FBgn0014340,178,375,160,192,287,323,352,368
FBgn0029818,143,296,148,168,341,394,390,339
FBgn0029813,57,93,58,46,84,110,111,110
FBgn0029807,49,61,36,23,59,80,68,63
FBgn0029804,58,112,56,54,143,162,182,154
FBgn0013987,178,361,144,141,678,662,666,759
FBgn0029800,84,138,83,65,194,203,199,231
FBgn0261383,595,1126,546,586,2536,2548,2578,2690
FBgn0052758,548,1038,530,527,1564,1584,1501,1767
FBgn0053080,19,24,14,6,72,85,87,63
FBgn0027564,107,235,126,120,361,404,388,462
FBgn0029789,123,264,137,145,366,372,423,361
FBgn0046687,464,877,419,425,1133,1251,1316,1175
FBgn0015794,107,196,96,104,378,394,399,439
FBgn0029783,48,77,25,31,104,104,112,135
FBgn0029824,1089,2086,1049,1151,5199,4594,4831,4543
FBgn0029825,298,597,263,272,614,826,699,839
FBgn0052756,247,467,198,247,483,636,572,636
FBgn0029826,13,19,13,19,100,159,81,133
FBgn0052755,5,22,8,15,78,196,105,178
FBgn0029827,3,6,2,2,8,9,5,13
FBgn0029828,1,7,5,6,5,4,7,6
FBgn0029830,726,1397,626,711,1096,1398,1076,1288
FBgn0029831,465,868,514,417,844,928,941,1244
FBgn0029833,377,818,440,369,805,1024,867,1065
FBgn0029834,18,27,22,23,49,53,58,58
FBgn0029835,14,21,7,13,31,47,33,23
FBgn0029843,13,22,18,20,40,37,37,28
FBgn0029849,164,318,137,133,576,586,667,608
FBgn0003514,488,908,460,463,1067,1037,1221,1087
FBgn0029848,1,3,5,3,7,7,7,8
FBgn0040069,2,3,1,1,3,5,0,3
FBgn0052751,1,3,4,2,3,1,1,5
FBgn0052750,1,2,2,4,4,3,3,3
FBgn0026060,10,11,3,3,17,25,23,14
FBgn0029840,242,343,208,214,377,379,450,434
FBgn0029839,3,9,5,8,8,5,6,8
FBgn0029838,76,114,65,59,81,188,88,205
FBgn0029837,297,552,256,225,302,475,411,610
FBgn0003302,69,137,85,81,256,266,290,282
FBgn0029003,1541,3243,2042,1467,3568,3369,3997,3986
FBgn0027546,74,159,76,74,137,128,156,109
FBgn0005390,9,14,9,18,20,30,17,30
FBgn0029851,9,16,6,13,55,56,46,52
FBgn0015818,146,296,128,121,357,371,392,399
FBgn0029853,132,274,147,150,287,324,406,426
FBgn0028982,456,1001,484,518,785,890,946,860
FBgn0029857,206,455,202,197,588,675,653,688
FBgn0029858,98,187,87,97,169,197,196,213
FBgn0029861,173,383,191,181,402,400,501,472
FBgn0029863,39,94,57,42,83,66,80,66
FBgn0029864,5,11,10,7,17,8,13,8
FBgn0029866,13,20,4,9,21,7,20,20
FBgn0029867,352,589,301,301,551,450,557,506
FBgn0052748,58,242,151,166,243,169,263,302
FBgn0029873,305,632,263,251,453,583,507,629
FBgn0014031,131,284,168,170,468,379,458,377
FBgn0000524,212,405,203,220,437,394,450,391
FBgn0014026,471,883,399,451,1295,1198,1364,1241
FBgn0029874,106,183,101,90,203,251,221,281
FBgn0003139,142,276,126,141,277,263,322,324
FBgn0003655,34,48,35,21,67,42,78,34
FBgn0016974,14,28,12,14,41,33,53,21
FBgn0029868,164,292,131,149,399,424,456,535
FBgn0043796,162,300,163,171,345,340,380,343
FBgn0028685,286,505,231,228,415,531,516,599
FBgn0026015,158,338,166,162,365,403,392,455
FBgn0029856,279,516,276,266,1579,1409,1448,1286
FBgn0052745,1,1,1,0,8,5,8,2
FBgn0000442,21,32,18,20,388,100,503,126
FBgn0026438,5,8,7,4,13,16,20,13
FBgn0040106,1,0,0,1,5,3,0,1
FBgn0004611,266,555,298,259,1613,1809,1855,1968
FBgn0053127,19,24,9,8,30,34,26,46
FBgn0000061,1,1,0,3,16,14,8,17
FBgn0003278,367,706,303,322,725,731,719,722
FBgn0002593,1119,2207,1029,1061,3089,2855,3600,3064
FBgn0031254,2,7,2,2,11,13,14,8
FBgn0031255,6,11,5,6,14,17,12,20
FBgn0004583,2470,4562,2568,2697,6097,6057,6330,6378
FBgn0031256,419,757,351,427,957,845,1295,1112
FBgn0031257,51,105,52,57,233,186,211,195
FBgn0027592,397,762,344,365,1305,1214,1383,1396
FBgn0003963,2423,4641,2281,2371,7489,7210,8618,6868
FBgn0031263,206,353,242,266,533,509,647,607
FBgn0031265,286,567,285,275,556,596,610,610
FBgn0031266,440,823,431,428,850,923,1026,991
FBgn0031268,142,208,137,117,464,432,549,530
FBgn0023489,7,12,10,7,14,16,15,21
FBgn0010323,31,63,42,32,93,86,105,90
FBgn0013323,57,134,73,68,254,276,274,232
FBgn0031267,440,822,443,367,1077,1249,1386,1465
FBgn0021874,428,790,361,331,749,783,822,766
FBgn0031264,101,226,160,135,746,793,867,836
FBgn0005660,1433,2934,1782,1572,4622,3881,5135,4249
FBgn0031260,831,1512,769,865,1444,1456,1756,1707
FBgn0010602,1012,1991,860,998,2168,2381,2104,2267
FBgn0043364,3598,6738,3586,4296,13156,11908,12824,10076
FBgn0031258,319,654,333,320,2959,2275,3120,2262
FBgn0015924,319,696,317,351,1500,1459,1916,1654
FBgn0031253,376,791,423,425,941,861,1015,900
FBgn0031252,115,250,103,106,251,282,242,223
FBgn0031251,3,7,5,2,13,21,12,24
FBgn0031250,29,40,24,18,71,56,78,66
FBgn0051921,20,36,23,21,52,62,48,64
FBgn0031249,12,21,9,15,25,49,26,33
FBgn0031248,7,15,4,13,27,35,25,36
FBgn0067779,307,470,271,241,1766,1417,2081,1655
FBgn0031213,175,368,170,181,927,886,936,927
FBgn0031214,94,151,104,98,664,700,653,621
FBgn0031216,270,575,256,267,774,911,814,949
FBgn0031217,207,378,184,202,485,497,501,560
FBgn0001142,436,832,445,444,1744,1503,1848,1419
FBgn0031224,97,210,88,100,574,664,649,765
FBgn0031228,203,440,182,195,603,669,705,753
FBgn0031229,288,622,287,302,1108,1255,1214,1274
FBgn0031231,95,152,95,87,299,266,295,351
FBgn0031233,286,468,255,251,976,1036,1127,1174
FBgn0031235,103,184,96,96,200,220,252,217
FBgn0031240,121,190,84,99,194,231,203,224
FBgn0003444,142,271,112,118,345,360,344,311
FBgn0031247,50,96,41,54,127,184,168,225
FBgn0024352,1435,2692,1509,1566,1599,1715,1485,1765
FBgn0020622,679,1294,670,692,2093,2492,2406,2657
FBgn0017457,377,735,346,333,655,696,697,686
FBgn0025686,0,2,2,3,9,8,9,2
FBgn0031245,42,75,55,37,861,1236,886,1514
FBgn0031244,74,149,82,69,210,244,225,206
FBgn0031238,96,171,73,79,285,313,281,326
