Geneid,S2_Ctrl1,S2_Auxin1,S2_Ctrl2,S2_Auxin2
FBgn0040348,104,199,94,93
FBgn0040346,157,271,135,128
FBgn0040342,62,89,48,54
FBgn0040345,75,144,70,83
FBgn0040343,6,13,4,3
FBgn0052814,3,10,3,5
FBgn0040364,54,114,51,50
FBgn0040362,2,7,5,4
FBgn0040361,6,5,6,4
FBgn0040360,4,8,1,3
FBgn0040359,4,20,7,6
FBgn0040358,9,36,9,21
FBgn0029568,13,21,10,6
FBgn0040357,4,7,2,6
FBgn0040367,38,62,29,31
FBgn0025642,79,160,75,78
FBgn0004650,16,16,6,9
FBgn0024362,172,354,153,182
FBgn0024361,23,63,26,28
FBgn0024364,333,628,279,304
FBgn0029573,9,2,5,3
FBgn0024987,353,637,298,274
FBgn0023169,201,373,204,173
FBgn0052813,302,540,336,262
FBgn0024985,228,464,274,262
FBgn0027794,117,216,110,111
FBgn0027795,39,61,25,26
FBgn0024986,102,199,109,127
FBgn0000826,66,151,74,79
FBgn0024365,342,595,279,307
FBgn0024360,121,210,80,109
FBgn0024366,5,22,9,4
FBgn0025641,66,113,51,56
FBgn0052811,3,2,0,0
FBgn0028550,584,1135,601,551
FBgn0026876,198,395,228,210
FBgn0040366,90,208,92,78
FBgn0040363,4,9,5,3
FBgn0040368,0,2,1,0
FBgn0026872,306,538,305,240
FBgn0029580,49,83,41,41
FBgn0025383,56,91,48,53
FBgn0025381,1108,2137,1086,1120
FBgn0025394,209,385,161,148
FBgn0000482,408,730,354,345
FBgn0001189,113,253,107,121
FBgn0029587,14,42,10,23
FBgn0024897,21,47,22,24
FBgn0025391,3,9,6,2
FBgn0025378,0,1,1,2
FBgn0023130,138,261,133,99
FBgn0023530,81,146,72,69
FBgn0025390,23,38,19,27
FBgn0025393,0,0,0,0
FBgn0003517,1775,3245,1505,1736
FBgn0044508,29,40,16,17
FBgn0025382,131,245,123,101
FBgn0052808,60,112,68,53
FBgn0027791,184,387,138,155
FBgn0027793,69,125,89,69
FBgn0052806,5,20,4,2
FBgn0026873,116,229,75,111
FBgn0023513,380,717,344,354
FBgn0014411,724,1450,722,711
FBgn0023514,396,708,348,359
FBgn0029594,221,378,161,184
FBgn0023519,232,439,207,241
FBgn0023509,141,277,120,122
FBgn0023510,296,531,243,306
FBgn0023508,269,525,260,265
FBgn0023522,177,309,124,123
FBgn0023521,38,55,36,27
FBgn0025627,139,236,102,133
FBgn0025630,329,586,278,319
FBgn0025629,303,608,291,265
FBgn0025628,570,1047,513,573
FBgn0029596,44,106,46,58
FBgn0025626,384,723,343,358
FBgn0025625,65,105,66,76
FBgn0025631,710,1235,599,668
FBgn0026878,37,76,34,33
FBgn0000667,236,468,213,227
FBgn0003964,455,865,403,425
FBgn0023545,55,90,35,47
FBgn0023520,68,128,74,69
FBgn0023512,269,536,239,246
FBgn0023511,308,574,263,281
FBgn0052801,0,0,0,0
FBgn0023518,606,1133,538,533
FBgn0026088,217,406,182,241
FBgn0026089,241,442,169,216
FBgn0023517,524,940,427,431
FBgn0023516,218,372,198,203
FBgn0023515,272,565,236,233
FBgn0028969,738,1505,734,747
FBgn0026090,207,373,194,178
FBgn0029590,0,2,0,0
FBgn0025624,274,583,268,292
FBgn0040395,1378,3110,1388,1437
FBgn0000382,483,969,430,456
FBgn0023507,216,393,257,262
FBgn0004654,699,1477,706,702
FBgn0023540,31,62,23,24
FBgn0025839,62,143,55,54
FBgn0011576,1,2,0,3
FBgn0015036,2,4,2,2
FBgn0003116,150,250,139,133
FBgn0040899,61,135,64,44
FBgn0040900,25,51,28,21
FBgn0024984,80,140,59,57
FBgn0023549,237,418,201,235
FBgn0029606,2,6,2,1
FBgn0003048,620,1191,537,576
FBgn0000810,227,392,182,181
FBgn0023523,50,91,51,50
FBgn0023527,300,549,272,235
FBgn0040391,88,158,79,90
FBgn0053218,40,71,52,50
FBgn0003079,134,314,129,172
FBgn0003159,97,197,88,91
FBgn0040389,82,138,69,68
FBgn0044047,343,680,324,358
FBgn0040392,85,181,88,136
FBgn0023526,922,1676,701,695
FBgn0023529,377,754,367,423
FBgn0023528,249,533,221,225
FBgn0027296,127,223,79,102
FBgn0023524,6,20,8,10
FBgn0023525,34,58,32,28
FBgn0000377,159,283,127,144
FBgn0001330,177,362,163,178
FBgn0004397,788,1428,767,748
FBgn0023550,44,99,54,42
FBgn0029603,6,9,1,5
FBgn0023542,215,408,199,193
FBgn0023541,1,0,1,0
FBgn0005670,2,6,1,5
FBgn0004655,314,633,291,282
FBgn0013432,106,259,108,122
FBgn0004861,435,920,427,402
FBgn0004860,487,996,534,509
FBgn0040394,287,564,260,298
FBgn0040376,27,51,31,31
FBgn0040066,342,635,274,297
FBgn0001404,540,1036,557,504
FBgn0040336,74,135,78,59
FBgn0040333,39,82,33,45
FBgn0040334,83,168,78,86
FBgn0029629,225,473,221,242
FBgn0011566,81,150,54,78
FBgn0011606,390,678,317,331
FBgn0040375,442,948,492,436
FBgn0040377,8,6,7,9
FBgn0040388,298,590,336,273
FBgn0003714,75,170,69,75
FBgn0001150,20,24,8,15
FBgn0052797,1,1,6,2
FBgn0040385,1,3,1,1
FBgn0003371,1148,2118,1107,1056
FBgn0003068,124,168,101,92
FBgn0024993,97,142,76,96
FBgn0024996,152,305,133,142
FBgn0024997,120,197,102,128
FBgn0024991,326,515,308,277
FBgn0000928,168,291,167,154
FBgn0000927,233,492,177,253
FBgn0000520,286,459,256,229
FBgn0024975,99,161,94,86
FBgn0040356,4,1,1,0
FBgn0003996,6,4,6,7
FBgn0040384,27,53,36,24
FBgn0024980,54,102,36,28
FBgn0000376,275,488,234,223
FBgn0024973,353,693,291,307
FBgn0024998,121,250,95,107
FBgn0024995,47,90,56,43
FBgn0024994,230,413,214,232
FBgn0024992,125,248,119,134
FBgn0000092,18,23,16,12
FBgn0025838,4,4,4,4
FBgn0011276,4,8,1,2
FBgn0004647,1527,3026,1417,1360
FBgn0040396,61,120,48,54
FBgn0000479,832,1535,851,854
FBgn0002933,1,5,3,0
FBgn0003374,3,1,0,1
FBgn0029660,84,139,56,99
FBgn0029662,145,274,117,148
FBgn0029661,94,166,54,74
FBgn0029659,61,113,35,58
FBgn0029658,38,82,27,33
FBgn0052493,109,166,73,44
FBgn0029657,220,432,226,216
FBgn0003086,3,2,0,0
FBgn0010296,1,1,2,1
FBgn0010295,2,6,1,0
FBgn0010294,1,2,0,0
FBgn0040393,2,3,1,2
FBgn0000644,3,9,4,1
FBgn0028746,176,314,155,140
FBgn0040355,1,0,3,4
FBgn0052793,2,4,0,1
FBgn0029642,1,0,1,1
FBgn0025645,0,0,0,2
FBgn0029643,0,1,2,3
FBgn0029644,0,0,0,0
FBgn0029645,0,0,2,2
FBgn0029646,1,0,1,0
FBgn0029647,1,1,1,0
FBgn0029648,77,121,70,80
FBgn0028369,45,113,66,61
FBgn0029649,0,1,3,0
FBgn0003285,96,234,147,124
FBgn0025644,2,0,1,0
FBgn0029639,13,30,34,24
FBgn0040354,0,2,3,1
FBgn0040353,0,0,1,1
FBgn0040352,2,1,0,1
FBgn0029664,187,280,160,167
FBgn0029666,248,541,231,247
FBgn0029669,12,22,7,8
FBgn0052792,129,233,119,139
FBgn0044046,5,12,3,9
FBgn0023215,267,529,241,240
FBgn0015286,390,678,395,344
FBgn0023216,220,445,225,178
FBgn0029672,260,554,202,234
FBgn0052791,190,357,150,167
FBgn0029667,75,128,65,69
FBgn0029665,104,204,90,96
FBgn0029663,120,209,95,112
FBgn0052785,95,214,65,90
FBgn0025118,122,223,141,128
FBgn0028491,811,1712,827,915
FBgn0029681,4,3,2,4
FBgn0029686,89,162,84,91
FBgn0052786,0,0,1,0
FBgn0052783,2,8,5,1
FBgn0029687,218,419,166,204
FBgn0029690,0,0,0,0
FBgn0029689,195,325,178,188
FBgn0029688,497,885,479,480
FBgn0029685,278,565,280,254
FBgn0019661,10,17,10,14
FBgn0029694,12,27,14,10
FBgn0000221,68,123,57,60
FBgn0026084,690,1275,620,658
FBgn0026085,42,87,35,46
FBgn0026083,582,1073,524,554
FBgn0066114,111,199,93,119
FBgn0029697,8,13,10,8
FBgn0029701,2,7,2,4
FBgn0029702,13,80,12,17
FBgn0029706,92,188,84,88
FBgn0029705,24,54,23,21
FBgn0040907,68,133,68,68
FBgn0002707,101,201,82,84
FBgn0040906,6,11,4,3
FBgn0029703,2,3,3,1
FBgn0040905,6,12,2,3
FBgn0040904,12,12,5,2
FBgn0029700,4,5,2,1
FBgn0052774,10,10,5,4
FBgn0041252,4,8,2,3
FBgn0029696,0,2,1,1
FBgn0000635,228,516,307,271
FBgn0026080,149,306,156,142
FBgn0026079,186,326,179,178
FBgn0004832,43,98,46,39
FBgn0029693,183,335,175,175
FBgn0000179,17,21,14,13
FBgn0029708,51,113,54,46
FBgn0029709,245,427,215,197
FBgn0029710,23,36,25,14
FBgn0029712,34,74,35,40
FBgn0029714,190,355,151,154
FBgn0029716,0,0,2,0
FBgn0022768,426,783,315,353
FBgn0029715,187,300,157,174
FBgn0029713,60,108,52,54
FBgn0029711,73,163,71,88
FBgn0003210,225,421,158,209
FBgn0052773,2,2,1,0
FBgn0011760,514,935,489,472
FBgn0028325,208,388,174,187
FBgn0029722,35,58,41,34
FBgn0029727,0,1,0,0
FBgn0029729,1,0,0,2
FBgn0029730,3,5,0,1
FBgn0029733,2,7,2,2
FBgn0052772,169,348,167,151
FBgn0029737,100,185,101,95
FBgn0004368,349,666,414,336
FBgn0029740,0,0,0,1
FBgn0061196,0,1,0,0
FBgn0029728,0,4,2,2
FBgn0029726,0,1,0,1
FBgn0029725,1,1,1,0
FBgn0025679,0,1,2,0
FBgn0029724,0,0,0,0
FBgn0029745,0,5,1,1
FBgn0029746,0,0,0,0
FBgn0003449,60,118,58,64
FBgn0011761,1,5,2,1
FBgn0029753,1,2,1,1
FBgn0029755,173,295,153,118
FBgn0014024,212,414,212,248
FBgn0029754,1,6,1,2
FBgn0029752,25,31,18,21
FBgn0029751,30,38,17,32
FBgn0029750,1,8,1,5
FBgn0029747,0,3,0,3
FBgn0052767,245,571,222,257
FBgn0026751,121,231,116,104
FBgn0010014,8,28,10,11
FBgn0029761,17,46,18,30
FBgn0029763,346,611,329,315
FBgn0029765,9,8,6,9
FBgn0029766,677,1275,659,715
FBgn0029768,4,2,1,1
FBgn0029770,2,4,2,1
FBgn0029771,79,161,74,79
FBgn0026702,253,487,227,253
FBgn0004687,277,589,235,300
FBgn0029778,78,152,55,80
FBgn0052762,1,6,0,1
FBgn0029769,0,4,3,1
FBgn0029762,0,7,2,1
FBgn0029756,86,152,68,84
FBgn0028474,382,755,365,398
FBgn0029785,573,1041,555,538
FBgn0003747,1,4,0,4
FBgn0000394,36,67,32,42
FBgn0029791,5,10,4,10
FBgn0029795,34,84,43,48
FBgn0029798,129,210,115,125
FBgn0029799,44,84,42,60
FBgn0029801,159,261,127,117
FBgn0029809,19,41,17,17
FBgn0029810,3,4,0,0
FBgn0029811,0,0,0,0
FBgn0029812,2,6,2,0
FBgn0029814,5,10,1,1
FBgn0052761,0,0,0,0
FBgn0029816,5,7,0,0
FBgn0029817,8,11,7,2
FBgn0029820,46,101,67,68
FBgn0029821,27,55,32,40
FBgn0029822,524,1027,507,605
FBgn0029823,1451,2797,1412,1398
FBgn0029819,65,105,75,65
FBgn0014340,178,375,160,192
FBgn0029818,143,296,148,168
FBgn0029813,57,93,58,46
FBgn0029807,49,61,36,23
FBgn0029804,58,112,56,54
FBgn0013987,178,361,144,141
FBgn0029800,84,138,83,65
FBgn0261383,595,1126,546,586
FBgn0052758,548,1038,530,527
FBgn0053080,19,24,14,6
FBgn0027564,107,235,126,120
FBgn0029789,123,264,137,145
FBgn0046687,464,877,419,425
FBgn0015794,107,196,96,104
FBgn0029783,48,77,25,31
FBgn0029824,1089,2086,1049,1151
FBgn0029825,298,597,263,272
FBgn0052756,247,467,198,247
FBgn0029826,13,19,13,19
FBgn0052755,5,22,8,15
FBgn0029827,3,6,2,2
FBgn0029828,1,7,5,6
FBgn0029830,726,1397,626,711
FBgn0029831,465,868,514,417
FBgn0029833,377,818,440,369
FBgn0029834,18,27,22,23
FBgn0029835,14,21,7,13
FBgn0029843,13,22,18,20
FBgn0029849,164,318,137,133
FBgn0003514,488,908,460,463
FBgn0029848,1,3,5,3
FBgn0040069,2,3,1,1
FBgn0052751,1,3,4,2
FBgn0052750,1,2,2,4
FBgn0026060,10,11,3,3
FBgn0029840,242,343,208,214
FBgn0029839,3,9,5,8
FBgn0029838,76,114,65,59
FBgn0029837,297,552,256,225
FBgn0003302,69,137,85,81
FBgn0029003,1541,3243,2042,1467
FBgn0027546,74,159,76,74
FBgn0005390,9,14,9,18
FBgn0029851,9,16,6,13
FBgn0015818,146,296,128,121
FBgn0029853,132,274,147,150
FBgn0028982,456,1001,484,518
FBgn0029857,206,455,202,197
FBgn0029858,98,187,87,97
FBgn0029861,173,383,191,181
FBgn0029863,39,94,57,42
FBgn0029864,5,11,10,7
FBgn0029866,13,20,4,9
FBgn0029867,352,589,301,301
FBgn0052748,58,242,151,166
FBgn0029873,305,632,263,251
FBgn0014031,131,284,168,170
FBgn0000524,212,405,203,220
FBgn0014026,471,883,399,451
FBgn0029874,106,183,101,90
FBgn0003139,142,276,126,141
FBgn0003655,34,48,35,21
FBgn0016974,14,28,12,14
FBgn0029868,164,292,131,149
FBgn0043796,162,300,163,171
FBgn0028685,286,505,231,228
FBgn0026015,158,338,166,162
FBgn0029856,279,516,276,266
FBgn0052745,1,1,1,0
FBgn0000442,21,32,18,20
FBgn0026438,5,8,7,4
FBgn0040106,1,0,0,1
FBgn0004611,266,555,298,259
FBgn0053127,19,24,9,8
FBgn0000061,1,1,0,3
FBgn0003278,367,706,303,322
FBgn0002593,1119,2207,1029,1061
FBgn0031254,2,7,2,2
FBgn0031255,6,11,5,6
FBgn0004583,2470,4562,2568,2697
FBgn0031256,419,757,351,427
FBgn0031257,51,105,52,57
FBgn0027592,397,762,344,365
FBgn0003963,2423,4641,2281,2371
FBgn0031263,206,353,242,266
FBgn0031265,286,567,285,275
FBgn0031266,440,823,431,428
FBgn0031268,142,208,137,117
FBgn0023489,7,12,10,7
FBgn0010323,31,63,42,32
FBgn0013323,57,134,73,68
FBgn0031267,440,822,443,367
FBgn0021874,428,790,361,331
FBgn0031264,101,226,160,135
FBgn0005660,1433,2934,1782,1572
FBgn0031260,831,1512,769,865
FBgn0010602,1012,1991,860,998
FBgn0043364,3598,6738,3586,4296
FBgn0031258,319,654,333,320
FBgn0015924,319,696,317,351
FBgn0031253,376,791,423,425
FBgn0031252,115,250,103,106
FBgn0031251,3,7,5,2
FBgn0031250,29,40,24,18
FBgn0051921,20,36,23,21
FBgn0031249,12,21,9,15
FBgn0031248,7,15,4,13
FBgn0067779,307,470,271,241
FBgn0031213,175,368,170,181
FBgn0031214,94,151,104,98
FBgn0031216,270,575,256,267
FBgn0031217,207,378,184,202
FBgn0001142,436,832,445,444
FBgn0031224,97,210,88,100
FBgn0031228,203,440,182,195
FBgn0031229,288,622,287,302
FBgn0031231,95,152,95,87
FBgn0031233,286,468,255,251
FBgn0031235,103,184,96,96
FBgn0031240,121,190,84,99
FBgn0003444,142,271,112,118
FBgn0031247,50,96,41,54
FBgn0024352,1435,2692,1509,1566
FBgn0020622,679,1294,670,692
FBgn0017457,377,735,346,333
FBgn0025686,0,2,2,3
FBgn0031245,42,75,55,37
FBgn0031244,74,149,82,69
FBgn0031238,96,171,73,79
FBgn0031239,120,223,126,138
FBgn0031232,49,93,60,55
FBgn0031227,109,205,99,97
FBgn0051974,44,78,48,38
FBgn0051975,0,0,0,0
FBgn0051976,0,0,0,0
FBgn0031219,39,74,28,31
FBgn0026787,360,618,306,325
FBgn0002931,476,863,441,355
FBgn0051973,11,9,5,9
FBgn0031209,0,1,1,0
FBgn0002121,713,1302,670,636
FBgn0036970,3,2,5,1
FBgn0036974,387,681,354,330
FBgn0036975,145,279,141,151
FBgn0024887,167,303,130,142
FBgn0036977,64,142,66,73
FBgn0001259,10,23,14,11
FBgn0036979,35,70,41,31
FBgn0036980,307,588,231,265
FBgn0036985,63,104,100,120
FBgn0036991,161,327,121,135
FBgn0036993,176,343,141,131
FBgn0036996,2,4,4,1
FBgn0036997,32,50,37,42
FBgn0036998,176,240,161,153
FBgn0036999,54,98,52,51
FBgn0037001,202,435,226,231
FBgn0052425,503,977,510,504
FBgn0037003,7,27,11,12
FBgn0037004,12,24,7,9
FBgn0037005,17,46,16,28
FBgn0037009,157,310,162,174
FBgn0037011,68,125,52,55
FBgn0037013,21,41,19,20
FBgn0001323,11,16,7,10
FBgn0037012,389,877,430,360
FBgn0037008,141,219,114,104
FBgn0037007,232,437,245,242
FBgn0037000,280,540,330,268
FBgn0052428,604,1207,625,556
FBgn0036995,336,619,299,339
FBgn0036994,181,348,163,144
FBgn0036992,55,103,41,54
FBgn0036990,194,391,187,183
FBgn0029158,133,250,146,116
FBgn0036988,67,135,58,64
FBgn0036987,91,159,94,89
FBgn0036986,10,28,9,10
FBgn0036984,82,150,71,73
FBgn0028978,685,1206,629,656
FBgn0027565,136,273,129,149
FBgn0001247,178,311,172,164
FBgn0036978,3,11,12,11
FBgn0036973,88,117,50,36
FBgn0037014,2,5,9,7
FBgn0037016,875,1685,877,837
FBgn0040634,21,49,27,23
FBgn0016696,548,1027,416,445
FBgn0037020,172,349,159,161
FBgn0037024,151,307,134,128
FBgn0037025,330,618,287,310
FBgn0037027,475,888,480,476
FBgn0037030,0,0,2,2
FBgn0040636,19,41,22,29
FBgn0037031,12,38,21,14
FBgn0040637,1,1,0,1
FBgn0037035,5,6,4,8
FBgn0011591,2407,4518,2624,2330
FBgn0052432,7,17,8,8
FBgn0027055,156,286,132,127
FBgn0037026,174,337,163,167
FBgn0037023,0,0,1,2
FBgn0027364,4,0,3,0
FBgn0037022,2,2,1,0
FBgn0037021,241,444,212,249
FBgn0037019,113,263,120,134
FBgn0037018,94,195,79,99
FBgn0037017,14,38,20,19
FBgn0045474,2,3,3,2
FBgn0037015,2,1,3,0
FBgn0001320,8,11,12,7
FBgn0037037,10,31,12,12
FBgn0053283,3,3,7,2
FBgn0037042,5,22,14,10
FBgn0037044,364,759,340,329
FBgn0028402,294,502,245,239
FBgn0026179,525,866,464,433
FBgn0053284,0,1,0,0
FBgn0037050,78,139,63,68
FBgn0037057,465,923,512,279
FBgn0037060,66,142,72,70
FBgn0028427,270,472,237,254
FBgn0004865,760,1553,795,697
FBgn0037061,94,157,71,73
FBgn0037059,51,89,35,55
FBgn0053056,70,171,66,76
FBgn0053054,22,73,30,34
FBgn0041100,42,34,20,24
FBgn0024150,276,588,247,293
FBgn0037051,669,1417,641,666
FBgn0020294,311,579,251,306
FBgn0053285,1,0,0,1
FBgn0037045,165,298,121,168
FBgn0003415,1057,1833,915,913
FBgn0053286,14,24,12,8
FBgn0053287,9,26,9,11
FBgn0037040,15,26,8,20
FBgn0037039,5,15,7,4
FBgn0037038,2,4,2,2
FBgn0037036,6,10,7,4
FBgn0037068,5,13,6,5
FBgn0037069,11,12,6,10
FBgn0037071,136,249,118,110
FBgn0037073,433,816,369,363
FBgn0052436,30,47,30,23
FBgn0052437,2,2,0,1
FBgn0052440,43,70,35,32
FBgn0053288,61,110,73,75
FBgn0005694,363,621,284,298
FBgn0037087,125,217,92,93
FBgn0037090,49,93,38,57
FBgn0037092,128,191,102,100
FBgn0037093,627,1094,488,542
FBgn0037094,223,464,245,228
FBgn0053289,2,2,0,0
FBgn0015283,343,641,331,295
FBgn0028663,431,798,392,407
FBgn0053290,6,11,11,7
FBgn0037101,6,10,6,5
FBgn0052438,133,251,109,102
FBgn0052441,76,177,88,100
FBgn0037102,70,129,73,67
FBgn0037099,1,4,2,1
FBgn0037098,439,864,374,369
FBgn0029152,266,544,254,234
FBgn0026371,142,242,115,121
FBgn0015239,209,386,195,192
FBgn0037086,2,1,0,1
FBgn0037085,2,0,0,1
FBgn0014143,57,86,47,40
FBgn0037082,145,278,116,155
FBgn0037081,75,130,72,62
FBgn0002842,9,20,9,9
FBgn0037078,9,14,6,8
FBgn0037076,136,288,135,132
FBgn0037074,430,812,365,387
FBgn0003042,191,343,155,139
FBgn0037070,20,34,13,23
FBgn0037067,8,22,14,6
FBgn0037065,6,14,7,10
FBgn0027945,115,243,104,119
FBgn0037064,68,136,56,80
FBgn0037063,177,290,150,142
FBgn0037106,50,86,36,31
FBgn0037108,186,325,146,153
FBgn0037110,72,137,80,59
FBgn0043783,2,1,0,2
FBgn0052445,3,1,1,2
FBgn0052446,92,143,102,64
FBgn0037115,13,25,19,19
FBgn0037117,81,185,71,99
FBgn0037121,149,250,99,101
FBgn0037125,1,2,0,0
FBgn0037128,1,1,0,2
FBgn0037131,2,1,1,2
FBgn0037133,2,12,6,4
FBgn0000560,7,24,8,9
FBgn0022936,365,595,321,334
FBgn0037134,72,163,71,81
FBgn0037135,518,1010,478,529
FBgn0037139,1,0,1,0
FBgn0037138,371,748,361,377
FBgn0046301,141,223,110,132
FBgn0052448,41,72,33,51
FBgn0037130,5,2,5,2
FBgn0037129,3,1,0,1
FBgn0037127,0,0,0,0
FBgn0037126,9,12,4,10
FBgn0037124,0,0,0,1
FBgn0037123,12,47,17,13
FBgn0037122,128,249,113,135
FBgn0037120,119,244,110,116
FBgn0052447,4,3,5,2
FBgn0037116,85,193,100,108
FBgn0037114,0,0,0,1
FBgn0037109,507,1012,481,527
FBgn0037107,3,5,1,1
FBgn0037105,67,101,55,60
FBgn0037140,33,72,35,32
FBgn0037142,153,289,145,133
FBgn0037143,7,8,5,8
FBgn0037144,502,1181,489,422
FBgn0029091,2,9,2,3
FBgn0037146,8,2,3,2
FBgn0000045,7,21,13,8
FBgn0004514,9,18,12,17
FBgn0037149,201,426,182,204
FBgn0000100,1396,2395,1099,1207
FBgn0004414,1,2,0,1
FBgn0037151,296,561,261,304
FBgn0037150,372,695,334,332
FBgn0027532,492,914,429,454
FBgn0037147,5,4,3,4
FBgn0037141,249,480,261,243
FBgn0052449,27,43,27,27
FBgn0015075,241,473,188,242
FBgn0004179,383,789,399,320
FBgn0025702,76,171,99,79
FBgn0027086,876,1630,865,817
FBgn0052450,97,195,84,90
FBgn0037162,11,19,9,9
FBgn0037164,18,28,11,15
FBgn0037165,3,9,5,2
FBgn0037166,17,34,13,12
FBgn0037167,6,15,5,3
FBgn0037163,17,42,17,22
FBgn0004449,2323,4385,2155,2293
FBgn0011771,327,655,267,315
FBgn0037156,194,445,194,182
FBgn0028500,294,489,246,265
FBgn0037169,1,1,2,4
FBgn0037170,7,6,8,9
FBgn0037172,1,2,5,4
FBgn0037174,4,5,2,0
FBgn0037176,1,0,3,3
FBgn0037179,0,0,3,0
FBgn0037180,1,1,2,0
FBgn0052453,2,1,2,0
FBgn0037181,14,27,9,14
FBgn0052452,329,662,273,299
FBgn0037185,408,717,377,381
FBgn0260481,21,40,19,22
FBgn0037188,353,688,315,342
FBgn0052451,1117,2180,1104,1120
FBgn0037191,11,23,13,11
FBgn0010830,270,594,253,220
FBgn0037186,33,67,35,33
FBgn0037184,105,217,113,86
FBgn0037183,6,7,3,1
FBgn0037182,413,758,374,407
FBgn0037178,0,1,3,1
FBgn0037177,0,1,0,1
FBgn0037175,3,1,3,0
FBgn0037171,13,22,10,20
FBgn0037195,16,32,14,18
FBgn0037197,3,2,2,3
FBgn0053169,147,262,102,97
FBgn0037200,14,47,15,20
FBgn0037202,63,104,43,65
FBgn0037203,35,87,53,46
FBgn0037204,11,15,6,11
FBgn0037205,250,506,209,260
FBgn0037206,195,396,197,184
FBgn0037207,1378,2460,1215,1278
FBgn0052457,2,1,2,5
FBgn0052461,62,106,39,57
FBgn0044324,765,1630,754,776
FBgn0010348,1001,2084,924,979
FBgn0020518,16,38,12,14
FBgn0037199,192,345,163,171
FBgn0052459,6,5,1,2
FBgn0052462,0,0,0,1
FBgn0052460,393,707,315,385
FBgn0037397,3,1,0,2
FBgn0046878,0,3,0,0
FBgn0037402,0,2,2,1
FBgn0037405,4,11,5,7
FBgn0037406,1,1,1,1
FBgn0051562,2,2,1,0
FBgn0037408,11,12,7,6
FBgn0037409,0,4,0,1
FBgn0037410,3,1,0,1
FBgn0037411,3,3,1,0
FBgn0037413,0,0,0,0
FBgn0027527,0,3,1,1
FBgn0037414,0,4,1,2
FBgn0037415,0,2,0,0
FBgn0037416,0,2,0,1
FBgn0037419,0,1,3,2
FBgn0037421,0,2,0,2
FBgn0037422,0,1,2,0
FBgn0040279,1,0,0,2
FBgn0037424,0,0,0,0
FBgn0051561,0,3,0,1
FBgn0051560,0,2,0,0
FBgn0037427,2,1,1,3
FBgn0037428,0,7,4,0
FBgn0037420,2,0,0,0
FBgn0037418,1,2,1,1
FBgn0037412,2,4,0,0
FBgn0051559,1,3,1,3
FBgn0046875,0,1,1,0
FBgn0046876,1,6,2,0
FBgn0026077,2,2,3,0
FBgn0037399,0,1,2,0
FBgn0037398,0,0,1,1
FBgn0037396,2,3,1,3
FBgn0037374,185,319,137,172
FBgn0037375,63,100,32,53
FBgn0028690,539,957,412,428
