Geneid,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0029709,430,392,486,481
FBgn0029710,48,74,70,76
FBgn0029712,105,109,118,111
FBgn0029714,293,348,409,375
FBgn0029716,1,1,0,0
FBgn0022768,1137,736,1248,750
FBgn0029715,300,295,312,340
FBgn0029713,129,139,126,131
FBgn0029711,235,280,262,287
FBgn0003210,382,441,475,497
FBgn0052773,2,7,3,2
FBgn0011760,2488,2438,2578,2498
FBgn0028325,510,518,537,524
FBgn0029722,147,254,196,263
FBgn0029727,3,4,0,1
FBgn0029729,1,3,0,1
FBgn0029730,0,3,0,1
FBgn0029733,9,11,8,9
FBgn0052772,633,566,628,647
FBgn0029737,446,573,501,642
FBgn0004368,1581,1707,2448,2789
FBgn0029740,1,0,0,1
FBgn0061196,0,0,1,1
FBgn0029728,1,6,7,4
FBgn0029726,0,2,1,0
FBgn0029725,0,0,0,1
FBgn0025679,2,3,1,5
FBgn0029724,0,2,3,1
FBgn0029745,3,5,0,5
FBgn0029746,0,0,0,0
FBgn0003449,192,152,142,172
FBgn0011761,11,16,11,15
FBgn0029753,7,2,0,2
FBgn0029755,190,188,194,175
FBgn0014024,324,335,336,319
FBgn0029754,15,8,11,10
FBgn0029752,78,93,69,79
FBgn0029751,70,83,67,69
FBgn0029750,8,21,17,11
FBgn0029747,1,7,6,11
FBgn0052767,883,889,846,952
FBgn0026751,282,354,334,460
FBgn0010014,33,44,31,42
FBgn0029761,69,42,48,43
FBgn0029763,577,635,701,670
FBgn0029765,49,40,40,40
FBgn0029766,2991,3671,3534,4369
FBgn0029768,6,4,6,7
FBgn0029770,13,3,3,8
FBgn0029771,235,219,231,216
FBgn0026702,313,341,327,346
FBgn0004687,1022,968,1117,1126
FBgn0029778,235,229,317,280
FBgn0052762,3,3,5,6
FBgn0029769,2,3,2,4
FBgn0029762,8,27,11,14
FBgn0029756,154,180,184,202
FBgn0028474,900,1020,1045,1012
FBgn0029785,1732,1802,1896,1872
FBgn0003747,19,14,11,10
FBgn0000394,85,95,98,110
FBgn0029791,45,38,47,37
FBgn0029795,150,177,177,203
FBgn0029798,208,210,200,201
FBgn0029799,87,115,89,100
FBgn0029801,284,333,302,311
FBgn0029809,37,57,36,42
FBgn0029810,8,8,9,7
FBgn0029811,3,2,1,2
FBgn0029812,1,4,2,4
FBgn0029814,13,8,8,10
FBgn0052761,4,1,11,7
FBgn0029816,3,4,2,3
FBgn0029817,30,47,27,27
FBgn0029820,218,256,227,295
FBgn0029821,55,61,45,62
FBgn0029822,1298,1419,1445,1451
FBgn0029823,3856,4241,4257,4449
FBgn0029819,167,472,131,351
FBgn0014340,287,323,352,368
FBgn0029818,341,394,390,339
FBgn0029813,84,110,111,110
FBgn0029807,59,80,68,63
FBgn0029804,143,162,182,154
FBgn0013987,678,662,666,759
FBgn0029800,194,203,199,231
FBgn0261383,2536,2548,2578,2690
FBgn0052758,1564,1584,1501,1767
FBgn0053080,72,85,87,63
FBgn0027564,361,404,388,462
FBgn0029789,366,372,423,361
FBgn0046687,1133,1251,1316,1175
FBgn0015794,378,394,399,439
FBgn0029783,104,104,112,135
FBgn0029824,5199,4594,4831,4543
FBgn0029825,614,826,699,839
FBgn0052756,483,636,572,636
FBgn0029826,100,159,81,133
FBgn0052755,78,196,105,178
FBgn0029827,8,9,5,13
FBgn0029828,5,4,7,6
FBgn0029830,1096,1398,1076,1288
FBgn0029831,844,928,941,1244
FBgn0029833,805,1024,867,1065
FBgn0029834,49,53,58,58
FBgn0029835,31,47,33,23
FBgn0029843,40,37,37,28
FBgn0029849,576,586,667,608
FBgn0003514,1067,1037,1221,1087
FBgn0029848,7,7,7,8
FBgn0040069,3,5,0,3
FBgn0052751,3,1,1,5
FBgn0052750,4,3,3,3
FBgn0026060,17,25,23,14
FBgn0029840,377,379,450,434
FBgn0029839,8,5,6,8
FBgn0029838,81,188,88,205
FBgn0029837,302,475,411,610
FBgn0003302,256,266,290,282
FBgn0029003,3568,3369,3997,3986
FBgn0027546,137,128,156,109
FBgn0005390,20,30,17,30
FBgn0029851,55,56,46,52
FBgn0015818,357,371,392,399
FBgn0029853,287,324,406,426
FBgn0028982,785,890,946,860
FBgn0029857,588,675,653,688
FBgn0029858,169,197,196,213
FBgn0029861,402,400,501,472
FBgn0029863,83,66,80,66
FBgn0029864,17,8,13,8
FBgn0029866,21,7,20,20
FBgn0029867,551,450,557,506
FBgn0052748,243,169,263,302
FBgn0029873,453,583,507,629
FBgn0014031,468,379,458,377
FBgn0000524,437,394,450,391
FBgn0014026,1295,1198,1364,1241
FBgn0029874,203,251,221,281
FBgn0003139,277,263,322,324
FBgn0003655,67,42,78,34
FBgn0016974,41,33,53,21
FBgn0029868,399,424,456,535
FBgn0043796,345,340,380,343
FBgn0028685,415,531,516,599
FBgn0026015,365,403,392,455
FBgn0029856,1579,1409,1448,1286
FBgn0052745,8,5,8,2
FBgn0000442,388,100,503,126
FBgn0026438,13,16,20,13
FBgn0040106,5,3,0,1
FBgn0004611,1613,1809,1855,1968
FBgn0053127,30,34,26,46
FBgn0000061,16,14,8,17
FBgn0003278,725,731,719,722
FBgn0002593,3089,2855,3600,3064
FBgn0031254,11,13,14,8
FBgn0031255,14,17,12,20
FBgn0004583,6097,6057,6330,6378
FBgn0031256,957,845,1295,1112
FBgn0031257,233,186,211,195
FBgn0027592,1305,1214,1383,1396
FBgn0003963,7489,7210,8618,6868
FBgn0031263,533,509,647,607
FBgn0031265,556,596,610,610
FBgn0031266,850,923,1026,991
FBgn0031268,464,432,549,530
FBgn0023489,14,16,15,21
FBgn0010323,93,86,105,90
FBgn0013323,254,276,274,232
FBgn0031267,1077,1249,1386,1465
FBgn0021874,749,783,822,766
FBgn0031264,746,793,867,836
FBgn0005660,4622,3881,5135,4249
FBgn0031260,1444,1456,1756,1707
FBgn0010602,2168,2381,2104,2267
FBgn0043364,13156,11908,12824,10076
FBgn0031258,2959,2275,3120,2262
FBgn0015924,1500,1459,1916,1654
FBgn0031253,941,861,1015,900
FBgn0031252,251,282,242,223
FBgn0031251,13,21,12,24
FBgn0031250,71,56,78,66
FBgn0051921,52,62,48,64
FBgn0031249,25,49,26,33
FBgn0031248,27,35,25,36
FBgn0067779,1766,1417,2081,1655
FBgn0031213,927,886,936,927
FBgn0031214,664,700,653,621
FBgn0031216,774,911,814,949
FBgn0031217,485,497,501,560
FBgn0001142,1744,1503,1848,1419
FBgn0031224,574,664,649,765
FBgn0031228,603,669,705,753
FBgn0031229,1108,1255,1214,1274
FBgn0031231,299,266,295,351
FBgn0031233,976,1036,1127,1174
FBgn0031235,200,220,252,217
FBgn0031240,194,231,203,224
FBgn0003444,345,360,344,311
FBgn0031247,127,184,168,225
FBgn0024352,1599,1715,1485,1765
FBgn0020622,2093,2492,2406,2657
FBgn0017457,655,696,697,686
FBgn0025686,9,8,9,2
FBgn0031245,861,1236,886,1514
FBgn0031244,210,244,225,206
FBgn0031238,285,313,281,326
FBgn0031239,284,324,267,309
FBgn0031232,138,174,175,170
FBgn0031227,131,136,148,155
FBgn0051974,174,182,196,148
FBgn0051975,0,0,0,0
FBgn0051976,0,0,0,0
FBgn0031219,58,132,61,90
FBgn0026787,756,902,851,1055
FBgn0002931,2821,1472,2694,1479
FBgn0051973,38,35,41,47
FBgn0031209,2,2,3,2
FBgn0002121,2444,2208,2444,2254
FBgn0036970,13,6,11,11
FBgn0036974,854,832,901,949
FBgn0036975,373,355,354,342
FBgn0024887,341,376,293,359
FBgn0036977,86,80,66,83
FBgn0001259,53,72,52,64
FBgn0036979,141,212,183,208
FBgn0036980,911,1073,1079,1234
FBgn0036985,69,84,49,64
FBgn0036991,342,347,369,375
FBgn0036993,1190,636,1457,730
FBgn0036996,4,12,8,16
FBgn0036997,110,175,95,141
FBgn0036998,353,398,373,433
FBgn0036999,140,172,144,129
FBgn0037001,513,543,624,584
FBgn0052425,2550,2321,2725,2565
FBgn0037003,17,22,23,34
FBgn0037004,13,17,22,24
FBgn0037005,67,71,85,76
FBgn0037009,557,609,640,632
FBgn0037011,328,429,397,464
FBgn0037013,103,163,157,190
FBgn0001323,20,24,23,22
FBgn0037012,1531,1281,1631,1528
FBgn0037008,292,306,342,374
FBgn0037007,2414,2323,2520,2389
FBgn0037000,804,656,781,723
FBgn0052428,1932,2404,2113,2527
FBgn0036995,460,487,518,498
FBgn0036994,293,331,325,352
FBgn0036992,92,142,118,113
FBgn0036990,527,515,516,550
FBgn0029158,323,450,373,485
FBgn0036988,268,317,281,300
FBgn0036987,270,338,281,307
FBgn0036986,26,38,17,21
FBgn0036984,122,282,128,275
FBgn0028978,2165,2260,2333,2405
FBgn0027565,461,476,473,537
FBgn0001247,500,740,589,768
FBgn0036978,23,31,24,25
FBgn0036973,415,918,365,430
FBgn0037014,7,13,10,7
FBgn0037016,1940,1830,1777,2081
FBgn0040634,110,87,103,102
FBgn0016696,826,919,834,991
FBgn0037020,824,1113,1065,1205
FBgn0037024,390,449,379,487
FBgn0037025,504,580,425,501
FBgn0037027,719,832,866,960
FBgn0037030,2,0,2,0
FBgn0040636,98,169,99,176
FBgn0037031,84,107,107,112
FBgn0040637,0,0,2,2
FBgn0037035,52,48,53,29
FBgn0011591,3531,4451,3829,4883
FBgn0052432,20,54,25,27
FBgn0027055,344,455,387,521
FBgn0037026,317,388,376,403
FBgn0037023,2,4,2,3
FBgn0027364,11,14,8,13
FBgn0037022,5,8,6,7
FBgn0037021,585,694,649,653
FBgn0037019,342,400,363,360
FBgn0037018,304,373,343,366
FBgn0037017,61,53,69,41
FBgn0045474,10,15,4,9
FBgn0037015,3,9,6,2
FBgn0001320,50,30,53,37
FBgn0037037,43,58,43,66
FBgn0053283,12,5,5,7
FBgn0037042,78,69,42,77
FBgn0037044,550,652,639,789
FBgn0028402,466,670,544,768
FBgn0026179,2608,3678,2800,3715
FBgn0053284,3,0,2,3
FBgn0037050,148,225,169,219
FBgn0037057,2245,1881,2329,2047
FBgn0037060,231,350,278,364
FBgn0028427,631,888,705,924
FBgn0004865,2582,3938,3063,4098
FBgn0037061,113,165,105,160
FBgn0037059,95,117,126,84
FBgn0053056,269,513,216,504
FBgn0053054,83,118,70,100
FBgn0041100,57,95,58,86
FBgn0024150,2448,1957,2672,1920
FBgn0037051,2069,2399,2354,2763
FBgn0020294,1247,1329,1490,1395
FBgn0053285,2,0,3,0
FBgn0037045,330,489,407,548
FBgn0003415,3075,3434,3260,3653
FBgn0053286,28,35,34,37
FBgn0053287,30,27,46,24
FBgn0037040,40,49,35,49
FBgn0037039,9,20,15,27
FBgn0037038,7,7,7,5
FBgn0037036,12,18,16,24
FBgn0037068,11,24,14,24
FBgn0037069,35,58,42,55
FBgn0037071,442,845,462,940
FBgn0037073,616,876,616,846
FBgn0052436,88,218,94,206
FBgn0052437,3,12,12,8
FBgn0052440,14,132,21,142
FBgn0053288,165,251,149,236
FBgn0005694,628,864,621,920
FBgn0037087,232,298,275,337
FBgn0037090,112,146,117,146
FBgn0037092,533,637,639,694
FBgn0037093,1334,1743,1474,1953
FBgn0037094,1001,1483,1150,1613
FBgn0053289,3,6,2,2
FBgn0015283,730,1039,769,1009
FBgn0028663,1272,1908,1430,2180
FBgn0053290,36,62,37,65
FBgn0037101,20,42,18,36
FBgn0052438,294,423,287,389
FBgn0052441,262,363,314,374
FBgn0037102,175,221,158,240
FBgn0037099,1,7,3,6
FBgn0037098,774,1339,861,1378
FBgn0029152,763,1003,774,1096
FBgn0026371,364,521,366,522
FBgn0015239,637,800,643,1002
FBgn0037086,1,4,1,4
FBgn0037085,2,2,2,7
FBgn0014143,60,105,84,149
FBgn0037082,478,852,552,857
FBgn0037081,94,130,92,146
FBgn0002842,19,21,16,18
FBgn0037078,9,29,8,25
FBgn0037076,383,638,374,710
FBgn0037074,1223,1749,1407,2140
FBgn0003042,617,873,558,955
FBgn0037070,51,79,65,104
FBgn0037067,32,47,46,42
FBgn0037065,21,26,27,27
FBgn0027945,393,388,454,428
FBgn0037064,159,187,168,206
FBgn0037063,489,766,545,929
FBgn0037106,184,192,191,196
FBgn0037108,467,685,499,760
FBgn0037110,232,353,233,389
FBgn0043783,5,3,2,7
FBgn0052445,2,8,6,10
FBgn0052446,140,368,201,358
FBgn0037115,60,107,66,82
FBgn0037117,117,207,142,205
FBgn0037121,157,266,228,286
FBgn0037125,1,2,2,2
FBgn0037128,4,2,1,2
FBgn0037131,0,1,1,5
FBgn0037133,11,11,16,12
FBgn0000560,146,38,120,28
FBgn0022936,1167,2251,1320,2368
FBgn0037134,229,356,250,385
FBgn0037135,886,1391,982,1482
FBgn0037139,3,4,4,3
FBgn0037138,822,1299,986,1414
FBgn0046301,291,415,306,473
FBgn0052448,162,242,170,273
FBgn0037130,4,6,4,13
FBgn0037129,0,2,1,3
FBgn0037127,1,1,0,1
FBgn0037126,267,70,250,81
FBgn0037124,2,0,2,1
FBgn0037123,54,46,57,44
FBgn0037122,172,309,205,302
FBgn0037120,245,414,250,481
FBgn0052447,35,16,36,12
FBgn0037116,193,284,197,334
FBgn0037114,1,0,0,2
FBgn0037109,870,1297,1028,1339
FBgn0037107,12,23,16,12
FBgn0037105,200,272,185,283
FBgn0037140,104,161,111,139
FBgn0037142,425,615,402,700
FBgn0037143,9,25,9,20
FBgn0037144,2665,1819,3433,1854
FBgn0029091,25,16,33,22
FBgn0037146,39,15,70,11
FBgn0000045,128,27,77,18
FBgn0004514,35,52,37,53
FBgn0037149,444,765,556,799
FBgn0000100,1960,2563,2209,2733
FBgn0004414,1,3,3,1
FBgn0037151,614,1167,708,1396
FBgn0037150,594,1041,690,1213
FBgn0027532,1059,1529,1249,1722
FBgn0037147,9,6,14,6
FBgn0037141,472,835,575,855
FBgn0052449,141,71,165,72
FBgn0015075,463,654,526,699
FBgn0004179,1094,1356,1143,1616
FBgn0025702,351,332,345,298
FBgn0027086,3350,3879,3498,3970
FBgn0052450,215,320,266,265
FBgn0037162,11,8,14,5
FBgn0037164,16,14,15,9
FBgn0037165,3,1,1,4
FBgn0037166,97,50,120,53
FBgn0037167,5,8,16,14
FBgn0037163,173,43,210,48
FBgn0004449,5705,7379,6478,6777
FBgn0011771,872,1069,979,1146
FBgn0037156,346,549,352,604
FBgn0028500,520,795,586,888
FBgn0037169,1,4,2,1
FBgn0037170,6,6,6,8
FBgn0037172,6,6,1,3
FBgn0037174,5,4,1,7
FBgn0037176,1,2,3,0
FBgn0037179,2,0,1,2
FBgn0037180,0,1,2,1
FBgn0052453,1,1,5,1
FBgn0037181,64,87,80,107
FBgn0052452,528,712,489,699
FBgn0037185,1651,2082,1742,2443
FBgn0260481,39,79,46,67
FBgn0037188,1100,1594,1378,1716
FBgn0052451,3925,4507,4253,4662
FBgn0037191,46,54,38,61
FBgn0010830,647,844,677,922
FBgn0037186,129,128,98,108
FBgn0037184,207,314,212,328
FBgn0037183,11,21,13,38
FBgn0037182,793,1075,938,1194
FBgn0037178,1,0,0,1
FBgn0037177,4,4,1,6
FBgn0037175,3,1,6,4
FBgn0037171,13,32,10,38
FBgn0037195,62,88,60,90
FBgn0037197,4,15,5,16
FBgn0053169,193,396,271,487
FBgn0037200,112,187,112,240
FBgn0037202,87,172,94,200
FBgn0037203,119,187,128,184
FBgn0037204,30,41,36,33
FBgn0037205,659,825,773,933
FBgn0037206,820,854,826,862
FBgn0037207,7388,7208,8445,6460
FBgn0052457,15,11,14,8
FBgn0052461,288,446,303,308
FBgn0044324,2418,3788,2410,3417
FBgn0010348,1807,3416,2026,3802
FBgn0020518,35,86,43,67
FBgn0037199,516,845,572,979
FBgn0052459,8,28,14,32
FBgn0052462,1,1,0,5
FBgn0052460,3053,3820,3419,3956
FBgn0037397,3,4,1,2
FBgn0046878,26,4,30,3
FBgn0037402,3,3,4,7
FBgn0037405,16,8,20,4
FBgn0037406,4,1,0,3
FBgn0051562,0,1,1,0
FBgn0037408,26,18,27,16
FBgn0037409,1,1,7,1
FBgn0037410,0,2,3,3
FBgn0037411,1,1,4,1
FBgn0037413,1,0,1,2
FBgn0027527,15,6,10,4
FBgn0037414,5,4,4,4
FBgn0037415,1,0,0,2
FBgn0037416,0,1,5,0
FBgn0037419,4,4,5,0
