"","id","chr","strand","gene_name","log2FoldChange","padj","group"
"274","FBgn0267012","chr2L","+","lncRNA:CR45456",2.10833442006246,0.00441181883823473,"Autosome"
"216","FBgn0051676","chr2L","+","CG31676",2.04454031164227,0.00152275287399079,"Autosome"
"145","FBgn0034583","chr2R","-","CG10527",2.01461491423443,0.000678708730834294,"Autosome"
"207","FBgn0043791","chr3R","+","phu",1.94862393895127,7.47042580513804e-05,"Autosome"
"285","FBgn0287423","chr3L","+","Nplp2",1.89185987096645,2.24420555118374e-47,"Autosome"
"237","FBgn0086661","chr3L","-","snoRNA:Psi28S-2566",1.88824381670351,6.2319063153582e-10,"Autosome"
"141","FBgn0034356","chr2R","+","Pepck2",1.88117999003491,0.000839817967539254,"Autosome"
"230","FBgn0085195","chr2L","+","CG34166",1.87431295717865,6.62809302851265e-28,"Autosome"
"61","FBgn0014865","chr2R","+","Mtk",1.86792349660285,0.00172907471956383,"Autosome"
"180","FBgn0039151","chr3R","-","CG13607",1.83469923976137,4.85503187058566e-14,"Autosome"
"210","FBgn0050054","chr2R","+","CG30054",1.83343512352257,0.00914628869999799,"Autosome"
"178","FBgn0039073","chr3R","-","CG4408",1.81730259480342,0.00197834399675879,"Autosome"
"92","FBgn0029766","chrX","+","CG15784",1.73318223803969,3.76391378219026e-12,"chrX"
"114","FBgn0032285","chr2L","-","CG17108",1.72705162001419,5.78340109256592e-29,"Autosome"
"263","FBgn0263659","chr2R","+","lncRNA:CR43650",1.72226571488821,0.000481300035193696,"Autosome"
"173","FBgn0038301","chr3R","-","CG6654",1.69679555245621,6.17037970979561e-06,"Autosome"
"72","FBgn0022355","chrX","+","Tsf1",1.6903429256173,0.0040413277445761,"chrX"
"73","FBgn0022774","chr3L","-","Oat",1.68616763874145,0.00197834399675879,"Autosome"
"234","FBgn0086348","chr3L","+","se",1.67101812799719,0.00140391852586407,"Autosome"
"135","FBgn0033926","chr2R","-","Arc1",1.60615117035132,1.2223999217181e-42,"Autosome"
"143","FBgn0034479","chr2R","+","CG8654",1.55875708386023,0.00625073324021809,"Autosome"
"194","FBgn0039801","chr3R","-","Npc2h",1.55729161540227,1.09102308064907e-11,"Autosome"
"133","FBgn0033821","chr2R","+","CG10799",1.55556003751081,0.00342248988819371,"Autosome"
"4","FBgn0000079","chr2R","-","Amy-p",1.55263155189056,1.08897081200711e-17,"Autosome"
"241","FBgn0087002","chr4","+","apolpp",1.54812954661138,9.87809406969121e-26,"Autosome"
"159","FBgn0036597","chr3L","-","CG4962",1.52030277697465,0.00271493714365176,"Autosome"
"214","FBgn0051313","chr3R","-","CG31313",1.51674984602847,5.51675692633082e-06,"Autosome"
"124","FBgn0033067","chr2R","-","CG11211",1.51452035231816,2.20908437493433e-05,"Autosome"
"245","FBgn0259226","chr2R","-","CG42326",1.4586840379294,0.00204900569110365,"Autosome"
"156","FBgn0035791","chr3L","-","CG8539",1.45470635139962,0.00350896365524615,"Autosome"
"277","FBgn0267515","chrX","+","28SrRNA-Psi:CR45855",1.44438294009468,0.00244345210787894,"chrX"
"130","FBgn0033593","chr2R","-","Listericin",1.42968881350034,1.10248456535208e-05,"Autosome"
"138","FBgn0034117","chr2R","-","CG7997",1.42476214051341,4.89393162983555e-06,"Autosome"
"119","FBgn0032753","chr2L","-","CG17572",1.41783622465278,0.00938413476066366,"Autosome"
"76","FBgn0025595","chr2L","-","AkhR",1.41738923916853,7.47042580513804e-05,"Autosome"
"171","FBgn0038147","chr3R","-","CCHa2",1.41303434238011,0.000429551489530491,"Autosome"
"3","FBgn0000078","chr2R","+","Amy-d",1.38788983384196,2.18584393253715e-11,"Autosome"
"149","FBgn0035189","chr3L","-","CG9119",1.38488358961699,0.0040413277445761,"Autosome"
"113","FBgn0032253","chr2L","-","LManI",1.37417373316923,0.00325370248884157,"Autosome"
"115","FBgn0032472","chr2L","-","CG9928",1.31821962115172,1.70989311332822e-06,"Autosome"
"56","FBgn0013812","chr3R","-","Dhc93AB",1.28822687020472,4.18503031382741e-06,"Autosome"
"168","FBgn0037440","chr3R","-","CRAT",1.28343994256733,0.00741856054620833,"Autosome"
"162","FBgn0036680","chr3L","-","Cpr73D",1.2602932331704,0.000195440153745055,"Autosome"
"199","FBgn0040606","chr3R","-","CG6503",1.20744999429317,2.8804238883358e-09,"Autosome"
"188","FBgn0039682","chr3R","-","Obp99c",1.19524198165494,1.55075747159232e-14,"Autosome"
"95","FBgn0030041","chrX","-","CG12116",1.18706849335649,3.26996241403419e-06,"chrX"
"191","FBgn0039709","chr3R","+","Cad99C",1.16268596662786,0.000792022200171221,"Autosome"
"192","FBgn0039754","chr3R","-","CG9747",1.15884420822522,0.00158098282493244,"Autosome"
"65","FBgn0015576","chr3R","-","alpha-Est8",1.15849766935475,5.19986549003964e-07,"Autosome"
"110","FBgn0031913","chr2L","-","CG5958",1.14875096909007,0.00462143838344269,"Autosome"
"154","FBgn0035696","chr3L","-","Best2",1.13853314435491,0.000266915945444027,"Autosome"
"198","FBgn0040532","chr3R","+","CG8369",1.12741442916962,2.86911543998622e-07,"Autosome"
"233","FBgn0086254","chr3L","-","Akr1B",1.12450390239751,3.10882811054923e-06,"Autosome"
"202","FBgn0040827","chr3L","+","CG13315",1.12146730407615,2.77172773777794e-08,"Autosome"
"148","FBgn0035090","chr2R","-","CG2736",1.10522296069592,1.34664851658426e-05,"Autosome"
"30","FBgn0003162","chr2R","+","Pu",1.08062552125511,4.96168657938079e-07,"Autosome"
"106","FBgn0031561","chr2L","-","IM33",1.068931826043,1.54836902403954e-06,"Autosome"
"151","FBgn0035290","chr3L","-","dsb",1.06532522076089,0.000168581264494028,"Autosome"
"131","FBgn0033728","chr2R","+","Cpr49Ae",1.05794162983328,0.00559932402677672,"Autosome"
"205","FBgn0041630","chr3L","+","Hexo1",1.05747720958679,0.00182646060084628,"Autosome"
"213","FBgn0051075","chr3R","-","CG31075",1.04864947610797,0.00418884071195215,"Autosome"
"97","FBgn0030349","chrX","-","CG10353",1.0443801345484,1.27451882909276e-09,"chrX"
"246","FBgn0259682","chr2R","-","Jabba",1.04238433944611,1.28653714027989e-05,"Autosome"
"142","FBgn0034470","chr2R","-","Obp56d",1.03928757097857,0.00131260138555627,"Autosome"
"182","FBgn0039178","chr3R","+","CG6356",1.02532691237007,0.00236842178295985,"Autosome"
"42","FBgn0010228","chr2R","-","HmgZ",1.02303817790034,0.00821225724044807,"Autosome"
"139","FBgn0034229","chr2R","+","CG4847",1.01309401858839,2.88279256413248e-05,"Autosome"
"167","FBgn0037288","chr3R","-","Jhbp3",0.997597629084647,0.000315040641377902,"Autosome"
"184","FBgn0039332","chr3R","-","alrm",0.995063949679579,0.00996028576842428,"Autosome"
"128","FBgn0033320","chr2R","-","CG8586",0.994254155908812,0.000395762972957732,"Autosome"
"101","FBgn0031220","chr2L","-","CG4822",0.980797218347143,0.000266915945444027,"Autosome"
"68","FBgn0016122","chr2L","+","Acer",0.969628449609191,0.000192566240197784,"Autosome"
"204","FBgn0041604","chr3L","+","dlp",0.950073067999136,0.00644533445843354,"Autosome"
"146","FBgn0034885","chr2R","-","Eglp4",0.945947534436068,2.33756568186274e-06,"Autosome"
"215","FBgn0051445","chr3R","-","CG31445",0.936785479420993,0.00210052480248525,"Autosome"
"147","FBgn0035041","chr2R","-","CG13594",0.91513859011003,0.000367753255074666,"Autosome"
"120","FBgn0032774","chr2L","-","CG17549",0.913565021992599,2.36170034555084e-06,"Autosome"
"220","FBgn0053080","chrX","-","CG33080",0.892521177011078,0.00050530795687059,"chrX"
"58","FBgn0014019","chr2L","+","Rh5",0.879686614858867,0.00281262047866404,"Autosome"
"85","FBgn0028482","chr2L","+","bdl",0.875128931661377,1.58797057566014e-06,"Autosome"
"127","FBgn0033268","chr2R","-","Obp44a",0.851798100062442,1.27944417009718e-06,"Autosome"
"157","FBgn0036022","chr3L","+","CG8329",0.83454674667355,8.46493860608048e-08,"Autosome"
"163","FBgn0036927","chr3L","-","Gabat",0.82361525796297,9.75224420822121e-05,"Autosome"
"270","FBgn0266000","chrX","-","CG44774",0.818613509670241,0.00272409909250386,"chrX"
"203","FBgn0041182","chr2L","-","Tep2",0.810520927701216,1.01250483594243e-06,"Autosome"
"46","FBgn0011693","chr3L","-","Pdh",0.798570465457209,2.74385831985761e-06,"Autosome"
"109","FBgn0031879","chr2L","-","uif",0.783594965471755,0.000137664346691102,"Autosome"
"175","FBgn0038603","chr3R","-","PKD",0.769956504156025,0.000956977661567674,"Autosome"
"80","FBgn0027556","chrX","+","CG4928",0.765744767465575,0.00626766705415136,"chrX"
"152","FBgn0035348","chr3L","-","CG16758",0.757582907279764,0.000956977661567674,"Autosome"
"259","FBgn0262870","chr3L","-","axo",0.741693202821323,9.2308162824393e-05,"Autosome"
"271","FBgn0266084","chr3L","+","Fhos",0.717242234870439,0.00155640146555797,"Autosome"
"26","FBgn0002868","chr3R","-","MtnA",0.715397112582739,0.00471238488107001,"Autosome"
"108","FBgn0031850","chr2L","-","Tsp",0.714148369811589,0.00662012510706662,"Autosome"
"86","FBgn0028526","chr2L","-","CG15293",0.708481953045135,0.000367620304657717,"Autosome"
"100","FBgn0031069","chrX","+","Abcd3",0.704591751833272,0.00344892857946058,"chrX"
"28","FBgn0003071","chr2R","+","Pfk",0.677594451652479,0.000599781106071784,"Autosome"
"81","FBgn0027560","chr2L","+","Tps1",0.670951171567234,4.11850461110994e-05,"Autosome"
"193","FBgn0039800","chr3R","-","Npc2g",0.6676068774144,0.00904321671844218,"Autosome"
"45","FBgn0011280","chrX","+","Obp19d",0.666716773114462,0.000129228253296487,"chrX"
"235","FBgn0086355","chr3R","-","Tpi",0.658414725341246,0.0012709625349672,"Autosome"
"286","FBgn0287775","chr2R","+","18w",0.656127211333627,0.00904321671844218,"Autosome"
"197","FBgn0040502","chr2R","+","CG8343",0.65302365709177,0.00118160537796819,"Autosome"
"9","FBgn0001128","chr2L","+","Gpdh1",0.633115801328626,0.00261805524034457,"Autosome"
"90","FBgn0029093","chr2R","-","cathD",0.630375407424423,0.000761544479396287,"Autosome"
"179","FBgn0039114","chr3R","+","Lsd-1",0.628933131725131,0.00261805524034457,"Autosome"
"83","FBgn0027611","chr2L","+","LManII",0.622582405000341,0.00411917690402899,"Autosome"
"33","FBgn0003249","chr3R","-","Rh3",0.589646111869124,0.00441181883823473,"Autosome"
"63","FBgn0015222","chr3R","-","Fer1HCH",0.564961289077621,0.00200792572437922,"Autosome"
"78","FBgn0026415","chrX","-","Idgf4",0.555649116245871,0.0012955503411859,"chrX"
"224","FBgn0053519","chr2R","-","Obsc",0.524396756201127,0.0077181332864895,"Autosome"
"23","FBgn0002567","chr2R","-","Rab32",0.518789270505624,0.00663266861158948,"Autosome"
"82","FBgn0027580","chr2R","-","PCB",0.51746873221871,0.00306542706347203,"Autosome"
"279","FBgn0270928","chr3R","+","VAChT",0.509582011410687,0.00628372035447322,"Autosome"
"223","FBgn0053208","chr3R","-","Mical",0.500285725500041,0.00131279481309178,"Autosome"
"71","FBgn0020513","chrX","-","Paics",0.491573577478342,0.00447942269993577,"chrX"
"287","FBgn0288310","chr3L","-","mv",0.475952779408167,0.00977235943204427,"Autosome"
"39","FBgn0005614","chr2R","+","trpl",0.465546469629395,0.00117233580142204,"Autosome"
"254","FBgn0261788","chr3L","-","Ank2",-0.469453288653144,0.000795856807487671,"Autosome"
"262","FBgn0263111","chrX","-","cac",-0.49090725913615,0.00350891728785417,"chrX"
"283","FBgn0285944","chrX","-","para",-0.49276380925958,0.00172584299162461,"chrX"
"24","FBgn0002622","chr3R","+","RpS3",-0.503020602086465,0.00996028576842428,"Autosome"
"252","FBgn0261549","chrX","+","rdgA",-0.509914666230834,0.00102831702032683,"chrX"
"256","FBgn0261873","chrX","+","sdt",-0.510220268896837,0.00405292189742206,"chrX"
"20","FBgn0001624","chrX","+","dlg1",-0.512199384545533,0.00258099869541479,"chrX"
"70","FBgn0019940","chr3R","+","Rh6",-0.523246542915237,0.00958355173507518,"Autosome"
"264","FBgn0264087","chr2L","-","Slob",-0.530338184860826,0.000726755026157429,"Autosome"
"11","FBgn0001218","chrX","-","Hsc70-3",-0.543160645613744,0.0012955503411859,"chrX"
"1","FBgn0000042","chrX","+","Act5C",-0.543389892391166,0.000795856807487671,"chrX"
"59","FBgn0014141","chr3R","-","cher",-0.551083664118314,0.00731025846137917,"Autosome"
"79","FBgn0026418","chr3L","+","Hsp110",-0.577773231278127,0.00690552664537326,"Autosome"
"265","FBgn0264308","chr2L","-","hbt",-0.590460581770076,0.00111740048337301,"Autosome"
"41","FBgn0010113","chr3R","+","heca",-0.631040979578582,0.00163295699665456,"Autosome"
"221","FBgn0053094","chr3R","+","Synd",-0.640661479835017,0.00666789473721951,"Autosome"
"66","FBgn0015600","chr2L","-","toc",-0.668900524418286,2.46797869973237e-05,"Autosome"
"284","FBgn0286778","chr2R","-","CG46385",-0.673864584854159,1.42895129700327e-05,"Autosome"
"150","FBgn0035207","chr3L","+","Herc4",-0.696759765417443,0.000603018170501317,"Autosome"
"25","FBgn0002645","chr3R","-","Map205",-0.700481806558299,0.00296800876113079,"Autosome"
"19","FBgn0001297","chr3R","+","kay",-0.704878516411257,5.48162217970059e-05,"Autosome"
"251","FBgn0260635","chr3L","-","Diap1",-0.709314982471545,0.000447293883751377,"Autosome"
"37","FBgn0004919","chr2R","-","gol",-0.709858270874355,0.000796920646454573,"Autosome"
"93","FBgn0029831","chrX","+","CG5966",-0.726034779949299,9.56085303437619e-05,"chrX"
"280","FBgn0283427","chr2L","+","FASN1",-0.727107795391082,3.47219533105893e-06,"Autosome"
"282","FBgn0283499","chr3R","-","InR",-0.749373917953104,0.000147588119578599,"Autosome"
"69","FBgn0016926","chr2L","-","Pino",-0.756460805404354,2.20908437493433e-05,"Autosome"
"38","FBgn0005533","chr3L","-","RpS17",-0.756681920817455,0.000195440153745055,"Autosome"
"242","FBgn0087012","chr3R","+","5-HT2A",-0.75687037659104,0.000956977661567674,"Autosome"
"158","FBgn0036449","chr3L","-","bmm",-0.761159341705153,0.000306092672190018,"Autosome"
"222","FBgn0053203","chr3R","-","CG33203",-0.763875176690635,0.000631157755221826,"Autosome"
"2","FBgn0000052","chr2L","-","Pfas",-0.774919499548577,0.000642290087404177,"Autosome"
"260","FBgn0263077","chr2R","+","M7BP",-0.778698330639102,3.34054436509527e-09,"Autosome"
"67","FBgn0016076","chr2L","+","vri",-0.77920744486952,1.91538091987085e-05,"Autosome"
"238","FBgn0086677","chr2R","-","jeb",-0.783524778464027,1.10781523792095e-05,"Autosome"
"64","FBgn0015245","chrX","+","Hsp60A",-0.783684117435797,2.53670884881859e-06,"chrX"
"257","FBgn0262738","chrX","+","norpA",-0.790150808479374,2.53942385322698e-09,"chrX"
"244","FBgn0250786","chr2L","-","Chd1",-0.791523551978663,5.72918696699511e-05,"Autosome"
"7","FBgn0000473","chr2R","-","Cyp6a2",-0.795773393057205,1.10248456535208e-05,"Autosome"
"278","FBgn0267910","chrX","-","lncRNA:CR34335",-0.799806265330215,0.00152275287399079,"chrX"
"107","FBgn0031645","chr2L","+","CG3036",-0.819630664738887,2.03060848035769e-07,"Autosome"
"272","FBgn0266599","chr3R","+","Hsc70-4",-0.820436082299798,1.33211912807756e-10,"Autosome"
"174","FBgn0038465","chr3R","+","Irc",-0.820742383223567,2.96813107117848e-05,"Autosome"
"243","FBgn0243512","chr3R","+","puc",-0.821766112864507,0.00143928147862647,"Autosome"
"102","FBgn0031306","chr2L","+","CG4577",-0.828182972405736,3.37409229907059e-07,"Autosome"
"250","FBgn0260632","chr2L","-","dl",-0.849477428950711,0.00220117194793988,"Autosome"
"74","FBgn0024352","chr2L","+","Stip1",-0.850123085424934,0.00275017491135581,"Autosome"
"75","FBgn0025583","chr2R","+","BomS2",-0.866351570088398,0.000118256866703905,"Autosome"
"27","FBgn0002930","chr2R","-","nec",-0.875726794408418,5.63185491984142e-06,"Autosome"
"249","FBgn0259938","chr3R","+","cwo",-0.879093363350634,1.03811741783357e-05,"Autosome"
"236","FBgn0086367","chrX","-","t",-0.902774400248598,9.56085303437619e-05,"chrX"
"98","FBgn0030593","chrX","-","CG9512",-0.931432211775734,3.83585402420847e-06,"chrX"
"164","FBgn0036935","chr3L","-","CG14186",-0.933323851963071,5.75347899035932e-09,"Autosome"
"140","FBgn0034329","chr2R","+","BomS1",-0.939350408006515,0.00140391852586407,"Autosome"
"239","FBgn0086687","chr3R","+","Desat1",-0.943402158914524,4.27538027667393e-12,"Autosome"
"255","FBgn0261808","chr3R","+","cu",-0.965194907209195,0.00423442991777725,"Autosome"
"89","FBgn0028990","chr2L","-","Spn27A",-0.966227218357915,0.000122470940449659,"Autosome"
"134","FBgn0033913","chr2R","+","CG8468",-0.9715450792901,4.13573724214755e-06,"Autosome"
"84","FBgn0028360","chrX","+","Cdc7",-0.97683935206683,0.00940953253349522,"chrX"
"103","FBgn0031424","chr2L","+","VGlut",-1.04993979352092,5.78165482234532e-11,"Autosome"
"96","FBgn0030251","chrX","+","CG2145",-1.05150811158046,4.13573724214755e-06,"chrX"
"217","FBgn0052103","chr3L","-","SCaMC",-1.05153612890087,5.78165482234532e-11,"Autosome"
"261","FBgn0263106","chr3L","-","DnaJ-1",-1.05763510450049,8.09663829522112e-14,"Autosome"
"176","FBgn0038818","chr3R","-","Nep4",-1.06178065288838,5.8896040541448e-07,"Autosome"
"91","FBgn0029167","chr3L","+","Hml",-1.06553043780901,0.000261463470175609,"Autosome"
"112","FBgn0032008","chr2L","+","CG14277",-1.06875586471814,0.00798660622601601,"Autosome"
"267","FBgn0265003","chr2R","+","koi",-1.07449078707612,0.000625107847928298,"Autosome"
"225","FBgn0065046","chrX","+","snoRNA:U3:9B",-1.07604102097827,0.000210252193924157,"chrX"
"248","FBgn0259918","chrX","-","inaF-B",-1.07916118704176,4.03403947324087e-06,"chrX"
"88","FBgn0028978","chr3L","-","trbl",-1.08251399086503,0.0026605256633664,"Autosome"
"77","FBgn0025681","chr2L","+","CG3558",-1.08447730531602,4.58941048008238e-05,"Autosome"
"44","FBgn0011205","chr3L","+","fbl",-1.10006300032307,0.00126393016856023,"Autosome"
"6","FBgn0000250","chr2L","-","cact",-1.10711965018559,3.52552577087118e-09,"Autosome"
"116","FBgn0032482","chr2L","+","Pect",-1.12255067326968,2.22707705196879e-07,"Autosome"
"31","FBgn0003231","chr2L","+","ref(2)P",-1.2213710592208,1.06766351293891e-12,"Autosome"
"5","FBgn0000153","chr2L","+","b",-1.22999325481589,0.00165677590421838,"Autosome"
"117","FBgn0032587","chr2L","-","CG5953",-1.23315820746565,6.07216093327764e-09,"Autosome"
"16","FBgn0001233","chr3L","+","Hsp83",-1.24579737139061,9.43056131618843e-27,"Autosome"
"187","FBgn0039629","chr3R","+","CG11842",-1.24899918740322,0.00423442991777725,"Autosome"
"18","FBgn0001296","chr3R","-","kar",-1.26871436889738,3.97726694929616e-05,"Autosome"
"29","FBgn0003137","chr3R","-","Ppn",-1.27023961914108,4.69278208252927e-14,"Autosome"
"209","FBgn0046696","chr3R","-","RNaseP:RNA",-1.2932802066828,3.50031541836995e-15,"Autosome"
"144","FBgn0034511","chr2R","+","GNBP-like3",-1.32529962348457,0.00806066553837252,"Autosome"
"136","FBgn0033936","chr2R","+","Achl",-1.38979062684881,2.25185144286835e-06,"Autosome"
"8","FBgn0000527","chr3R","-","e",-1.42263775658083,2.48438516956468e-05,"Autosome"
"55","FBgn0013772","chr2R","-","Cyp6a8",-1.44418608630281,0.00152994743421257,"Autosome"
"34","FBgn0003499","chr3R","+","sr",-1.45095966972827,3.02220702469307e-06,"Autosome"
"201","FBgn0040736","chr2R","+","BomS3",-1.45200319083195,5.75347899035932e-09,"Autosome"
"218","FBgn0052581","chrX","-","sordd2",-1.48574624908583,0.00260103942941739,"chrX"
"36","FBgn0004396","chr3L","+","CrebA",-1.48695443966077,2.59391021844591e-09,"Autosome"
"170","FBgn0037936","chr3R","-","CG6908",-1.49754694617711,5.17889075424494e-06,"Autosome"
"94","FBgn0030013","chrX","+","GIIIspla2",-1.50338848399943,5.45818486473934e-08,"chrX"
"172","FBgn0038299","chr3R","-","Spn88Eb",-1.52424203690699,8.8607921995256e-05,"Autosome"
"240","FBgn0086708","chr3L","+","stv",-1.54736059537886,5.31509650749218e-23,"Autosome"
"123","FBgn0033065","chr2R","+","Cyp6w1",-1.60930720480669,8.10364046536453e-14,"Autosome"
"195","FBgn0040074","chr3L","+","retinin",-1.65955808137448,8.58364354504423e-27,"Autosome"
"111","FBgn0031973","chr2L","-","Spn28Dc",-1.70579277685348,2.49494589188548e-09,"Autosome"
"266","FBgn0264602","chr3L","+","lncRNA:CR43951",-1.83378838869821,7.48269890180961e-05,"Autosome"
"57","FBgn0014018","chr3R","-","Rel",-1.84279873117149,1.41861726779385e-28,"Autosome"
"211","FBgn0050295","chr2R","+","Ipk1",-1.87788797057894,1.27451882909276e-09,"Autosome"
"229","FBgn0083013","chrX","-","snoRNA:Psi28S-1060",-1.92741332905364,5.53953127511274e-05,"chrX"
"269","FBgn0265077","chr2L","+","lncRNA:CR44188",-1.94114427274327,0.00142902484342899,"Autosome"
"60","FBgn0014859","chr2L","-","Hr38",-2.02434534999303,5.65848858555217e-30,"Autosome"
"185","FBgn0039459","chr3R","+","IntS12",-2.21350432504318,0.00591350744101597,"Autosome"
"268","FBgn0265076","chr2L","+","lncRNA:CR44187",-2.22245331778828,0.00306542706347203,"Autosome"
"125","FBgn0033153","chr2R","+","Gadd45",-2.22703045712282,1.58797057566014e-06,"Autosome"
"169","FBgn0037662","chr3R","+","CG11997",-2.2815496928182,1.16317504794007e-06,"Autosome"
"104","FBgn0031489","chr2L","-","CG17224",-2.41952886405095,1.27224607391616e-05,"Autosome"
"121","FBgn0032835","chr2L","+","CG16772",-2.5076529888418,0.00265120698232532,"Autosome"
"122","FBgn0032973","chr2L","+","CG6675",-2.53315221784284,0.000766782888169719,"Autosome"
"165","FBgn0036945","chr3L","+","Ssk",-2.54767098107863,8.19083053130777e-08,"Autosome"
"196","FBgn0040256","chr3R","-","Ugt35C1",-2.55950229000447,1.08958556274745e-06,"Autosome"
"219","FBgn0052865","chr3R","-","lncRNA:alphagamma-element:CR32865",-2.66626134887146,4.90217834830106e-07,"Autosome"
"126","FBgn0033204","chr2R","+","CG2065",-2.75340429351057,9.75224420822121e-05,"Autosome"
"32","FBgn0003248","chr3R","+","Rh2",-2.75361155045811,3.22850466686489e-21,"Autosome"
"35","FBgn0003996","chrX","-","w",-2.82242510195978,0.00559414045848237,"chrX"
"49","FBgn0013278","chr3R","+","Hsp70Bb",-2.90052815062927,1.85684518010667e-27,"Autosome"
"186","FBgn0039593","chr3R","+","Sid",-2.94140337715304,0.000418129826920907,"Autosome"
"48","FBgn0013276","chr3R","+","Hsp70Ab",-3.06694504534159,5.89749196286361e-28,"Autosome"
"12","FBgn0001224","chr3L","+","Hsp23",-3.10303971797339,1.4798282717734e-24,"Autosome"
"50","FBgn0013279","chr3R","+","Hsp70Bc",-3.10642798896592,3.57112013974972e-23,"Autosome"
"47","FBgn0013275","chr3R","-","Hsp70Aa",-3.11387711326668,9.77291985148269e-14,"Autosome"
"40","FBgn0005660","chr2L","-","Ets21C",-3.14563261833302,3.70588967240332e-11,"Autosome"
"153","FBgn0035638","chr3L","-","Tektin-C",-3.21424245475221,0.00514003404477975,"Autosome"
"247","FBgn0259713","chr2L","+","CG42367",-3.45200259942427,0.00357187250229503,"Autosome"
"15","FBgn0001230","chr3R","-","Hsp68",-3.47289613957543,6.17871209920499e-16,"Autosome"
"14","FBgn0001226","chr3L","+","Hsp27",-3.48018767420376,1.49287539217186e-34,"Autosome"
"21","FBgn0001992","chr2L","+","Cyp303a1",-3.51725174433012,1.51861568469371e-16,"Autosome"
"13","FBgn0001225","chr3L","-","Hsp26",-3.58473912537025,7.28583315544425e-08,"Autosome"
"10","FBgn0001217","chr3R","+","Hsc70-2",-3.79651588122614,8.6737051722435e-06,"Autosome"
"105","FBgn0031490","chr2L","+","CG17264",-3.90670365521726,0.00792345165228412,"Autosome"
"258","FBgn0262838","chr2R","-","BomT1",-4.0881274411817,0.000323807995572225,"Autosome"
"228","FBgn0066365","chr3L","-","dyl",-4.19550863861158,0.00175493707914315,"Autosome"
"273","FBgn0266854","chr2R","+","CR45315",-5.33446387284164,0.00304661165708693,"Autosome"
"17","FBgn0001256","chr3L","+","ImpL1",-6.03089420152944,0.00603483581329586,"Autosome"
