"","id","chr","strand","gene_name","log2FoldChange","padj","group"
"33","FBgn0001296","chr3R","-","kar",-1.05980927724074,1.71651506020174e-05,"Autosome"
"34","FBgn0001994","chr2L","-","crp",-0.247673623310624,0.00449764122198159,"Autosome"
"35","FBgn0002031","chr2L","-","Phb1",-0.342114482587751,0.00175264262572142,"Autosome"
"36","FBgn0002543","chr2L","-","robo2",-0.359874376872043,8.68161563390477e-06,"Autosome"
"37","FBgn0002563","chr2L","+","Lsp1beta",-1.26985968089759,0.000328754025420607,"Autosome"
"38","FBgn0002590","chrX","-","RpS5a",-0.346134064995093,0.00343209828941921,"chrX"
"39","FBgn0002643","chr2R","+","mam",-0.514574611179231,4.40495889848552e-09,"Autosome"
"40","FBgn0002719","chr3R","-","Men",-0.424541025830748,8.20849451607584e-07,"Autosome"
"41","FBgn0002732","chr3R","+","E(spl)malpha-BFM",1.06083335208645,0.00816199104468804,"Autosome"
"42","FBgn0002778","chr3L","+","mnd",-0.371644894038237,9.97755645214785e-05,"Autosome"
"43","FBgn0002865","chr3R","+","Mst98Ca",-8.07727670867808,1.23855026462934e-06,"Autosome"
"44","FBgn0002868","chr3R","-","MtnA",1.75938418983033,4.44102931083009e-32,"Autosome"
"45","FBgn0002891","chr2R","+","PolZ1",0.687871025092188,2.33584943862332e-08,"Autosome"
"46","FBgn0002922","chr3R","-","nau",0.987964157975223,1.53460519718424e-19,"Autosome"
"47","FBgn0002930","chr2R","-","nec",-2.95272380551437,0.000120105890276115,"Autosome"
"48","FBgn0002931","chr2L","-","net",-1.09196457233478,1.7924137485634e-31,"Autosome"
"49","FBgn0003042","chr3L","-","Pc",0.545952745545718,0.000218722043633618,"Autosome"
"50","FBgn0003048","chrX","+","pcx",0.374673946986855,0.00617744691678921,"chrX"
"51","FBgn0003053","chrX","+","peb",-0.371747064052797,0.00361842887262094,"chrX"
"52","FBgn0003068","chrX","+","per",0.63238882886853,0.00129505286352644,"chrX"
"53","FBgn0003071","chr2R","+","Pfk",0.798752286250334,3.6312456235697e-09,"Autosome"
"54","FBgn0003074","chr2R","-","Pgi",0.566363061710009,0.000196328150056737,"Autosome"
"55","FBgn0003090","chr2R","+","pk",-1.58014477248941,3.12442471650991e-27,"Autosome"
"56","FBgn0003162","chr2R","+","Pu",-0.562748828111648,1.35529988077101e-06,"Autosome"
"57","FBgn0003165","chr3R","-","pum",-0.496275502683029,3.20438935072231e-08,"Autosome"
"58","FBgn0003326","chr2R","+","sca",-1.56106790829794,2.83080076387651e-05,"Autosome"
"59","FBgn0003334","chr3R","-","Scm",-0.478627707733899,0.000356446532323235,"Autosome"
"60","FBgn0003388","chr3L","+","shd",0.654709157737307,0.000269132350606705,"Autosome"
"61","FBgn0003390","chrX","-","shf",0.611984305902099,0.000278396856500601,"chrX"
"62","FBgn0003447","chrX","+","sn",-1.30709027462616,6.15496671696256e-37,"chrX"
"63","FBgn0003475","chr2L","+","spir",-0.356553207620343,0.00306554217412094,"Autosome"
"64","FBgn0003507","chr3R","+","srp",-0.297732712970987,0.000607427848471381,"Autosome"
"65","FBgn0003525","chr3R","-","stg",-0.293587725562597,0.00617744691678921,"Autosome"
"66","FBgn0003557","chr2L","+","Su(dx)",-0.496633597676056,3.00221333698062e-06,"Autosome"
"67","FBgn0003607","chr2L","-","Su(var)205",0.736454890736979,1.65713549340964e-08,"Autosome"
"68","FBgn0003716","chr2L","-","tkv",-0.41318130016345,0.00209080317454118,"Autosome"
"69","FBgn0003751","chr2L","-","trk",0.937013414466726,9.00026503001847e-05,"Autosome"
"70","FBgn0003866","chr2L","+","tsh",-0.582147245213571,9.95354389205689e-07,"Autosome"
"71","FBgn0003882","chr3R","+","tub",0.604340076327444,3.54856438366631e-08,"Autosome"
"72","FBgn0003890","chr3R","-","betaTub97EF",-1.61286644357017,5.41979288597106e-19,"Autosome"
"73","FBgn0003892","chr2R","+","ptc",-0.270267710636608,0.00405577780473147,"Autosome"
"74","FBgn0003935","chr2L","+","snRNA:U5:34A",-0.91879537868168,6.02766615874252e-08,"Autosome"
"75","FBgn0003941","chr2L","+","RpL40",-0.455903466793808,0.000738246344499179,"Autosome"
"76","FBgn0003997","chr3L","-","hid",-0.788852359283369,2.74365536497608e-11,"Autosome"
"77","FBgn0004034","chrX","+","y",0.591769061955659,0.00526824591615888,"chrX"
"78","FBgn0004050","chrX","+","z",-0.605755895673051,0.000332147621605999,"chrX"
"79","FBgn0004102","chrX","-","oc",-2.41707297632787,1.25818190794667e-12,"chrX"
"80","FBgn0004167","chr3L","+","kst",-0.395141561454873,0.000522275290206742,"Autosome"
"81","FBgn0004171","chr3R","+","Mst98Cb",-8.8169630255513,1.44966696901794e-07,"Autosome"
"82","FBgn0004197","chr3R","-","Ser",-1.46456783361461,1.57877633467932e-36,"Autosome"
"83","FBgn0004369","chr3R","+","Ptp99A",-0.348046663148898,4.82808956799757e-05,"Autosome"
"84","FBgn0004400","chr2R","-","rhi",-3.1208250415841,2.54919466265469e-06,"Autosome"
"85","FBgn0004401","chr3L","-","Pep",0.416774541600304,0.000119395103465127,"Autosome"
"86","FBgn0004512","chr2R","-","Mdr49",0.533500574674234,0.00707138465333559,"Autosome"
"87","FBgn0004595","chr3R","+","pros",-0.390508068591703,0.00232314472283451,"Autosome"
"88","FBgn0004606","chr3R","+","zfh1",-0.376201088050662,5.77652873554231e-05,"Autosome"
"89","FBgn0004638","chr2R","-","drk",-0.443079803098641,0.00842558696588671,"Autosome"
"90","FBgn0004646","chrX","-","ogre",0.915553093053704,0.00020029572958634,"chrX"
"91","FBgn0004647","chrX","+","N",-0.4585349553647,1.42624033877632e-08,"chrX"
"92","FBgn0004666","chr3R","+","sim",-2.59387131832,7.41581984458033e-09,"Autosome"
"93","FBgn0004797","chr2L","+","mdy",-0.389571524689967,0.000204051397404488,"Autosome"
"94","FBgn0004865","chr3L","+","Eip78C",0.441425149821248,9.64561942199718e-07,"Autosome"
"95","FBgn0004878","chr3R","-","cas",-1.77266996005705,1.94309202673235e-16,"Autosome"
"96","FBgn0004893","chr2L","+","bowl",-0.389057962280201,0.000147071773610588,"Autosome"
"97","FBgn0004907","chr2R","+","14-3-3zeta",0.327892923798794,0.000524840155245915,"Autosome"
"98","FBgn0004919","chr2R","-","gol",0.313914490973261,0.00255505671956794,"Autosome"
"99","FBgn0005585","chr3R","-","Calr",-0.32476484404065,0.000152910657395658,"Autosome"
"100","FBgn0005593","chr2L","+","RpL7",-0.320266374114705,0.00257731388560599,"Autosome"
"101","FBgn0005613","chr2R","-","Sox15",1.36007428683872,0.0019692534126614,"Autosome"
"102","FBgn0005636","chr2R","+","nvy",0.693908753829349,8.60533233706492e-20,"Autosome"
"103","FBgn0005640","chr3L","+","Eip63E",-0.544297396590459,5.95939567364048e-10,"Autosome"
"104","FBgn0005655","chr2R","-","PCNA",0.408286542019818,0.00676929797084468,"Autosome"
"105","FBgn0005660","chr2L","-","Ets21C",-0.39424319289386,4.04199720293221e-06,"Autosome"
"106","FBgn0005671","chr3R","-","Vha55",-0.415257899172086,0.000302831540760614,"Autosome"
"107","FBgn0005677","chr2L","-","dac",-0.965758112239439,0.000893510644150885,"Autosome"
"108","FBgn0008635","chrX","-","betaCOP",-0.439394014997901,0.00623373837493881,"chrX"
"109","FBgn0010039","chr3R","+","GstD3",-0.615362472289141,1.25859328678572e-11,"Autosome"
"110","FBgn0010041","chr3R","+","GstD5",-0.701471771170438,0.00404345610534034,"Autosome"
"111","FBgn0010051","chr3R","+","Itpr",-1.02846851094324,4.4805686301457e-33,"Autosome"
"112","FBgn0010105","chr3L","-","comm",0.462573632746736,0.00550844530616973,"Autosome"
"113","FBgn0010173","chr3R","-","RPA1",0.426713055171193,0.00333716441262009,"Autosome"
"114","FBgn0010222","chr3R","-","Nmdmc",-0.877015857019829,2.19397672275528e-13,"Autosome"
"115","FBgn0010225","chr3R","+","Gel",-0.323467381665227,0.000549556239322733,"Autosome"
"116","FBgn0010226","chr2R","-","GstS1",-0.683545987074413,1.68440088754671e-06,"Autosome"
"117","FBgn0010263","chr2L","+","Rbp9",-0.842760848626249,1.17429643894354e-05,"Autosome"
"118","FBgn0010265","chr2L","-","RpS13",-0.440493162230087,0.00109114827451553,"Autosome"
"119","FBgn0010348","chr3L","-","Arf1",0.825025193223223,4.0359713743969e-21,"Autosome"
"120","FBgn0010383","chrX","-","Cyp18a1",-1.87162593764423,6.79316824118971e-05,"chrX"
"121","FBgn0010395","chr2L","+","Itgbn",-0.468661527189889,0.00981701663966317,"Autosome"
"122","FBgn0010399","chr3R","-","Nmdar1",-2.16000879431586,2.04853361499627e-05,"Autosome"
"123","FBgn0010412","chrX","+","RpS19a",-0.986211191698677,8.34964863653677e-14,"chrX"
"124","FBgn0010453","chr2L","-","Wnt4",1.75426851829193,3.29192035699424e-30,"Autosome"
"125","FBgn0010473","chr2L","+","tutl",-3.19964416343861,2.82492956563485e-63,"Autosome"
"126","FBgn0010497","chr2L","+","dmGlut",-0.401180054376047,0.00218527989700436,"Autosome"
"127","FBgn0010548","chr2R","-","Aldh-III",0.530677024432141,3.54639960035604e-10,"Autosome"
"128","FBgn0010660","chr2R","-","Nup214",0.328166505387409,0.00227302582636861,"Autosome"
"129","FBgn0010768","chr3R","+","sqz",-0.586128093270559,1.52075145623579e-10,"Autosome"
"130","FBgn0010909","chr3L","-","msn",-0.449109263979691,5.26236562116897e-07,"Autosome"
"131","FBgn0011259","chr2L","+","Sema1a",-1.75638397365096,8.9088034497147e-31,"Autosome"
"132","FBgn0011570","chr2L","+","cpb",-0.431885522852804,0.000187768300505143,"Autosome"
"133","FBgn0011592","chr2R","+","fra",0.398779165621613,0.004355884258055,"Autosome"
"134","FBgn0011661","chrX","-","Moe",-0.523007012303335,3.11606472407228e-07,"chrX"
"135","FBgn0011672","chr3R","-","Mvl",-0.408864577391919,0.00178377542386316,"Autosome"
"136","FBgn0011703","chr2L","-","RnrL",0.485662721406055,6.61650335658057e-05,"Autosome"
"137","FBgn0011726","chr2R","-","tsr",0.393931448348539,0.000580981707466929,"Autosome"
"138","FBgn0011740","chr3R","+","alpha-Man-IIa",-0.477469036291494,0.00942930087650841,"Autosome"
"139","FBgn0011818","chr2L","+","oaf",-0.366563361908599,0.000146082025236367,"Autosome"
"140","FBgn0011848","chr2R","-","tRNA:Glu-TTC-1-6",-0.482225870309522,0.00100607768906734,"Autosome"
"141","FBgn0011859","chr2L","-","tRNA:Gly-GCC-1-1",-1.22801178970816,0.0007740191229997,"Autosome"
"142","FBgn0011866","chr2L","-","tRNA:Gly-GCC-2-1",-0.491787096402529,2.92723100339471e-07,"Autosome"
"143","FBgn0011871","chr2R","-","tRNA:Gly-GCC-1-12",-0.60075106223882,0.00550844530616973,"Autosome"
"144","FBgn0011881","chr2R","-","tRNA:Ile-AAT-1-3",-0.722960168454817,0.00784720905203412,"Autosome"
"145","FBgn0011909","chr2R","-","tRNA:Leu-CAA-2-1",-0.446744641378748,2.42156434602931e-08,"Autosome"
"146","FBgn0011910","chr2R","+","tRNA:Leu-CAA-1-1",-0.478320357724426,1.6568963375449e-06,"Autosome"
"147","FBgn0011921","chr2R","+","tRNA:iMet-CAT-2-1",0.406967416843941,0.000790024257239642,"Autosome"
"148","FBgn0011928","chr3L","+","tRNA:iMet-CAT-1-5",-0.459558624060558,0.000277185983299166,"Autosome"
"149","FBgn0011955","chr2R","-","tRNA:Arg-ACG-1-5",0.5701378996346,0.00227302582636861,"Autosome"
"150","FBgn0011958","chr2R","+","tRNA:Arg-ACG-1-1",0.545362477334373,9.57903148694218e-05,"Autosome"
"151","FBgn0011966","chr3R","+","tRNA:Arg-TCG-2-3",-0.786876201572527,0.000602798514865705,"Autosome"
"152","FBgn0011971","chr3R","-","tRNA:Ser-GCT-2-2",-1.17575008113497,0.00545959541329826,"Autosome"
"153","FBgn0011987","chr2R","-","tRNA:SeC-TCA-1-1",-0.606272173046718,0.00814960341706242,"Autosome"
"154","FBgn0012001","chr3R","-","tRNA:Val-CAC-2-4",-0.586049160121969,0.00388660272336854,"Autosome"
"155","FBgn0012002","chr3R","+","tRNA:Val-CAC-1-1",-0.489753852012338,1.68513274118503e-05,"Autosome"
"156","FBgn0012003","chr3R","-","tRNA:Val-CAC-2-5",-0.448533053262931,0.00288168246411429,"Autosome"
"157","FBgn0012004","chr3R","+","tRNA:Val-CAC-2-6",-0.408070448509552,2.19617791351806e-05,"Autosome"
"158","FBgn0012024","chr3R","-","tRNA:Tyr-GTA-1-8",-0.666819347568913,1.04602060880953e-13,"Autosome"
"159","FBgn0012025","chr3R","-","tRNA:Tyr-GTA-1-7",-0.64235194715564,4.19461873035882e-13,"Autosome"
"160","FBgn0012026","chr3R","-","tRNA:Tyr-GTA-1-6",-1.04523445968629,1.95085518019291e-29,"Autosome"
"161","FBgn0012027","chr3R","-","tRNA:Tyr-GTA-1-5",-0.633819823459055,5.33363723817805e-11,"Autosome"
"162","FBgn0012028","chr3R","-","tRNA:Tyr-GTA-1-4",-0.850056832814658,1.23157327603297e-14,"Autosome"
"163","FBgn0012037","chr2L","+","Ance",0.994530319484321,3.19021492683244e-05,"Autosome"
"164","FBgn0013272","chr2R","+","Gp150",-0.512233080821504,2.20570591172461e-08,"Autosome"
"165","FBgn0013278","chr3R","+","Hsp70Bb",-1.35180604338499,0.00610715954708014,"Autosome"
"166","FBgn0013432","chrX","-","bcn92",0.721522125478788,0.00074951361798362,"chrX"
"167","FBgn0013576","chr3R","-","mtd",-0.274062723915318,0.00297184789669775,"Autosome"
"168","FBgn0013718","chr3L","+","nuf",-0.455709082645628,2.52159357466579e-05,"Autosome"
"169","FBgn0013733","chr2R","-","shot",-0.757739645681031,4.16498224720634e-27,"Autosome"
"170","FBgn0013770","chr2R","+","Cp1",-0.32544185659199,0.00113017876014305,"Autosome"
"171","FBgn0013812","chr3R","-","Dhc93AB",-0.544724629473186,3.76975773184482e-05,"Autosome"
"172","FBgn0013995","chr3R","+","Calx",-2.12327300372505,2.35065282089378e-40,"Autosome"
"173","FBgn0014010","chr2L","-","Rab5",-0.505284725763069,2.41655249617417e-06,"Autosome"
"174","FBgn0014018","chr3R","-","Rel",-0.360429675804769,4.4881858070944e-05,"Autosome"
"175","FBgn0014033","chr2L","+","Sr-CI",-2.04873781542257,9.67695570690259e-06,"Autosome"
"176","FBgn0014163","chr3L","-","fax",-0.651073865891183,1.16682581104991e-05,"Autosome"
"177","FBgn0014380","chr3R","-","RhoL",-0.42545004914342,3.29507765061719e-07,"Autosome"
"178","FBgn0014388","chr3L","-","sty",-0.88381182548588,1.08711234563911e-28,"Autosome"
"179","FBgn0014411","chrX","+","Vps26",0.394099679778747,0.00863301293620632,"chrX"
"180","FBgn0014427","chr3R","+","CG11899",-0.283793087921593,0.00918867800560633,"Autosome"
"181","FBgn0014906","chr2L","+","Hydr2",0.449520742195598,2.04603670538358e-05,"Autosome"
"182","FBgn0015019","chr3R","+","CCT3",-0.326712738886225,0.00532513745102779,"Autosome"
"183","FBgn0015283","chr3L","+","Rpn10",0.430009535571593,0.000767865910645729,"Autosome"
"184","FBgn0015299","chr2L","+","Ssb-c31a",0.779889305358603,1.10360937936273e-05,"Autosome"
"185","FBgn0015371","chr2R","+","chn",-0.47254977177505,2.47752487781564e-05,"Autosome"
"186","FBgn0015521","chr2L","+","RpS21",-0.555283902872746,6.18270349095554e-08,"Autosome"
"187","FBgn0015522","chr2R","+","olf186-M",-0.770085022828799,5.38236276327507e-09,"Autosome"
"188","FBgn0015609","chr2L","-","CadN",-2.65556826750616,1.60923225169543e-21,"Autosome"
"189","FBgn0015664","chr2L","-","Dref",0.488750914602044,0.00118247414491734,"Autosome"
"190","FBgn0015714","chr2R","+","Cyp6a17",-0.673066743859958,5.78233928269034e-10,"Autosome"
"191","FBgn0015765","chr3R","-","p38a",0.44992286381051,0.00355095932742614,"Autosome"
"192","FBgn0015766","chr3L","-","Msr-110",0.388509870299816,6.85203154295238e-05,"Autosome"
"193","FBgn0015777","chr2L","-","nrv2",-0.908716111506932,1.65110862970836e-08,"Autosome"
"194","FBgn0015799","chrX","-","Rbf",0.522132496548713,0.00141996047184239,"chrX"
"195","FBgn0015801","chr2R","-","Reg-5",-0.359039376217508,0.00016550904893961,"Autosome"
"196","FBgn0015903","chr2R","+","apt",-0.478673448212834,8.40914422958914e-06,"Autosome"
"197","FBgn0015929","chr2R","-","dpa",0.493668106913814,0.00629602361498982,"Autosome"
"198","FBgn0016032","chr2R","+","lbm",-0.427651865995082,0.00335708990901231,"Autosome"
"199","FBgn0016034","chr3L","+","mael",0.767915744523926,3.11606472407228e-07,"Autosome"
"200","FBgn0016075","chr2L","-","vkg",-0.230685094888045,0.0097665941121362,"Autosome"
"201","FBgn0016076","chr2L","+","vri",-0.978111023607908,3.83855461218041e-33,"Autosome"
"202","FBgn0016693","chr3R","+","Past1",-0.376609537995159,0.000137176935180922,"Autosome"
"203","FBgn0016715","chr3L","-","Reg-2",0.616367336925105,4.72712041074609e-12,"Autosome"
"204","FBgn0016926","chr2L","-","Pino",-0.40920025259963,1.57271866250176e-05,"Autosome"
"205","FBgn0017581","chr3R","-","Lk6",-0.326514609521497,5.48798637286738e-05,"Autosome"
"206","FBgn0019972","chr3R","+","Drice",0.395998128418189,0.000268036579022822,"Autosome"
"207","FBgn0020235","chr3R","-","ATPsyngamma",0.422772820090639,9.16585376872283e-05,"Autosome"
"208","FBgn0020269","chr2R","-","mspo",-0.535067991158235,0.000672951766326211,"Autosome"
"209","FBgn0020414","chr2L","+","Idgf3",-0.380281683139203,1.68474811120671e-06,"Autosome"
"210","FBgn0020415","chr2L","+","Idgf2",-0.729665249302554,6.9738287818676e-12,"Autosome"
"211","FBgn0020416","chr2L","+","Idgf1",-1.79351444589506,5.52692863265309e-38,"Autosome"
"212","FBgn0020445","chr2L","-","E23",-0.363676399589193,0.00166887941103762,"Autosome"
"213","FBgn0020496","chr3R","+","CtBP",-0.466103254488354,9.96662920651683e-10,"Autosome"
"214","FBgn0020503","chr2L","+","CLIP-190",-0.477909470930292,1.61702222722097e-08,"Autosome"
"215","FBgn0020618","chr2L","-","Rack1",-0.433101322819053,3.19021492683244e-05,"Autosome"
"216","FBgn0020762","chr2L","+","Atet",-0.282541537321727,0.00486036565802638,"Autosome"
"217","FBgn0020910","chr3R","+","RpL3",-0.416268827469734,1.806506213287e-06,"Autosome"
"218","FBgn0021760","chr3L","+","chb",0.336383334206052,0.00336070817598335,"Autosome"
"219","FBgn0021764","chrX","+","sdk",0.441558247176134,0.000355883656381132,"chrX"
"220","FBgn0021875","chr2R","+","Zfrp8",0.424198022352228,0.00712785064390025,"Autosome"
"221","FBgn0021906","chr2L","-","RFeSP",-0.510370701395274,0.00665373140969457,"Autosome"
"222","FBgn0022709","chr3L","-","Ak1",0.840386641757724,2.80478699700293e-13,"Autosome"
"223","FBgn0022768","chrX","-","Pp2C1",-0.744646998925573,5.4695769736891e-10,"chrX"
"224","FBgn0022800","chr3R","-","Cad96Ca",-1.2634886483087,0.000524840155245915,"Autosome"
"225","FBgn0022936","chr3L","+","CycH",0.776267441562835,1.96158504644447e-16,"Autosome"
"226","FBgn0022987","chr2R","+","qkr54B",0.487587081969685,6.95289931283159e-05,"Autosome"
"227","FBgn0023129","chr3L","+","aay",-0.760755113125638,1.53019794687538e-05,"Autosome"
"228","FBgn0023143","chr2R","-","Uba1",0.332018474438776,5.77652873554231e-05,"Autosome"
"229","FBgn0023171","chr2R","-","rnh1",0.5971498040833,0.000390696696955634,"Autosome"
"230","FBgn0023179","chr3R","-","amon",0.625879084984206,3.97731289572514e-05,"Autosome"
"231","FBgn0023441","chr2R","-","fus",1.16603756276434,0.000824621290915422,"Autosome"
"232","FBgn0023479","chr3L","+","teq",-0.334653631151322,0.00840572130322803,"Autosome"
"233","FBgn0023507","chrX","+","D2hgdh",-0.62370409471638,2.90456380732647e-06,"chrX"
"234","FBgn0023517","chrX","-","Pgam5",0.452571258690906,0.00333770183246182,"chrX"
"235","FBgn0023534","chrX","+","CG17778",0.859264966769679,0.00279436586159745,"chrX"
"236","FBgn0024150","chr3L","-","Ac78C",-0.524536183869447,1.50919609483424e-08,"Autosome"
"237","FBgn0024179","chr3L","-","wit",-0.546508463154168,0.000888368066697989,"Autosome"
"238","FBgn0024189","chr2R","+","sns",-2.99031959744642,8.08679851567554e-58,"Autosome"
"239","FBgn0024196","chr2R","+","robl",0.560965349142093,0.000456868916323963,"Autosome"
"240","FBgn0024236","chr3L","+","foi",0.408105175150489,9.48165182394348e-05,"Autosome"
"241","FBgn0024238","chrX","-","Fim",-0.304769791293647,0.00323745901103629,"chrX"
"242","FBgn0024315","chr2R","-","Picot",-0.796009365657977,0.00276612562303248,"Autosome"
"243","FBgn0024321","chr3R","-","NK7.1",-0.382050007140964,3.25235730788624e-05,"Autosome"
"244","FBgn0024329","chr3R","-","Mekk1",-0.306415584122434,0.00060185331443653,"Autosome"
"245","FBgn0024698","chr2R","-","Cpsf160",-0.577891853783227,1.00963787840779e-06,"Autosome"
"246","FBgn0024733","chr3L","-","RpL10",-0.327049886010312,0.00121022147981086,"Autosome"
"247","FBgn0024806","chr3L","-","DIP2",0.772406220594598,6.32619885219014e-08,"Autosome"
"248","FBgn0024841","chr3R","+","Pcd",0.792971133835379,8.40781301603538e-17,"Autosome"
"249","FBgn0024945","chr3L","+","NitFhit",0.498694073769405,0.00673288661470682,"Autosome"
"250","FBgn0024947","chr2L","-","NTPase",0.280668646759782,0.00304812435554509,"Autosome"
"251","FBgn0025109","chr2L","+","Bem46",0.668384614676195,0.00394733412593171,"Autosome"
"252","FBgn0025366","chr2L","+","Ip259",-0.361596812673757,0.00653547420733771,"Autosome"
"253","FBgn0025633","chrX","-","spdi",0.408189362913451,0.00543394885120784,"chrX"
"254","FBgn0025642","chrX","+","CG32812",1.70094451044309,2.90371200271433e-16,"chrX"
"255","FBgn0025726","chr4","-","unc-13",0.35778958407053,3.83493587769923e-05,"Autosome"
"256","FBgn0025741","chr4","-","PlexA",0.369206597188151,0.000653877333361118,"Autosome"
"257","FBgn0025814","chrX","+","Mgstl",-0.323148172961668,0.00311706309125195,"chrX"
"258","FBgn0025879","chr3R","-","Timp",0.520663811523088,7.30751427344011e-06,"Autosome"
"259","FBgn0026056","chr3R","+","Rlip",-0.407734151495497,0.00178382578478901,"Autosome"
"260","FBgn0026179","chr3L","+","siz",0.309519615770146,0.00125998267825385,"Autosome"
"261","FBgn0026199","chr4","-","myo",0.447951128375606,5.66072664690774e-05,"Autosome"
"262","FBgn0026259","chr3L","-","eIF5B",-0.875545755448762,1.66445311754797e-28,"Autosome"
"263","FBgn0026315","chr3R","-","Ugt35A1",-1.00666258851574,1.63700615224349e-16,"Autosome"
"264","FBgn0026439","chr2L","+","Eaat1",1.46529988978305,7.32708282645535e-23,"Autosome"
"265","FBgn0026592","chr3L","+","Fie",-0.528134761191799,0.00499472803151174,"Autosome"
"266","FBgn0026616","chr3R","+","alpha-Man-IIb",-0.623097259588976,1.28948762004079e-09,"Autosome"
"267","FBgn0027073","chr2R","-","Ugt49B1",1.12423481046811,0.000196351601972531,"Autosome"
"268","FBgn0027081","chr2L","+","ThrRS",-0.302755137868187,0.0019463837895485,"Autosome"
"269","FBgn0027087","chrX","+","HisRS",-0.439678757833229,0.0016855822549374,"chrX"
"270","FBgn0027094","chr2L","-","AlaRS",-0.342620720396371,0.000653877333361118,"Autosome"
"271","FBgn0027279","chrX","+","l(1)G0196",-0.341353941790536,0.00090383936085566,"chrX"
"272","FBgn0027335","chrX","-","Rip11",0.296609143514468,0.00726258423298139,"chrX"
"273","FBgn0027338","chr3R","-","Kap-alpha3",-0.395852191431799,0.000339643347690578,"Autosome"
"274","FBgn0027506","chr2R","-","EDTP",0.470573092448205,1.64858225507396e-05,"Autosome"
"275","FBgn0027509","chr2L","+","Tbcd",-0.417269735404753,0.000867813498415276,"Autosome"
"276","FBgn0027532","chr3L","-","CG7139",0.399103080378173,0.000988258688203756,"Autosome"
"277","FBgn0027578","chr3R","+","Nepl21",-0.478589538250454,0.00468528379355616,"Autosome"
"278","FBgn0027585","chr2R","+","CG8740",-1.35317963110725,0.00145398313058726,"Autosome"
"279","FBgn0027589","chr2R","-","CG1688",1.67955202215598,0.00716621311903948,"Autosome"
"280","FBgn0027594","chr3L","-","drpr",-0.915301901613196,1.06046989224271e-05,"Autosome"
"281","FBgn0027607","chr2R","-","CG8230",0.540352107802933,0.000111929070210215,"Autosome"
"282","FBgn0027610","chr3R","+","Dic1",-0.40974386475813,0.000266775719202933,"Autosome"
"283","FBgn0027616","chr3L","-","Ythdc1",-0.435870240173745,0.000104810828744251,"Autosome"
